"","species","taxon","max_size","max_length","TL","CA_mg","EPA_g","DHA_g","FE_mg","ZN_mg","HG_mcg","FAT","PROTCNT_g","lwA","lwB","Habitat","Subgroup","Abs_lat","StockCode","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","SpecCode"
"929","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,105.61,NA,NA,2.9,0.7914,38,NA,54,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"930","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.6385,1.0597,NA,NA,NA,7.3,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"931","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,145.2,NA,NA,12.43,2.3044,31,NA,84,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"932","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,NA,NA,NA,NA,NA,NA,NA,0.0127,3,"marine","Finfish",60.657778,NA,3.71,0.025,3.84,0.59,1365
"933","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,198.83,NA,NA,2.56,1.3961,75,NA,225,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"934","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,NA,NA,NA,NA,NA,NA,180,0.0127,3,"marine","Finfish",39.019184,NA,3.71,0.025,3.84,0.59,1365
"935","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.4919,0.6977,NA,NA,NA,4.7,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"936","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.604,1.004,NA,NA,NA,6.8,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"937","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.6163,0.8737,NA,NA,NA,6.3,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"938","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.6368,1.0742,NA,NA,NA,7.5,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"939","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,127.23,NA,NA,14.48,1.6665,58,NA,168,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"940","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.1524,0.4445,NA,NA,NA,2.1,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"941","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.088074797,0.233056769,NA,NA,NA,2.03,186,0.0127,3,"marine","Finfish",36.5817,NA,3.71,0.025,3.84,0.59,1365
"942","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,400.87,NA,NA,11.58,3.345,22,NA,76,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"943","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.032952744,0.07526244,NA,NA,NA,0.88,124,0.0127,3,"marine","Finfish",36.5817,NA,3.71,0.025,3.84,0.59,1365
"944","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.191306809,0.68122395,NA,NA,NA,3.02,NA,0.0127,3,"marine","Finfish",41.85509,NA,3.71,0.025,3.84,0.59,1365
"945","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.0831,0.2768,NA,NA,NA,1.4,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"946","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.2039,0.3872,NA,NA,NA,2.6,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"947","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.07539,0.20104,NA,NA,NA,NA,NA,0.0127,3,"marine","Finfish",39.019184,NA,3.71,0.025,3.84,0.59,1365
"948","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,NA,NA,NA,NA,NA,NA,NA,0.0127,3,"marine","Finfish",60.657778,NA,3.71,0.025,3.84,0.59,1365
"949","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.162992817,0.327134954,NA,NA,NA,2.25,NA,0.0127,3,"marine","Finfish",41.85509,NA,3.71,0.025,3.84,0.59,1365
"950","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,235.96,NA,NA,2.1,1.3222,76,NA,32,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"951","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.01459064,0.04027232,NA,NA,NA,0.4,183,0.0127,3,"marine","Finfish",36.5817,NA,3.71,0.025,3.84,0.59,1365
"952","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.1159,0.3246,NA,NA,NA,1.7,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"953","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,NA,NA,NA,NA,NA,NA,101,0.0127,3,"marine","Finfish",39.019184,NA,3.71,0.025,3.84,0.59,1365
"954","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.2671,0.4584,NA,NA,NA,3.2,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"955","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.0806,0.2421,NA,NA,NA,1.6,NA,0.0127,3,"marine","Finfish",39.360329,NA,3.71,0.025,3.84,0.59,1365
"956","Triakis scyllium","Sharks, rays, chimaeras",30.9583486024448,193,4.2,NA,NA,NA,NA,NA,NA,NA,224,0.00331,3.05,"marine","Finfish",40.900557,NA,3.81,0.2,3.85,0.75,5949
"957","Trichiurus lepturus","Miscellaneous demersal fishes",7.02287125377043,192,4.45,NA,0.21175,0.57475,NA,NA,NA,2.75,NA,0.000216,3.289999962,"marine","Finfish",23.372169,NA,4.42,0.373,4.2,0.75,1288
"958","Trichiurus lepturus","Miscellaneous demersal fishes",7.02287125377043,192,4.45,NA,NA,NA,NA,NA,NA,NA,164,0.000216,3.289999962,"marine","Finfish",19.173773,NA,4.42,0.373,4.2,0.75,1288
"959","Trigla lyra","Miscellaneous demersal fishes",1.58889161474835,60,3.5,NA,0.03566,0.10252,NA,NA,NA,0.66,NA,0.01059,2.911000013,"marine","Finfish",37.37083333,NA,3.65,NA,3.50999999046326,0.516,5038
"960","Trisopterus minutus","Cods, hakes, haddocks",0.708248846104702,40,3.8,NA,NA,NA,NA,NA,NA,NA,180,0.00794,3.09,"marine","Finfish",39.019184,NA,3.73,0.201,3.67,0.78,481
"961","Umbrina cirrosa","Miscellaneous coastal fishes",2.07411685724628,57,3.39,NA,0.046641472,0.121825808,NA,NA,NA,0.92,NA,0.0119,2.984999895,"marine","Finfish",37.370157,NA,NA,NA,3.41,0.46,1306
"962","Upeneus moluccensis","Miscellaneous coastal fishes",0.129237341167023,22,3.6,NA,0.08898318,0.359348236,NA,NA,NA,2.08,NA,0.00891,3.1,"marine","Finfish",37.370157,NA,3.63,0.273,3.6,0.48,4444
"963","Upeneus parvus","Miscellaneous coastal fishes",0.369905083638659,30,3.9,NA,NA,NA,NA,NA,NA,NA,53,0.00851,3.14,"marine","Finfish",19.173773,NA,3.93,0.66,4.05,0.7,1095
"964","Xenentodon cancila","Miscellaneous freshwater fishes",0.122168686429526,40,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00132,3.1,"freshwater","Finfish",24.4333,NA,NA,NA,3.86,0.62,10124
"965","Xiphias gladius","Tunas, bonitos, billfishes",2532.63483851769,449,4.49,39,0.243166,1.32636,1.2,1.3,73,12,91,0.00776,3.210000038,"marine","Finfish",36.102376,NA,4.53,0.171,4.46,0.64,226
"966","Zeus faber","Miscellaneous demersal fishes",7.68635295811327,79,4.5,NA,NA,NA,NA,NA,NA,NA,180,0.023,2.911000013,"marine","Finfish",39.019184,NA,4.5,0.8,4.23999977111816,0.9699,1370
"967","Zungaro zungaro","Miscellaneous freshwater fishes",47.8753780589611,140,4.5,NA,0.044148592,0.075820408,NA,NA,NA,10.44,66,0.01175,3.08,"freshwater","Finfish",19.427757,NA,NA,NA,4.5,0.8,47756
