"species"	"taxon"	"max_length"	"TL"	"CA_mg"	"EPA_g"	"DHA_g"	"ZN_mg"	"HG_mcg"	"lwA"	"lwB"	"Habitat"	"Subgroup"	"Abs_lat"	"max_size"
"153"	"Theragra chalcogramma"	"Cods, hakes, haddocks"	75	3.45	9.9	NA	NA	0.4396	"3"	0.0104	2.911999941	"marine"	"Finfish"	57.881667	3.00062433916019
"154"	"Thunnus alalunga"	"Tunas, bonitos, billfishes"	136	4.31	18	0.29393	0.85918	0.5	"49"	0.0272	2.799999952	"marine"	"Finfish"	36.102376	25.6140200451991
"155"	"Tinca tinca"	"Carps, barbels and other cyprinids"	70	3.5	60	NA	NA	1.1	"9"	0.01906	3.03	"freshwater"	"Finfish"	41.53	7.42625670578443
"156"	"Tinca tinca"	"Carps, barbels and other cyprinids"	70	3.5	66	NA	NA	1.1	"12"	0.01906	3.03	"freshwater"	"Finfish"	41.53	7.42625670578443
"157"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	297.8	NA	NA	1.9569	"4.9"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"158"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	412.82	NA	NA	3.2392	"27"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"159"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	243.81	NA	NA	2.924	"3.7"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"160"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	156.5	NA	NA	1.5969	"23.2"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"161"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	637.14	NA	NA	3.5827	"26"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"162"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	302.67	NA	NA	2.9114	"30.2"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"163"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	105.61	NA	NA	0.7914	"3.7"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"164"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	145.2	NA	NA	2.3044	"22.7"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"165"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	198.83	NA	NA	1.3961	"9.1"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"166"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	127.23	NA	NA	1.6665	"55.6"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"167"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	400.87	NA	NA	3.345	"128.2"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"168"	"Trachurus trachurus"	" Miscellaneous pelagic fishes"	62	3.64	235.96	NA	NA	1.3222	"9.3"	0.0127	3	"marine"	"Finfish"	41.00527	3.0267656
"169"	"Trichogaster spp"	" Miscellaneous freshwater fishes"	13	3.4	1502.82	NA	NA	2.61885	NA	0.02188	3.04	"freshwater"	"Finfish"	12.265754	0.053264163223626
"170"	"Xiphias gladius"	"Tunas, bonitos, billfishes"	449	4.49	39	0.243166	1.32636	1.3	"88"	0.00776	3.210000038	"marine"	"Finfish"	36.102376	2532.63483851769
