FD,replicate
2.802113228771525,495
2.351620721165919,496
1.987693929110773,497
1.2062109056086958,498
2.3653239148714995,499
1.1917439325792853,5
3.2132292461788228,50
2.767019972453992,500
1.1945822696591173,501
2.804832551753336,502
2.464690473991701,503
2.126112716246608,504
2.078801696955348,505
0.997047139918817,506
2.3961093177058457,507
1.6464877059169563,508
2.549175509044924,509
2.391846234823125,51
1.7061010601592796,510
3.079131405596077,511
1.6846200071872308,512
1.4623539417562932,513
1.7967494631029857,514
1.9962853975417252,515
2.6983581929799207,516
2.437003106397588,517
1.7198922211050618,518
0.8058249749275561,519
1.2493633937734354,52
1.6444847615216949,520
2.6463293897836633,521
1.5105893409856037,522
2.010883319315853,523
1.5522292514704688,524
1.2366058688018045,525
1.8322689410805235,526
2.622053986996352,527
