species1,latin_name,pageid,level_1,level_2,common_name,latin_name1,part,preparation,reference,nutrient,concentration,AgeMatMin,feeding_level,feeding_mode,bulk_trophic_level,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,log_concentration,log_length,realm
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,eggs,raw,27,protein_g,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.104586678466073,NA,NA
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,muscle,raw,55,fat_g,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31471074483970024,NA,NA
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,muscle,raw,27,fat_g,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6931471805599453,NA,NA
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,eggs,raw,27,fat_g,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6418538861723947,NA,NA
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,muscle,raw,55,fapun3,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1394342831883648,NA,NA
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,muscle,raw,53,mn_mg,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.605170185988091,NA,NA
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,muscle,raw,27,mn_mg,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.575550768806933,NA,NA
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,muscle,raw,53,mg_mg,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.258096538021482,NA,NA
Gadiformes,Gadiformes,6432,Fish,Saltwater Fish,Cod and Relatives,Gadiformes,muscle,raw,27,mg_mg,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5553480614894135,NA,NA
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,63,ca_mg,7,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,1.9459101490553132,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,79,ca_mg,10,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,2.302585092994046,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,63,zn_mg,0.4,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-0.916290731874155,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,79,zn_mg,0.3,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-1.2039728043259361,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,63,fe_mg,0.26,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-1.3470736479666092,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,79,fe_mg,0.2,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-1.6094379124341003,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,63,protein_g,17.9,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,2.884800712846709,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,27,protein_g,16.7,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,2.8154087194227095,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,offal,raw,27,protein_g,16.5,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,2.803360380906535,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,eggs,raw,27,protein_g,21.4,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,3.0633909220278057,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,79,protein_g,17.3,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,2.8507065015037334,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,23,fat_g,0.6,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-0.5108256237659907,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,63,fat_g,0.63,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-0.4620354595965587,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,27,fat_g,0.7,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-0.35667494393873245,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,offal,raw,27,fat_g,1.9,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,0.6418538861723947,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,eggs,raw,27,fat_g,2,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,0.6931471805599453,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,79,fat_g,0.7,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-0.35667494393873245,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,72,fat_g,0.64,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-0.4462871026284195,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,79,fapun3,0.1,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-2.3025850929940455,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,23,fapun_all_g,0.2,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-1.6094379124341003,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,63,fapun_all_g,0.244,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-1.4105870536889351,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,79,fapun_all_g,0.4,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-0.916290731874155,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,63,mn_mg,0.012,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,-4.422848629194137,4.77912349311153,brackmarine
Gadus macrocephalus,Gadus macrocephalus,6432,Fish,Saltwater Fish,Pacific Cod,Gadus macrocephalus,muscle,raw,63,mg_mg,24,4.0625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.115,boreal,fusiform / normal,demersal,1280,119,3.1780538303479458,4.77912349311153,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,63,ca_mg,16,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.772588722239781,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,63,ca_mg,16,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.772588722239781,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,47,ca_mg,30,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,3.4011973816621555,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,47,ca_mg,30,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,3.4011973816621555,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,tongues + cheeks,raw,62,ca_mg,17,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.833213344056216,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,tongues + cheeks,raw,62,ca_mg,17,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.833213344056216,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,27,ca_mg,16,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.772588722239781,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,27,ca_mg,16,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.772588722239781,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,82,ca_mg,10,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.302585092994046,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,82,ca_mg,10,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.302585092994046,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,47,ca_mg,10,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.302585092994046,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,47,ca_mg,10,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.302585092994046,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,eggs,raw,82,ca_mg,10,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.302585092994046,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,eggs,raw,82,ca_mg,10,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.302585092994046,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,79,ca_mg,16,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.772588722239781,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,79,ca_mg,16,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.772588722239781,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,82,ca_mg,15,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.70805020110221,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,82,ca_mg,15,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.70805020110221,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,63,zn_mg,0.45,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,-0.7985076962177716,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,63,zn_mg,0.45,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,-0.7985076962177716,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,27,zn_mg,0.589,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,-0.5293290953305504,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,27,zn_mg,0.589,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,-0.5293290953305504,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,82,zn_mg,1.94,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,0.6626879730752367,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,82,zn_mg,1.94,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,0.6626879730752367,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,eggs,raw,82,zn_mg,2.2,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,0.7884573603642703,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,eggs,raw,82,zn_mg,2.2,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,0.7884573603642703,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,79,zn_mg,0.6,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,-0.5108256237659907,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,79,zn_mg,0.6,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,-0.5108256237659907,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,82,zn_mg,0.38,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,-0.9675840262617056,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,82,zn_mg,0.38,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,-0.9675840262617056,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,63,fe_mg,0.38,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,-0.9675840262617056,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,63,fe_mg,0.38,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,-0.9675840262617056,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,tongues + cheeks,raw,62,fe_mg,0.31,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,-1.171182981502945,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,tongues + cheeks,raw,62,fe_mg,0.31,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,-1.171182981502945,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,27,fe_mg,1.75,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,0.5596157879354227,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,27,fe_mg,1.75,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,0.5596157879354227,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,82,fe_mg,4,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,1.3862943611198906,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,82,fe_mg,4,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,1.3862943611198906,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,eggs,raw,82,fe_mg,1.5,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,0.4054651081081644,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,eggs,raw,82,fe_mg,1.5,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,0.4054651081081644,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,79,fe_mg,0.4,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,-0.916290731874155,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,79,fe_mg,0.4,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,-0.916290731874155,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,82,fe_mg,0.2,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,-1.6094379124341003,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,82,fe_mg,0.2,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,-1.6094379124341003,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,63,protein_g,17.8,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.8791984572980396,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,63,protein_g,17.8,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.8791984572980396,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,47,protein_g,21.3,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,3.0587070727153796,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,47,protein_g,21.3,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,3.0587070727153796,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,tongues + cheeks,raw,62,protein_g,14.6,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.681021528714291,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,tongues + cheeks,raw,62,protein_g,14.6,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.681021528714291,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,27,protein_g,16.9,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.8273136219290276,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,muscle,raw,27,protein_g,16.9,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.8273136219290276,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,82,protein_g,5.1,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,1.62924053973028,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,82,protein_g,5.1,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,1.62924053973028,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,47,protein_g,14.2,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.653241964607215,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,liver,raw,47,protein_g,14.2,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.653241964607215,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,whole,raw,27,protein_g,16.4,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.797281334830153,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,whole,raw,27,protein_g,16.4,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.797281334830153,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,offal,raw,27,protein_g,16.3,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,2.791165107812717,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,offal,raw,27,protein_g,16.3,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,polar,fusiform / normal,benthopelagic,600,200,2.791165107812717,5.298317366548036,brackmarine
Gadus morhua,Gadus morhua,6432,Fish,Saltwater Fish,Atlantic Cod,Gadus morhua,eggs,raw,82,protein_g,22.5,3.625,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,temperate,fusiform / normal,benthopelagic,600,200,3.1135153092103742,5.298317366548036,brackmarine
