taxon_common_name,subgroup,genus_species,location_of_study,methylmercury,number_of_samples,biblio_id,bibliography,dataset
clams-hard,mollusc,Mercenaria mercenaria,US-Maryland,0.7990906184369868,11,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,karimi
clams-hard,mollusc,Mercenaria mercenaria,US-Virginia,0.15,12,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,karimi
clams-Pacific littleneck,mollusc,Leukoma staminea,US-Oregon,0.8400000000000001,10,karimi,"Caldwell RS, Buhler DR. 1983. Heavy metals in estuarine shellfish from Oregon Arch Environ Contam Toxicol 12(1):15-23.",karimi
clams-Pacific littleneck,mollusc,Leukoma staminea,US-Alaska,0.32999999999999996,4,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,karimi
clams-Pacific littleneck,mollusc,Leukoma staminea,US,0.5175,4,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
clams-softshell,mollusc,Mya arenaria,US-Oregon,0.75,139,karimi,"Caldwell RS, Buhler DR. 1983. Heavy metals in estuarine shellfish from Oregon Arch Environ Contam Toxicol 12(1):15-23.",karimi
clams-softshell,mollusc,Mya arenaria,US-Maryland,0.24033537133242755,313,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,karimi
cod-Atlantic,finfish,Gadus morhua,Canada-Bay of Fundy,12.028055555555556,20,karimi,"Legrand M, Arp P, Ritchie C, Chan HM. 2005. Mercury exposure in two coastal communities of the Bay of Fundy, Canada. Environ Res 98(1):14-21.",karimi
cod-Atlantic (wild),finfish,Gadus morhua,Canada-Atlantic,8.075,22,karimi,"Hellou J, Warren WG, Payne JF, Belkhode S, Lobel P. 1992b. Heavy metals and other elements in 3 tissues of cod, Gadus morhua from the northwest. Atlantic Mar Pollut Bull 24(9):452-458.",karimi
cod-Atlantic (wild),finfish,Gadus morhua,Canada-Atlantic,3.61,15,karimi,"Jardine LB, Burt MDB, Arp PA, Diamond AW. 2009. Mercury comparisons between farmed and wild Atlantic salmon (Salmo salar L.) and Atlantic cod (Gadus morhua L.). Aquac Res 40(10):11481159.",karimi
cod-Pacific,finfish,Gadus morhua,US-Alaska,16.434999999999995,141,karimi,"Burger J, Gochfeld M, Shukla T, Jeitner C, Burke S, Donio M, et al. 2007a. Heavy metals in Pacific Cod (Gadus macrocephalus) from the Aleutians: Location, age, size, and risk. J Toxicol Env Health Part A 70(22):1897-1911.",karimi
cod-Pacific,finfish,Gadus morhua,US-Alaska,12.35,145,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,karimi
cod-Pacific,finfish,Gadus morhua,US-Washington,10.355,29,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
crab-blue,crustacean,Callinectes sapidus,US-Atlantic,7.9799999999999995,8,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",karimi
crab-blue,crustacean,Callinectes sapidus,US-Gulf,14.8129605,27,karimi,"Karouna-Renier NK, Snyder RA, Allison JG, Wagner MG, Rao KR. 2007. Accumulation of organic and inorganic contaminants in shellfish collected in estuarine waters near Pensacola, Florida: Contamination profiles and risks to human consumers. Environ Pollut 145(2):474-488.",karimi
crab-blue,crustacean,Callinectes sapidus,US-Florida (Gulf-Pensacola),21.564999999999998,18,karimi,"Lewis MA, Quarles RL, Dantin DD, Moore JC. 2004. Evaluation of a Florida coastal golf complex as a local and watershed source of bioavailable contaminants. Mar Pollut Bull 48(3-4):254-262.",karimi
crab-blue,crustacean,Callinectes sapidus,US-Louisiana,9.690000000000001,1,karimi,"Mueller CS, Ramelow GJ, Beck JN. 1989. Mercury in the Calcasieu River Lake Complex, Louisiana. Bull Environ Contam Toxicol 42(1):71-80.",karimi
