Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,obs_id,subgroup,genus_species,asfis_scientific_name,scientific_name,common_name,part,food_name_in_english,location,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,cine_id,biblio_id,part_edited,food_item_id,processing,asfis_english_name,season,other,comments_on_data_processing_methods,publication_year,bc_id,af_id,type,bibliography,exclude_for_wrong_units,seanuts_id2,sea_id,subgroup2,submitted_name,score,exclude,realm
Lates niloticus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,tropical,fusiform / normal,demersal,60,200,bc97,Finfish,Lates niloticus,Lates niloticus,Lates niloticus,Nile perch,muscle,"Nile perch, wild, skinless, boneless, dorsal muscle, raw","Uganda, Napoleon Gulf in Lake Victora",NA,NA,NA,0.0119,0.05082,NA,NA,NA,fi23,muscle_skinless,0900097,r,Nile perch,Nov 2005,NA,NA,2008,bc97,NA,NA,NA,NA,NA,NA,NA,Lates niloticus,0.988,NA,fresh
Lates niloticus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,tropical,fusiform / normal,demersal,60,200,bc98,Finfish,Lates niloticus,Lates niloticus,Lates niloticus,Nile perch,muscle,"Nile perch, wild, skinless, boneless, dorsal muscle, raw","Uganda, Bukungu at Lake Kyoga",NA,NA,NA,0.00693,0.04032,NA,NA,NA,fi23,muscle_skinless,0900098,r,Nile perch,Oct 2005,NA,NA,2008,bc98,NA,NA,NA,NA,NA,NA,NA,Lates niloticus,0.988,NA,fresh
Lates niloticus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,tropical,fusiform / normal,demersal,60,200,bc99,Finfish,Lates niloticus,Lates niloticus,Lates niloticus,Nile perch,muscle,"Nile perch, wild, skinless, boneless, dorsal muscle, raw","Uganda, Lwampanga at Lake Kyoga",NA,NA,NA,0.0084,0.02106,NA,NA,NA,fi23,muscle_skinless,0900099,r,Nile perch,Dec 2005,NA,NA,2008,bc99,NA,NA,NA,NA,NA,NA,NA,Lates niloticus,0.988,NA,fresh
Lates niloticus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,tropical,fusiform / normal,demersal,60,200,bc142,Finfish,Lates niloticus,Lates niloticus,Lates niloticus,Nile perch,muscle,"Nile perch, wild, muscle fillet, raw","Uganda, Lake Viktoria, Kasenyi and Ggaba",NA,NA,NA,0.572958,2.0244516,NA,13.8,NA,fi28,muscle,0900142,r,Nile perch,Feb 2008,mean weight of fish: 3430g,FA converted using XFA,2011,bc142,NA,NA,NA,NA,NA,NA,NA,Lates niloticus,0.988,NA,fresh
Lepidorhombus whiffiagonis,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.51,deep-water,fusiform / normal,bathydemersal,700,60,bc639,Finfish,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,Megrim,muscle,"Megrim, wild, skinless fillet, raw","Unknown, West Orkney Area",NA,NA,NA,NA,NA,NA,1.3,NA,fi105,muscle_skinless,0900658,r,Megrim,Jun 2004,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",NA,2006,bc639,NA,NA,NA,NA,NA,NA,NA,Lepidorhombus whiffiagonis,0.988,NA,marine
Lepidorhombus whiffiagonis,1,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.51,deep-water,fusiform / normal,bathydemersal,700,60,bc640,Finfish,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,Megrim,muscle,"Megrim, wild, skinless fillet, raw","Unknown, West Orkney Area",NA,NA,NA,NA,NA,NA,1.3,NA,fi105,muscle_skinless,0900659,r,Megrim,Jun 2004,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",NA,2006,bc640,NA,NA,NA,NA,NA,NA,NA,Lepidorhombus whiffiagonis,0.988,NA,marine
Leporinus friderici,1.5,plants/detritus+animals (troph. 2.2-2.79),variable,3.26,subtropical,fusiform / normal,benthopelagic,NA,40,af46,Finfish,Leporinus friderici,Leporinus friderici,Leporinus friderici,NA,muscle,"wild, skinless, boneless fillets, raw","Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,NA,NA,0.0318781458008098,0.103566489348592,NA,2.6,NA,fi17,muscle_skinless,0901350,r,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,NA,NA,NA,NA,NA,NA,NA,NA,Leporinus friderici,0.988,NA,fresh
Leuciscus idus,5.571428571428571,mainly animals (troph. 2.8 and up),variable,3.79,temperate,fusiform / normal,benthopelagic,NA,85,bc166,Finfish,Leuciscus idus,Leuciscus idus,Leuciscus idus,Orfe,muscle,"Ide, wild, skinless fillet, raw","Greece, Evros River",60,0.6,0.5,NA,NA,19,1.7,NA,fi32,muscle_skinless,0900166,r,Orfe,Summer 1987,"mean length and weight: 28cm, 150g",NA,1989,bc166,NA,NA,NA,NA,NA,NA,NA,Leuciscus idus,0.988,NA,freshbrack
Leuciscus idus,5.571428571428571,mainly animals (troph. 2.8 and up),variable,3.79,temperate,fusiform / normal,benthopelagic,NA,85,bc167,Finfish,Leuciscus idus,Leuciscus idus,Leuciscus idus,Orfe,muscle,"Ide, wild, skinless fillet, raw","Greece, Evros River",60,0.5,0.6,NA,NA,19,1.4,NA,fi32,muscle_skinless,0900167,r,Orfe,Summer 1988,"mean length and weight: 29cm, 150g",NA,1989,bc167,NA,NA,NA,NA,NA,NA,NA,Leuciscus idus,0.988,NA,freshbrack
Leuciscus idus,5.571428571428571,mainly animals (troph. 2.8 and up),variable,3.79,temperate,fusiform / normal,benthopelagic,NA,85,bc229,Finfish,Leuciscus idus,Leuciscus idus,Leuciscus idus,Orfe,muscle,"Ide, wild, skinless, boneless fillet, raw","Greece, Evros River",NA,NA,NA,0.128231,0.06749,NA,1.6,NA,fi47,muscle_skinless,0900229,r,Orfe,Jul-Aug 1987,mean weight of fish: 140g,FA converted using XFA,1991,bc229,NA,NA,NA,NA,NA,NA,NA,Leuciscus idus,0.988,NA,freshbrack
Limanda aspera,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,short and / or deep,demersal,700,49,bc383,Finfish,Limanda aspera,Limanda aspera,Limanda aspera,Yellowfin sole,muscle,"Sole, frozen, wild, skinless fillet, frozen","China, Pacific",NA,NA,NA,0.0856484331762253,0.0609097335727417,13.4,0.5,NA,fi74,muscle_skinless,0900402,r,Yellowfin sole,NA,NA,FAME converted using ShF and XFA,2011,bc383,NA,NA,NA,NA,NA,NA,NA,Limanda aspera,0.988,NA,marine
Limanda aspera,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,short and / or deep,demersal,700,49,af603,Finfish,Limanda aspera,Limanda aspera,Limanda aspera,Yellowfin sole,muscle,"Yellowfin sole, skinless fillet, raw","USA, Bering Sea",NA,NA,NA,NA,NA,17,1.25,NA,fi195,muscle_skinless,0901907,r,Yellowfin sole,NA,NA,NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,Limanda aspera,0.988,NA,marine
Lithognathus mormyrus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,demersal,150,55,bc323,Finfish,Lithognathus mormyrus,Lithognathus mormyrus,Lithognathus mormyrus,Sand steenbras,NA,"Striped seabream, wild, fillet, raw","Turkey, Mediterranean Sea",NA,NA,NA,0.070493995,0.23366541,NA,1.21,NA,fi67,muscle,0900342,r,Sand steenbras,NA,NA,FA converted using XFA,2009,bc323,NA,NA,NA,NA,NA,NA,NA,Lithognathus mormyrus,0.988,NA,brackmarine
Lithognathus mormyrus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,demersal,150,55,bc421,Finfish,Lithognathus mormyrus,Lithognathus mormyrus,Lithognathus mormyrus,Sand steenbras,NA,"Striped bream, wild, edible flesh, raw","Greece, Aegean Sea",NA,NA,NA,NA,NA,18,0.7,NA,fi80,muscle,0900440,r,Sand steenbras,Winter,NA,FAT- (analyzed according to AOAC 1975),1995,bc421,NA,NA,NA,NA,NA,NA,NA,Lithognathus mormyrus,0.988,NA,brackmarine
Lithognathus mormyrus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,demersal,150,55,bc575,Finfish,Lithognathus mormyrus,Lithognathus mormyrus,Lithognathus mormyrus,Sand steenbras,NA,"Sand steenbras, wild, ventral and dorsal muscle flesh, raw","Tunisia, Gulf of Gabés, Mediterranean Sea",NA,NA,NA,NA,NA,18.92,2.05,NA,fi102,muscle,0900594,r,Sand steenbras,Dec 2005-May 2006,length (cm): 13.80-19.20,NA,2010,bc575,NA,NA,NA,NA,NA,NA,NA,Lithognathus mormyrus,0.988,NA,brackmarine
Lophius budegassa,7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.23,deep-water,fusiform / normal,bathydemersal,1013,100,bc328,Finfish,Lophius budegassa,Lophius budegassa,Lophius budegassa,Blackbellied angler,NA,"Black-bellied angler, wild, fillet, raw","Turkey, Mediterranean Sea",NA,NA,NA,0.014500458,0.056334138,NA,0.42,NA,fi67,muscle,0900347,r,Blackbellied angler,NA,NA,FA converted using XFA,2009,bc328,NA,NA,NA,NA,NA,NA,NA,Lophius budegassa,0.988,NA,marine
Lophius piscatorius,10,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.55,deep-water,short and / or deep,bathydemersal,1000,200,bc604,Finfish,Lophius piscatorius,Lophius piscatorius,Lophius piscatorius,Angler(=Monk),muscle,"Anglerfish, wild, skinless fillet, raw","Unknown, Pobie Bank",NA,NA,NA,NA,NA,NA,0.6,NA,fi105,muscle_skinless,0900623,r,Angler(=Monk),Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",NA,2006,bc604,NA,NA,NA,NA,NA,NA,NA,Lophius piscatorius,0.988,NA,marine
Lophius piscatorius,10,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.55,deep-water,short and / or deep,bathydemersal,1000,200,bc605,Finfish,Lophius piscatorius,Lophius piscatorius,Lophius piscatorius,Angler(=Monk),muscle,"Anglerfish, wild, skinless fillet, raw","Unknown, Breassay Ground",NA,NA,NA,NA,NA,NA,0.7,NA,fi105,muscle_skinless,0900624,r,Angler(=Monk),Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",NA,2006,bc605,NA,NA,NA,NA,NA,NA,NA,Lophius piscatorius,0.988,NA,marine
Lophius piscatorius,10,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.55,deep-water,short and / or deep,bathydemersal,1000,200,seadata128,Finfish,Lophius piscatorius,NA,NA,NA,edible muscle,"NA, edible muscle",Marmara Sea,22.5,5.4431,NA,NA,NA,15.06,0.25,NA,sea11,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,Lophius piscatorius,0.988,NA,marine
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,c375,Finfish,Lota lota,NA,NA,Burbot,muscle,"Burbot, muscle",NA,NA,NA,NA,NA,NA,17.4,0.9,c375,40,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,c378,Finfish,Lota lota,NA,NA,Burbot,muscle,"Burbot, muscle",NA,NA,0.6,NA,NA,NA,17.4,0.6,c378,34,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,c383,Finfish,Lota lota,NA,NA,Burbot,muscle,"Burbot, muscle",NA,NA,NA,NA,0.063,0.135,NA,NA,c383,59,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,c394,Finfish,Lota lota,NA,NA,Burbot,liver,"Burbot, liver",NA,NA,NA,NA,0.484,0.773,NA,NA,c394,59,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,c399,Finfish,Lota lota,NA,NA,Burbot,eggs,"Burbot, eggs",NA,NA,NA,NA,0.673,1.14,NA,NA,c399,59,eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,c403,Finfish,Lota lota,NA,NA,Burbot,muscle,"Burbot, muscle",NA,NA,NA,NA,NA,NA,17.6,0.8,c403,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,c404,Finfish,Lota lota,NA,NA,Burbot,whole,"Burbot, whole",NA,NA,NA,NA,NA,NA,15.2,3.7,c404,27,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc136,Finfish,Lota lota,Lota lota,Lota lota,Burbot,NA,"Burbot, wild, dorsal muscle, raw","Poland, Dargin Lake",11.5947,0.146668,0.82253,NA,NA,NA,NA,NA,fi26,muscle,0900136,r,Burbot,Jun 1997,"length and weight: 39.3cm, 524.7g",Minerals given per DM - conversion to FW,2009,bc136,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc901,Finfish,Lota lota,Lota lota,Lota lota,Burbot,NA,"Burbot, wild, fillet, raw","USA, NY, Ithaca, Cayuga Lake",NA,NA,NA,NA,NA,17.4,NA,NA,fi141,muscle,0900920,r,Burbot,NA,NA,NA,1980,bc901,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1419,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, eggs, raw","Canada, Canadian Arctic, Yukon and Inuit communities residing in Northwest Territories, Nunavut and Labrador",8,1.3,2.4,1.2,1.8,18,14,NA,fc001,eggs,0902336,r,NA,2 seasons (highest & lowest months of harvesting cycle in Yukon First Nations (1995) & Inuit (1998-1999) communities),NA,Samples were taken in the wild (informed by the author),2002,bc1419,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1420,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, flesh, raw","Canada, Canadian Arctic, Yukon and Inuit communities residing in Northwest Territories, Nunavut and Labrador",8,0.3,0.7,NA,NA,17,0.7,NA,fc001,muscle,0902337,r,NA,2 seasons (highest & lowest months of harvesting cycle in Yukon First Nations (1995) & Inuit (1998-1999) communities),NA,Samples were taken in the wild (informed by the author),2002,bc1420,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1421,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, liver, raw","Canada, Canadian Arctic, Yukon and Inuit communities residing in Northwest Territories, Nunavut and Labrador",4,2,1.6,NA,NA,10,24,NA,fc001,liver,0902338,r,NA,2 seasons (highest & lowest months of harvesting cycle in Yukon First Nations (1995) & Inuit (1998-1999) communities),NA,"Samples were taken in the wild (informed by the author); to calculate energy in one of the samples, summed minerals were used as ash (ash was not analyzed for that sample)",2002,bc1421,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1451,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, meat, raw","Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope).",40,0.4,0.6,NA,NA,18,0.6,NA,fc003,muscle,0902368,r,NA,1988 to 1990,NA,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method",1994,bc1451,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1454,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, liver, raw","Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope).",10,2,2,NA,NA,8,34,NA,fc003,liver,0902371,r,NA,1988 to 1990,NA,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method",1994,bc1454,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1456,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, skin, raw","Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope) and K áhbamit úé (Colville Lake)",212,0.8,1.8,NA,NA,24,1,NA,fc003,skin,0902373,r,NA,1988 to 1990,NA,"Composite sample; FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method.",1994,bc1456,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1479,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, meat, raw","Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",NA,NA,NA,NA,NA,NA,NA,NA,fc004,muscle,0902396,r,NA,July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),NA,Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,bc1479,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1482,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, liver, raw","Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",NA,NA,NA,NA,NA,NA,NA,NA,fc004,liver,0902399,r,NA,July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),NA,Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,bc1482,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1484,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, skin, raw","Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",NA,NA,NA,NA,NA,NA,NA,NA,fc004,skin,0902401,r,NA,July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),NA,Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,bc1484,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1516,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, meat, raw","Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",NA,NA,NA,NA,0.1,NA,0.5,NA,fc006,muscle,0902433,r,NA,July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),NA,tr=trace amount <0.05 g/100 g,1991,bc1516,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1519,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, liver, raw","Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",NA,NA,NA,0.8,0.8,NA,35.7,NA,fc006,liver,0902436,r,NA,July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),NA,tr=trace amount <0.05 g/100 g,1991,bc1519,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,elongated,demersal,700,152,bc1520,Finfish,Lota lota,NA,Lota lota,NA,NA,"Loche, wild, skin, raw","Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",NA,NA,NA,0.1,0.1,NA,1.2,NA,fc006,skin,0902437,r,NA,July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),NA,Sample is a composite from 2 or more individuals; tr=trace amount <0.05 g/100 g,1991,bc1520,NA,NA,NA,NA,NA,NA,NA,Lota lota,0.988,NA,freshbrack
Macrodon ancylodon,2.7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9,subtropical,fusiform / normal,demersal,60,45,bc561,Finfish,Macrodon ancylodon,Macrodon ancylodon,Microdon ancylodon,King weakfish,NA,"Kink weakfish, wild, fillet, raw","Uruguay, Río de la Plata",NA,NA,NA,0.02618412,0.07058328,19.2,0.56,NA,fi95,muscle,0900580,r,King weakfish,Dec 1991-Jan 1992 (Summer),NA,FA converted using XFA,1996,bc561,NA,NA,NA,NA,NA,NA,NA,Macrodon ancylodon,0.988,NA,brackmarine
Macrourus berglax,14.8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,elongated,benthopelagic,1000,110,bc74,Finfish,Macrourus berglax,Macrourus berglax,Macrourus berglax,Roughhead grenadier,NA,"Roughhead grenadier, wild, dorsal muscle, raw","Unknown, Hatton Bank, North Atlantic",NA,NA,NA,0.071462001,0.125921415,16.7,0.61,NA,fi11,muscle,0900074,r,Roughhead grenadier,NA,NA,FA converted using XFA,2005,bc74,NA,NA,NA,NA,NA,NA,NA,Macrourus berglax,0.988,NA,marine
Mallotus villosus,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.2,polar,elongated,pelagic-oceanic,725,20,c408,Finfish,Mallotus villosus,NA,NA,Capelin,muscle,"Capelin, muscle",NA,NA,NA,NA,0.65,0.2,NA,NA,c408,55,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mallotus villosus,0.988,NA,freshbrackmarine
Mallotus villosus,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.2,polar,elongated,pelagic-oceanic,725,20,bc284,Finfish,Mallotus villosus,Mallotus villosus,Mallotus villosus,Capelin,NA,"Capelin, wild, whole fish, raw","USA, Alaska, British Columbia, Pacific Northwest waters",NA,NA,NA,0.36230105,0.45922235,NA,5.1,NA,fi59,whole,0900303,r,Capelin,Summer,"mean length and weight of fish: 14.3cm, 26g",FA converted using XFA,2009,bc284,NA,NA,NA,NA,NA,NA,NA,Mallotus villosus,0.988,NA,freshbrackmarine
Mallotus villosus,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.2,polar,elongated,pelagic-oceanic,725,20,bc1223,Finfish,Mallotus villosus,Mallotus villosus,"Mallotus villosus (Müller, 1776)",Capelin,NA,"Capelin, roe, wild, raw","Iceland, North Atlantic",39,0.16,2.3,NA,NA,10.8,3.5,NA,im11,eggs,0901262,r,Capelin,NA,NA,NA,2011,bc1223,NA,NA,NA,NA,NA,NA,NA,Mallotus villosus,0.988,NA,freshbrackmarine
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,fusiform / normal,demersal,450,112,c411,Finfish,Melanogrammus aeglefinus,NA,NA,Haddock,muscle,"Haddock, muscle",NA,27,0.679,0.788,NA,NA,18.2,0.5,c411,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melanogrammus aeglefinus,0.988,NA,marine
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,fusiform / normal,demersal,450,112,c414,Finfish,Melanogrammus aeglefinus,NA,NA,Haddock,whole,"Haddock, whole",NA,NA,NA,NA,NA,NA,NA,NA,c414,27,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melanogrammus aeglefinus,0.988,NA,marine
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,fusiform / normal,demersal,450,112,c417,Finfish,Melanogrammus aeglefinus,NA,NA,Haddock,muscle,"Haddock, muscle",NA,NA,NA,NA,0.07,0.14,NA,0.59,c417,55,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melanogrammus aeglefinus,0.988,NA,marine
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,fusiform / normal,demersal,450,112,c419,Finfish,Melanogrammus aeglefinus,NA,NA,Haddock,muscle,"Haddock, muscle",NA,NA,NA,NA,0.07,0.14,NA,NA,c419,55,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melanogrammus aeglefinus,0.988,NA,marine
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,fusiform / normal,demersal,450,112,bc613,Finfish,Melanogrammus aeglefinus,Melanogrammus aeglefinus,Melanogrammus aeglefinus,Haddock,muscle,"Haddock, wild, skinless fillet, raw","Unknown, Nolsoyar Bank",NA,NA,NA,NA,NA,NA,0.8,NA,fi105,muscle_skinless,0900632,r,Haddock,Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",NA,2006,bc613,NA,NA,NA,NA,NA,NA,NA,Melanogrammus aeglefinus,0.988,NA,marine
