food_item_id,subgroup,country_region,type,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,n,comments_on_data_processing_methods,publication_year,biblioid,compiler,latest_revision_in_version,fat_g,fatce_g,fat_g_2,fapu_g,faun_g,xfa_internal_use,facid_g,fapun3_g,fapun6_g,f20d5n3_g,f22d6n3_g,asfis_scientific_name_fishbase_swap
0902117,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,52,TOS,NA,"Top shell, raw",r,Batillus cornutus,Horned turban,Turbo cornutus,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Turbo cornutus
0902118,Crustacean,"Unknown (samples from markets of City of S‹o Paulo, Brazil)",NA,45,PNB/PPS,NA,"Pink shrimp, flesh (without exosceletron, cephalotorax and intestine), raw",r,Penaeus brasiliensis/Penaeus paulensis,Redspotted shrimp/Sao Paolo shrimp,Penaeus brasiliensis/Penaeus paulensis,NA,NA,NA,FA converted using XFA,2002,fi233,SE,1.0,1.13,NA,NA,0.3269484,NA,0.71440708,NA,NA,NA,0.14369584,0.08637896,Farfantepenaeus brasiliensis
0902119,Molluscs,"Korea, South coast",NA,52,RPW,Pibbulgodoong,"Murex shell, edible portion, raw",r,Rapana venosa,Thomas' rapa whelk,Rapana venosa,"Mar, May, Jun, Jul, Aug, Oct 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,0.313,NA,NA,1.024,0.19,0.123,0.083,0.099,Rapana venosa
0902120,Molluscs,"Korea, West coast",NA,52,RPW,Pibbulgodoong,"Murex shell, edible portion, raw",r,Rapana venosa,Thomas' rapa whelk,Rapana venosa,"Mar, May, Jun, Jul, Aug, Oct 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,1.01,NA,NA,3.368,0.65,0.361,0.291,0.339,Rapana venosa
0902121,Molluscs,"Korea, South coast",NA,56,ACB,Pijogae,"Ark shell, edible portion, raw",r,Scapharca broughtonii,Inflated ark,Scapharca broughtonii,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,0.764,NA,NA,1.815,0.663,0.102,0.303,0.344,Scapharca broughtonii
0902122,Molluscs,"Korea, West coast",NA,56,ACB,Pijogae,"Ark shell, edible portion, raw",r,Scapharca broughtonii,Inflated ark,Scapharca broughtonii,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,0.483,NA,NA,1.116,0.423,0.06,0.199,0.216,Scapharca broughtonii
0902123,Molluscs,"South coast, Korea",NA,56,SVT,Garimatjogae,"Jack - knife clam, edible portion, raw",r,Sinonovacula constricta,Constricted tagelus,Sinonovacula constricta,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,0.701,NA,NA,1.913,0.598,0.102,0.266,0.305,Sinonovacula constricta
0902124,Molluscs,West coast. Korea,NA,56,SVT,Garimatjogae,"Jack - knife clam, edible portion, raw",r,Sinonovacula constricta,Constricted tagelus,Sinonovacula constricta,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,0.732,NA,NA,2.134,0.615,0.118,0.242,0.342,Sinonovacula constricta
0902125,Molluscs,"South coast, Korea",NA,56,HCJ,Baekhap,"Orient hard clam, edible portion, raw",r,Meretrix lusoria,Japanese hard clam,Meretrix lusoria,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,0.4,NA,NA,1.087,0.329,0.071,0.112,0.211,Meretrix lusoria
0902126,Molluscs,West coast. Korea,NA,56,HCJ,Baekhap,"Orient hard clam, edible portion, raw",r,Meretrix lusoria,Japanese hard clam,Meretrix lusoria,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,1.082,NA,NA,3.397,0.898,0.184,0.33,0.54,Meretrix lusoria
0902127,Molluscs,"South coast, Korea",NA,56,CLJ,Bagirak,Japanese carpet shell,r,Ruditapes philippinarum,Ruditapes philippinarum,Ruditapes philippinarum,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,0.743,NA,NA,2.315,0.601,0.142,0.208,0.369,Ruditapes philippinarum
0902128,Molluscs,West coast. Korea,NA,56,CLJ,Bagirak,Japanese carpet shell,r,Ruditapes philippinarum,NA,Ruditapes philippinarum,"Mar, May, Jun, Jul, Aug, Oct, Dec 2003, 2004",NA,NA,NA,2009,fi234,SE,1.0,NA,NA,NA,0.349,NA,NA,1.072,0.277,0.072,0.103,0.17,Ruditapes philippinarum
