run,species_no,mean,std.error
39,5,1.9603174603174602,0.012321690091892863
39,6,1.9857142857142858,0.008208302674107883
39,7,2,0
39,8,2,0
39,9,2,0
39,10,2,NA
4,1,1.7,0.15275252316519466
4,2,1.7333333333333334,0.06666666666666667
4,3,1.7833333333333334,0.03776555522604268
4,4,1.8571428571428572,0.024204964059638786
4,5,1.9047619047619047,0.01852830293834163
4,6,1.9476190476190476,0.015410986606158606
4,7,1.975,0.01431195069769
4,8,2,0
4,9,2,0
4,10,2,NA
40,1,1.2,0.13333333333333333
40,2,1.3111111111111111,0.0697920592732311
40,3,1.3083333333333333,0.04233359800530421
40,4,1.2619047619047619,0.030412684459928816
40,5,1.242063492063492,0.027036109679236916
40,6,1.1857142857142857,0.026899110619750623
40,7,1.1166666666666667,0.02942810003883066
40,8,1,0
40,9,1,0
40,10,1,NA
41,1,1.5,0.16666666666666666
41,2,1.4222222222222223,0.07446027270295803
41,3,1.55,0.04560517440787952
41,4,1.5285714285714285,0.034529210535954986
41,5,1.6071428571428572,0.030826620161973947
41,6,1.6428571428571428,0.03314401204766496
41,7,1.7416666666666667,0.040125561565454056
41,8,1.8,0.06030226891555272
41,9,1.9,0.09999999999999999
41,10,2,NA
42,1,1.6,0.1632993161855452
42,2,1.7555555555555555,0.06478835438717001
42,3,1.8333333333333333,0.03416333590378282
42,4,1.9047619047619047,0.020304830129105757
42,5,1.9523809523809523,0.013441843736610398
42,6,1.980952380952381,0.009455209762698591
42,7,1.9916666666666667,0.008333333333333333
42,8,2,0
42,9,2,0
42,10,2,NA
43,1,1.7,0.15275252316519466
43,2,1.8,0.08761716542303612
43,3,1.6416666666666666,0.04395667801920045
43,4,1.7190476190476192,0.03109009446934459
43,5,1.7976190476190477,0.025359793639608937
43,6,1.8285714285714285,0.026069544122384464
43,7,1.9,0.027500954910846337
43,8,1.9333333333333333,0.03760507165451774
43,9,2,0
43,10,2,NA
44,1,1.7,0.15275252316519466
44,2,1.9111111111111112,0.04290254662948546
44,3,1.9333333333333333,0.02286647801900118
44,4,1.9857142857142858,0.008208302674107883
44,5,1.996031746031746,0.003968253968253968
44,6,2,0
44,7,2,0
44,8,2,0
44,9,2,0
44,10,2,NA
45,1,1.7,0.15275252316519466
45,2,1.8,0.06030226891555272
45,3,1.9,0.027500954910846337
45,4,1.9428571428571428,0.016055756769971896
45,5,1.9761904761904763,0.009622895669065483
45,6,1.9952380952380953,0.004761904761904762
45,7,2,0
45,8,2,0
45,9,2,0
45,10,2,NA
46,1,1.5,0.16666666666666666
46,2,1.7555555555555555,0.06478835438717001
46,3,1.875,0.030316953129541618
46,4,1.938095238095238,0.016669107655768536
46,5,1.9761904761904763,0.009622895669065483
46,6,1.9952380952380953,0.004761904761904762
46,7,2,0
46,8,2,0
46,9,2,0
46,10,2,NA
47,1,1.8,0.13333333333333333
47,2,1.9333333333333333,0.03760507165451774
47,3,1.9666666666666666,0.01645524161649806
47,4,1.9904761904761905,0.006718220093499974
47,5,2,0
47,6,2,0
47,7,2,0
47,8,2,0
47,9,2,0
47,10,2,NA
48,1,1.6,0.22110831935702663
48,2,1.8888888888888888,0.047377936967913425
48,3,1.9416666666666667,0.021484908824324633
48,4,1.9857142857142858,0.008208302674107883
48,5,1.996031746031746,0.003968253968253968
48,6,2,0
48,7,2,0
48,8,2,0
48,9,2,0
48,10,2,NA
49,1,1.7,0.15275252316519466
49,2,1.9111111111111112,0.08301285176284587
49,3,2.05,0.05138147547909619
49,4,2.2714285714285714,0.03744170571292602
49,5,2.0198412698412698,0.02415353618221375
49,6,1.9666666666666666,0.012416654624658324
49,7,1.9916666666666667,0.008333333333333333
49,8,2,0
49,9,2,0
49,10,2,NA
5,1,1.7,0.15275252316519466
5,2,1.7555555555555555,0.06478835438717001
5,3,1.85,0.032732683535398856
5,4,1.9047619047619047,0.020304830129105757
5,5,1.9484126984126984,0.01396153679115185
5,6,1.980952380952381,0.009455209762698591
5,7,1.9916666666666667,0.008333333333333333
5,8,2,0
5,9,2,0
5,10,2,NA
50,1,1.8,0.13333333333333333
50,2,1.8,0.06030226891555272
50,3,1.925,0.02414504490112435
50,4,1.9761904761904763,0.010545556307056503
50,5,1.996031746031746,0.003968253968253968
50,6,2,0
50,7,2,0
50,8,2,0
50,9,2,0
50,10,2,NA
51,1,1.8,0.13333333333333333
51,2,2.0444444444444443,0.06321005190772531
51,3,2.225,0.04177856123984775
51,4,2.3666666666666667,0.03333333333333333
51,5,2.484126984126984,0.03154381303686605
51,6,2.5,0.03458572319330373
51,7,2.2916666666666665,0.04166666666666667
51,8,2,0
51,9,2,0
51,10,2,NA
52,1,1.4,0.1632993161855452
52,2,1.5555555555555556,0.07491109582924912
52,3,1.6416666666666666,0.04395667801920045
52,4,1.723809523809524,0.030927395843275758
52,5,1.7936507936507937,0.02554343316084324
52,6,1.8666666666666667,0.023513770327249908
52,7,1.9333333333333333,0.02286647801900118
52,8,1.9777777777777779,0.022222222222222223
52,9,2,0
52,10,2,NA
53,1,1.6,0.1632993161855452
53,2,1.7777777777777777,0.06267511942419625
53,3,1.875,0.030316953129541618
53,4,1.938095238095238,0.016669107655768536
53,5,1.9761904761904763,0.009622895669065483
53,6,1.9952380952380953,0.004761904761904762
53,7,2,0
53,8,2,0
53,9,2,0
53,10,2,NA
54,1,1.9,0.09999999999999999
54,2,1.9111111111111112,0.04290254662948546
54,3,1.9666666666666666,0.01645524161649806
54,4,1.9952380952380953,0.004761904761904762
54,5,2,0
54,6,2,0
54,7,2,0
54,8,2,0
54,9,2,0
54,10,2,NA
55,1,1.8,0.13333333333333333
55,2,1.9333333333333333,0.03760507165451774
55,3,1.9833333333333334,0.011735491270876315
55,4,2,0
55,5,2,0
55,6,2,0
55,7,2,0
55,8,2,0
55,9,2,0
55,10,2,NA
56,1,1.7,0.15275252316519466
56,2,1.9111111111111112,0.04290254662948546
56,3,1.9,0.027500954910846337
56,4,1.9714285714285715,0.011523867896490826
56,5,2,0
56,6,2,0
56,7,2,0
56,8,2,0
56,9,2,0
56,10,2,NA
57,1,1.5,0.16666666666666666
57,2,1.7333333333333334,0.08645662192537638
57,3,1.9166666666666667,0.05498068585415668
57,4,2.085714285714286,0.042815351386591725
57,5,2.2777777777777777,0.03825287795424035
57,6,1.8666666666666667,0.023513770327249908
57,7,1.9333333333333333,0.02286647801900118
57,8,1.9777777777777779,0.022222222222222223
57,9,2,0
57,10,2,NA
58,1,1.6,0.1632993161855452
58,2,1.711111111111111,0.0683294324254051
58,3,1.7916666666666667,0.03722863219470603
58,4,1.880952380952381,0.022400794954143245
58,5,1.9325396825396826,0.015831460814083174
58,6,1.957142857142857,0.014009635809613891
58,7,1.9916666666666667,0.008333333333333333
58,8,2,0
58,9,2,0
58,10,2,NA
59,1,1.7,0.15275252316519466
59,2,1.8444444444444446,0.05463890236888291
59,3,1.9166666666666667,0.025336208004377515
59,4,1.9619047619047618,0.013241227289874992
59,5,1.9880952380952381,0.006845779386845438
59,6,2,0
59,7,2,0
59,8,2,0
59,9,2,0
59,10,2,NA
6,1,1.6,0.22110831935702663
6,2,1.7555555555555555,0.06478835438717001
6,3,1.85,0.032732683535398856
6,4,1.9095238095238096,0.01984271279024388
6,5,1.9484126984126984,0.01396153679115185
6,6,1.980952380952381,0.009455209762698591
6,7,1.9916666666666667,0.008333333333333333
6,8,2,0
6,9,2,0
6,10,2,NA
60,1,1.4,0.1632993161855452
60,2,1.5777777777777777,0.07446027270295803
60,3,1.5833333333333333,0.0451938453788867
60,4,1.7047619047619047,0.03155253554505403
60,5,1.7182539682539681,0.028394293050790442
60,6,1.838095238095238,0.02548023063085481
60,7,1.825,0.0348315273009618
60,8,1.9333333333333333,0.03760507165451774
60,9,1.9,0.09999999999999999
60,10,2,NA
61,1,1.8,0.13333333333333333
61,2,1.9333333333333333,0.03760507165451774
61,3,1.975,0.01431195069769
61,4,1.9904761904761905,0.006718220093499974
61,5,2,0
61,6,2,0
61,7,2,0
61,8,2,0
61,9,2,0
61,10,2,NA
