culture,latin_name,subgroup,calcium,zinc,iron,epa,dha
Cree,Gadus macrocephalus,Fish,10,0.3,0.2,0.1,0.1
Cree,Gadus morhua,Fish,15.5,1.1418,1.36,1.1045,0.9751666666666666
Cree,Lota lota,Fish,44.4,1.238888888888889,0.9,0.426,0.5585454545454546
Cree,Melanogrammus aeglefinus,Fish,24,0.5626666666666666,0.6930000000000001,0.078,0.16325
Cree,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Cree,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Cree,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Cree,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Cree,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Cree,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Cree,Ostreidae,Marine Invertebrates,84.66666666666667,53.6,2050.14,0.22349999999999998,0.183
Cree,Perca flavescens,Fish,77.385,0.982,0.45633333333333337,0.1,0.2
Cree,Percidae,Fish,110,642.76,0.6,0.054,0.245
Cree,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Cree,Salvelinus alpinus,Fish,39.166666666666664,2.079090909090909,1.676923076923077,0.6266666666666667,0.49666666666666665
Cree,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Cree,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Cree,Stenodus leucichthys,Fish,13,0.3,0.30000000000000004,0.2,0.2
Dogrib,Catostomus catostomus,Fish,63.1,0.5,0.3,0.075,0.212
Dogrib,Catostomus commersonii,Fish,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999
Dogrib,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Dogrib,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Dogrib,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Dogrib,Esox lucius,Fish,70.45488888888889,1.646777777777778,0.4177,0.05525,0.14266666666666666
Dogrib,Lota lota,Fish,44.4,1.238888888888889,0.9,0.426,0.5585454545454546
Dogrib,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Dogrib,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Dogrib,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Dogrib,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Dogrib,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Dogrib,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Dogrib,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Dogrib,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Dogrib,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Dogrib,Stenodus leucichthys,Fish,13,0.3,0.30000000000000004,0.2,0.2
Eyak,Clupea harengus,Fish,41.25,0.83525,1.1,0.7733333333333333,1.1466666666666667
Eyak,Clupea pallasii,Fish,51,0.5,1.8800000000000001,1,0.7
Eyak,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Eyak,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Eyak,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Eyak,Mercenaria mercenaria ,Marine Invertebrates,49,2.3,2.8,0.09,0.08
Eyak,Mya arenaria,Marine Invertebrates,53,1.7,40.5,0.2,0.2
Eyak,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Eyak,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Eyak,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Eyak,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Eyak,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Eyak,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Eyak,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Eyak,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Eyak,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Eyak,Stenodus leucichthys,Fish,13,0.3,0.30000000000000004,0.2,0.2
Eyak,Thaleichthys pacificus,Fish,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Gwich'in,Catostomus catostomus,Fish,63.1,0.5,0.3,0.075,0.212
Gwich'in,Catostomus commersonii,Fish,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999
Gwich'in,Clupea harengus,Fish,41.25,0.83525,1.1,0.7733333333333333,1.1466666666666667
Gwich'in,Clupea pallasii,Fish,51,0.5,1.8800000000000001,1,0.7
Gwich'in,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Gwich'in,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Gwich'in,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Gwich'in,Esox lucius,Fish,70.45488888888889,1.646777777777778,0.4177,0.05525,0.14266666666666666
Gwich'in,Lota lota,Fish,44.4,1.238888888888889,0.9,0.426,0.5585454545454546
Gwich'in,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Gwich'in,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Gwich'in,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Gwich'in,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Gwich'in,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
