seanuts_id2,Species,subgroup,food_name_clean,food_name_checked_in_paper,species_name,part,reference
1254,Trachurus trachurus,finfish,Scad/Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1238,Trachurus trachurus,finfish,Scad/Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1240,Trachurus trachurus,finfish,Scad/Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1271,Zeus faber,finfish,Jhan_Dory_wild_edible_flesh_raw,muscle,Zeus faber,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1147,Acanthurus lineatus,finfish,Black_bream_wild_edible_flesh_raw,muscle,Acanthurus lineatus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
376,Boops boops,finfish,Bogue_seabream_wild_edible_flesh_raw,muscle,Boops boops,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
372,Boops boops,finfish,Bogue_seabream_wild_edible_flesh_raw,muscle,Boops boops,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
373,Boops boops,finfish,Bogue_seabream_wild_edible_flesh_raw,muscle,Boops boops,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
374,Boops boops,finfish,Bogue_seabream_wild_edible_flesh_raw,muscle,Boops boops,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1018,Sarda sarda,finfish,Atlantic_bonito_wild_edible_flesh_raw,muscle,Sarda sarda,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1015,Sarda sarda,finfish,Atlantic_bonito_wild_edible_flesh_raw,muscle,Sarda sarda,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1016,Sarda sarda,finfish,Atlantic_bonito_wild_edible_flesh_raw,muscle,Sarda sarda,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1076,Scorpaena scrofa,finfish,Scorpionfish_wild_edible_flesh_raw,muscle,Scorpaena scrofa,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
60,Portunus pelagicus,crustacean,Crab_wild_male_meat_raw,muscle,Portunus pelagicus,muscle,"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235"
61,Portunus pelagicus,crustacean,Crab_wild_female_meat_raw,muscle,Portunus pelagicus,muscle,"Musaiger A.O., Al-Rumaidh M.J. (2005). Proximate and mineral composition of crab meat consumed in Bahrain. International Journal of Food Sciences and Nutrition 56(4): 231-235"
188,Cyprinus carpio,finfish,Common_carp_wild_edible_flesh_raw,muscle,Cyprinus carpio,muscle,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
269,Rutilus frisii,finfish,Caspian_kutum_wild_edible_flesh_raw,muscle,Rutilus frisii kutum,muscle,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
216,Sander lucioperca,finfish,Pike_perch_wild_edible_flesh_raw,muscle,Sander lucioperca,muscle,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
274,Liza aurata,finfish,Golden_grey_mullet_wild_edible_flesh_raw,muscle,Liza aurata,muscle,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
507,Cyprinus carpio,finfish,Common_carp_wild_edible_flesh_raw,muscle,Cyprinus carpio,muscle,"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895"
996,Rutilus frisii,finfish,Caspian_kutum_wild_edible_flesh_raw,muscle,Rutilus frisii kutum,muscle,"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895"
1008,Sander lucioperca,finfish,Pike_perch_wild_edible_flesh_raw,muscle,Sander lucioperca,muscle,"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895"
669,Liza aurata,finfish,Golden_grey_mullet_wild_edible_flesh_raw,muscle,Liza aurata,muscle,"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895"
1067,Scomberomorus commerson,finfish,Spanish_mackerel_portion_raw,muscle,Scomberomorus commerson,muscle,"Puwastien P., Judprasong K., Kettwan E., Vasanachitt K., Nakngamanong Y., Bhattacharjee L. (1999) Proximate composition of raw and cooked thai freshwater and marine fish. J Food Comp Anal 12: 9-16"
16,Barbonymus altus,finfish,cleaned_fish_raw,muscle + bones,Barbonymus altus,muscle,"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
3,Channa marulius,finfish,cleaned_fish_raw,muscle + bones,Channa marulius,muscle,"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
10,Channa micropeltes,finfish,Indonesian_snakehead_cleaned_fish_raw,muscle + bones,Channa micropeltes,muscle,"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
12,Dermogenys pusilla,finfish,cleaned_fish_raw,muscle + bones,Dermogenys pusilla,muscle,"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
25,Esomus longimanus,finfish,cleaned_fish_raw,muscle + head,Esomus longimanus,muscle,"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
17,Puntioplites proctozystron,finfish,cleaned_fish_raw,muscle + bones,Puntioplites proctozystron,muscle,"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
167,Sebastes ruberrimus,finfish,Yelloweye_rockfish,muscle,Sebastes ruberrimus,muscle,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11
960,Portunus pelagicus,crustacean,Blue_swimmer_crab_wild_meat_male_raw,muscle,Portunus pelagicus,muscle,"Wu X., Zhou B., Cheng Y., Zeng C., Wang C., Feng L. (2010). Comparison of gender differences in biochemical composition and nutritional value of various edible parts of the blue swimmer crab. Journal of Food Composition and Analysis 23: 154-159"
961,Portunus pelagicus,crustacean,Blue_swimmer_crab_wild_meat_female_raw,muscle,Portunus pelagicus,muscle,"Wu X., Zhou B., Cheng Y., Zeng C., Wang C., Feng L. (2010). Comparison of gender differences in biochemical composition and nutritional value of various edible parts of the blue swimmer crab. Journal of Food Composition and Analysis 23: 154-159"
