page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha,latin_name_cleaned,old_species1,cine_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
6414,Fish,Freshwater Fish,Freshwater Drum,Aplodinotus grunniens,muscle,raw,56,NA,NA,NA,18,3.2,NA,NA,NA,NA,NA,NA,Aplodinotus grunniens,Aplodinotus grunniens,60,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,subtropical,fusiform / normal,demersal,NA,95,fresh,cine
6432,Fish,Saltwater Fish,Arctic Cod,Boreogadus saida,muscle,raw,2,20.2,0.5,0.6,24.8,1,NA,NA,NA,18.1,0.165,0.329,Boreogadus saida,Boreogadus saida,61,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27,polar,elongated,demersal,400,40,brackmarine,cine
6518,Marine Invertebrates,Crustaceans,Crabs,Brachyura,muscle,raw,46,NA,NA,NA,11.4,0.7,NA,NA,NA,NA,NA,NA,Brachyura,Brachyura,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Crabs,Brachyura,muscle,raw,27,NA,NA,NA,23,2.2,NA,NA,NA,NA,NA,NA,Brachyura,Brachyura,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Crabs,Brachyura,muscle,raw,27,60,2.83,5.2,16.2,2.6,NA,NA,0.03,49,NA,NA,Brachyura,Brachyura,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Crabs,Brachyura,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachyura,Brachyura,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6431,Fish,Saltwater Fish,Menhaden,Brevoortia spp.,whole,raw,27,NA,NA,NA,15.9,4.2,NA,NA,NA,NA,NA,NA,Brevoortia tyrannus,Brevoortia spp.,66,1,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.61,subtropical,fusiform / normal,pelagic-neritic,50,50,brackmarine,cine
6431,Fish,Saltwater Fish,Menhaden,Brevoortia spp.,whole,raw,27,NA,NA,NA,15.5,11.8,NA,NA,NA,NA,NA,NA,Brevoortia tyrannus,Brevoortia spp.,67,1,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.61,subtropical,fusiform / normal,pelagic-neritic,50,50,brackmarine,cine
6431,Fish,Saltwater Fish,Menhaden,Brevoortia spp.,muscle,raw,27,60,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,Brevoortia tyrannus,Brevoortia spp.,68,1,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.61,subtropical,fusiform / normal,pelagic-neritic,50,50,brackmarine,cine
6431,Fish,Saltwater Fish,Menhaden,Brevoortia spp.,oil,raw,23,NA,NA,NA,NA,100.1,NA,29.5,NA,NA,12.7,7.9,Brevoortia tyrannus,Brevoortia spp.,69,1,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,2.61,subtropical,fusiform / normal,pelagic-neritic,50,50,brackmarine,cine
6518,Marine Invertebrates,Crustaceans,Blue Crab,Callinectes sapidus,muscle,raw,23,NA,NA,NA,NA,1.3,NA,0.5,NA,NA,0.2,0.2,Callinectes sapidus,Callinectes sapidus,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Blue Crab,Callinectes sapidus,muscle,raw,79,34.4,4,0.6,16.2,1,NA,NA,NA,NA,NA,NA,Callinectes sapidus,Callinectes sapidus,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Blue Crab,Callinectes sapidus,muscle,raw,65,74,NA,NA,16.4,0.77,NA,NA,NA,10,NA,NA,Callinectes sapidus,Callinectes sapidus,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Blue Crab,Callinectes sapidus,muscle,raw,27,115,4025,2.32,15.9,1.3,NA,NA,0.17,32,NA,NA,Callinectes sapidus,Callinectes sapidus,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
