Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,species,form_clean,search,nutrient,concentration
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupeonella cultriventris,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.03,temperate,fusiform / normal,pelagic-neritic,13,14.5,freshbrackmarine,Clupeonella_cultriventris,muscle,FAO,ca_mg,24.1776
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,freshbrackmarine,Coregonus_albula,muscle,FAO,ca_mg,12.63352
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,freshbrackmarine,Coregonus_albula,muscle,FAO,ca_mg,14.00058
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,freshbrackmarine,Coregonus_albula,muscle,FAO,ca_mg,12.63352
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,freshbrackmarine,Coregonus_albula,muscle,FAO,ca_mg,14.00058
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,freshbrackmarine,Coregonus_albula,muscle,FAO,ca_mg,12.63352
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,freshbrackmarine,Coregonus_albula,muscle,FAO,ca_mg,14.00058
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,freshbrackmarine,Coregonus_albula,muscle,FAO,ca_mg,12.63352
Coregonus albula,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.0599999427795406,temperate,fusiform / normal,benthopelagic,NA,48,freshbrackmarine,Coregonus_albula,muscle,FAO,ca_mg,14.00058
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,30
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,NA
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,NA
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,30
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,NA
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,NA
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,30
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,NA
Coregonus autumnalis,5.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.329999923706055,polar,fusiform / normal,pelagic-neritic,NA,65,freshbrackmarine,Coregonus_autumnalis,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,7.9
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
