genus_species,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples,biblio_id
salmo gairdneri,finfish,NA,US-pacific northwest,0,71,206.3,5.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
salmo salar,finfish,"salmon-Atlantic (wild, large)",Canada-Atlantic,4.465,NA,NA,NA,NA,karimi,"Jardine LB, Burt MDB, Arp PA, Diamond AW. 2009. Mercury comparisons between farmed and wild Atlantic salmon (Salmo salar L.) and Atlantic cod (Gadus morhua L.). Aquac Res 40(10):11481159.",47,karimi
salmo salar,finfish,"salmon-Atlantic (wild, small)",Canada-Atlantic,6.897,NA,NA,NA,NA,karimi,"Jardine LB, Burt MDB, Arp PA, Diamond AW. 2009. Mercury comparisons between farmed and wild Atlantic salmon (Salmo salar L.) and Atlantic cod (Gadus morhua L.). Aquac Res 40(10):11481159.",38,karimi
salvelinus malma,finfish,Dolly varden,NA,10.83,NA,NA,NA,NA,burger,"Burger, Joanna, Michael Gochfeld, Christian Jeitner, Sean Burke, Tim Stamm, Ronald Snigaroff, Dan Snigaroff, Robert Patrick, and Jim Weston. Mercury levels and potential risk from subsistence foods from the Aleutians. Science of the Total Environment 384, no. 1-3 (2007): 93-105.",NA,burger
salvelinus namaycush,finfish,trout-lake (wild),Canada-NWNWT,34.675,NA,NA,NA,NA,karimi,"Braune B, Muir D, DeMarch B, Gamberg M, Poole K, Currie R, et al. 1999. Spatial and temporal trends of contaminants in Canadian Arctic freshwater and terrestrial ecosystems: a review. Sci Total Environ 230(1-3):145-207.",45,karimi
salvelinus namaycush,finfish,trout-lake (wild),Great Lakes,15.865,NA,NA,NA,NA,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",4,karimi
salvelinus namaycush,finfish,trout-lake (wild),Canada-Lake Ontario,4.503,NA,NA,NA,NA,karimi,"Jackson TA, Whittle DM, Evans MS, Muir DCG. 2008. Evidence for mass-independent and mass-dependent fractionation of the stable isotopes of mercury by natural processes in aquatic ecosystems. Appl Geochem 23(3):547-571.",2,karimi
salvelinus namaycush,finfish,trout-lake (wild),Canada-Ontario Lakes,41.8,NA,NA,NA,NA,karimi,"Kidd KA, Hesslein RH, Fudge RJP, Hallard KA. 1995. The influence of trophic level as measured by delta N-15 on mercury concentrations in freshwater organisms. Water Air Soil Pollut 80(14):1011-1015.",7,karimi
salvelinus namaycush,finfish,trout-lake (wild),Northern Canada - lakes and river systems,36.48,NA,NA,NA,NA,karimi,"Lockhart WL, Stern GA, Low G, Hendzel M, Boila G, Roach P, et al. 2005. A history of total mercury in edible muscle of fish from lakes in northern Canada. Sci Total Environ 351:427-463.",1855,karimi
salvelinus namaycush,finfish,trout-lake (wild),Lake Michigan,17.3813577,NA,NA,NA,NA,karimi,"Raymond B, Rossmann R. 2009. Total and methyl mercury accumulation in 1994-1995 Lake Michigan lake trout and forage fish. J Gt Lakes Res 35(3):438-446.",60,karimi
salvelinus namaycush,finfish,trout-lake (wild),US-Michigan,23.80263775,NA,NA,NA,NA,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,49,karimi
salvelinus namaycush,finfish,trout-lake (wild),US,19.855,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,422,karimi
salvelinus namaycush,finfish,"trout-lake, wild",Great Lakes,21.85,NA,NA,NA,NA,karimi,Cappon CJ. 1984. Content and chemical form of mercury and selenium in Lake Ontario salmon and trout. J Gt Lakes Res 10(4):429-434.,14,karimi
salvelinus namaycush,finfish,trout-lake/siscowet (wild),Great Lakes,41.8,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,220,karimi
sarda chiliensis,finfish,NA,US-california,11.21,45.1,212.4,7.1,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
