genus_species,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples,biblio_id
carcharodon carcharias,finfish,NA,US-north atlantic,55.575,28.5,976.5,6.8,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
carcharodon carcharius,finfish,NA,US-Florida,513,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
carcharodon carcharius,finfish,NA,US-Florida,514.9,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
carcharodon carcharius,finfish,NA,US-Florida,408.5,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropomus undecimalis,finfish,NA,US-gulf,64.695,29.3,287.8,4.6,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
centropomus undecimalis,finfish,NA,US-Florida,35.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropomus undecimalis,finfish,NA,US-Florida,18.05,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropomus undecimalis,finfish,NA,US-Florida,59.85,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropomus undecimalis,finfish,NA,US-Florida,20.9,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropomus undecimalis,finfish,NA,US-Florida,57,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropomus undecimalis,finfish,NA,US-Florida,37.05,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropomus undecimalis,finfish,NA,US-Florida,20.9,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropristis  striata,finfish,NA,US-north atlantic,0,38,750,4,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
centropristis  striata,finfish,NA,US-south atlantic,18.335,37.9,1168.1,5.9,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
centropristis  striata,finfish,NA,US-north atlantic,4.75,31,300,7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
centropristis  striata,finfish,NA,US-north atlantic,13.11,50,385.5,7.6,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
centropristis  striata,finfish,NA,US-south atlantic,8.93,40.4,921.6,8,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
centropristis  striata,finfish,NA,US-south atlantic,10.735,72.9,1240.2,8.8,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
centropristis philadelphica,finfish,NA,US-Florida,6.65,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropristis striata,finfish,seabass-black,US-New York Bight,4.788,NA,NA,NA,NA,karimi,"Deshpande AD, Draxler AFJ, Zdanowicz VS, Schrock ME, Paulson AJ. 2000. Contaminant Levels in Muscle of Four Species of Recreational Fish from the New York Bight Apex. NOAA Technical Memorandum NMFS-NE-157. NMFS-NE-157. Available: http://www.nefsc.noaa.gov/publications/tm/tm157/tm157.pdf [accessed 24 February 2009].",14,karimi
centropristis striata,finfish,seabass-black,US-Delaware,6.84,NA,NA,NA,NA,karimi,State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010].,1,karimi
centropristis striata,finfish,seabass-black,US-Virginia,0.475,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1,karimi
centropristis striata,finfish,seabass-black,US-Virginia,5.06130712,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,2,karimi
centropristis striata,finfish,seabass-black,US,14.25,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,2,karimi
centropristis striata,finfish,NA,US-Florida,16.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropristis striata,finfish,NA,US-Florida,12.35,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
centropristis striata,finfish,NA,US-Florida,13.3,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
cerastoderma edule),mollusc,clams-cockle,US-Oregon,0.57,NA,NA,NA,NA,karimi,"Caldwell RS, Buhler DR. 1983. Heavy metals in estuarine shellfish from Oregon Arch Environ Contam Toxicol 12(1):15-23.",71,karimi
cerastoderma edule),mollusc,clams-cockle,US,7.59,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,10,karimi
chaetodipterus faber,finfish,NA,US-Florida,31.35,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
chaetodipterus faber,finfish,NA,US-Florida,24.7,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
chaetodipterus faber,finfish,NA,US-Florida,32.3,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
chaetodipterus faber,finfish,NA,US-Florida,1.9,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
chanos chanos,finfish,NA,US-hawaii,6.745,48.7,294.2,6.9,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
chionecetes bairdi,crustacean,NA,US-alaska,18.05,36.1,2091.2,29.9,meat,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
chlamys hericius,mollusc,NA,US-alaska,0.6,28.6,235,9.4,adductor muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
clupea harengus,finfish,herring-Atlantic,Canada-Bay of Fundy,0.945421,NA,NA,NA,NA,karimi,"Braune BM. 1987. Mercury accumulation in relation to size and age of atlantic herring (Clupea harengus harengus) from the southwestern Bay of Fundy, Canada. Arch Environ Contam Toxicol 16(3):311-320.",54,karimi
clupea harengus,finfish,herring-Atlantic,US-Atlantic,9.88,NA,NA,NA,NA,karimi,"Gerhart EH. 1977. Concentrations of total mercury in several fishes from Delaware Bay, 1975. Pesticides Monitoring Journal 11(3):132-133.",3,karimi
clupea harengus,finfish,herring-Atlantic,Canada-Bay of Fundy,3.819,NA,NA,NA,NA,karimi,"Harding G, Dalziel J, Vass P. 2005. Prevalence and bioaccumulation of methylmercury in the food web of the Bay of Fundy, Gulf of Maine. In: The Changing Bay of Fundy -Beyond 400 Years Proceedings of the 6th Bay of Fundy Workshop (Percy JA, Evans AJ, Wells PG, Rolston SJ, eds). Cornwalis, Nova Scotia. September 29 -October 2, 2004. Environment Canada, Atlantic Region, 76-77.",16,karimi
clupea harengus,finfish,herring-Atlantic,Arctic,0.95,NA,NA,NA,NA,karimi,"Jaeger I, Hop H, Gabrielsen GW. 2009. Biomagnification of mercury in selected species from an Arctic marine food web in Svalbard. Sci Total Environ 407(16):4744-4751.",10,karimi
clupea harengus,finfish,herring-Atlantic,Baltic Sea,1.9,NA,NA,NA,NA,karimi,"Nfon E, Cousins IT, Jarvinen O, Mukherjee AB, Verta M, Broman D. 2009. Trophodynamics of mercury and other trace elements in a pelagic food chain from the Baltic Sea. Sci Total Environ 407(24):6267-6274.",12,karimi
clupea harengus,finfish,herring-Atlantic,US-Maryland,7.505,NA,NA,NA,NA,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,1,karimi
clupea harengus,finfish,herring-Atlantic,US,12.54,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,7,karimi
clupea harengus harengus,finfish,NA,US-north atlantic,2.85,53.3,229.6,11.1,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
clupea harengus pallasi,finfish,NA,US-pacific northwest,9.31,59.6,425.9,12.3,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
clupea pallasii,finfish,herring-Pacific,US-California,1.615,NA,NA,NA,NA,karimi,"Greenfield BK, Jahn A. 2010. Mercury in San Francisco Bay forage fish. Environ Pollut 158(8):27162724.",3,karimi
clupea pallasii,finfish,herring-Pacific,Canada,2.945,NA,NA,NA,NA,karimi,"Lockhart WL, Stern GA, Low G, Hendzel M, Boila G, Roach P, et al. 2005. A history of total mercury in edible muscle of fish from lakes in northern Canada. Sci Total Environ 351:427-463.",25,karimi
clupea pallasii,finfish,herring-Pacific,US-California,1.805,NA,NA,NA,NA,karimi,San Francisco Estuary Institute. 2007. California Bay  Delta Authority Fish Mercury Project: Year 2 Annual Report (Sport Fish Sampling and Analysis). Contribution no. 535. Available: http://legacy.sfei.org/rmp/data/rmpfishtissue.htm [accessed 10 April 2008].,1,karimi
clupea pallasii,finfish,herring-Pacific,US,3.705,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,121,karimi
conger oceanicus,finfish,NA,US-north atlantic,3.325,25.5,883.3,5.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
coregonus clupeaformis,finfish,whitefish,Canada - Northern Manitoba,18.62,NA,NA,NA,NA,karimi,"Jackson TA. 1991. Biological and environmental control of mercury accumulation by fish in lakes and reservoirs of Northern Manitoba, Canada. Can J Fish Aquat Sci 48(12):2449-2470.",7,karimi
coregonus clupeaformis,finfish,whitefish,Northern Canada - lakes,9.975,NA,NA,NA,NA,karimi,"Lockhart WL, Stern GA, Low G, Hendzel M, Boila G, Roach P, et al. 2005. A history of total mercury in edible muscle of fish from lakes in northern Canada. Sci Total Environ 351:427-463.",95,karimi
coregonus clupeaformis,finfish,whitefish-lake,Great Lakes,3.382,NA,NA,NA,NA,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",4,karimi
coregonus clupeaformis,finfish,whitefish-lake,Canada - Quebec (La Grande Complex),33.44,NA,NA,NA,NA,karimi,"Doyon JF, Schetagne R, Verdon R. 1998. Different mercury bioaccumulation rates between sympatric populations of dwarf and normal lake whitefish (Coregonus clupeaformis) in the La Grande complex watershed, James Bay, Quebec. Biogeochemistry 40(2-3):203-216.",75,karimi
coregonus clupeaformis,finfish,whitefish-lake,Canada - Ontario lakes,14.13125,NA,NA,NA,NA,karimi,"Kidd KA, Hesslein RH, Fudge RJP, Hallard KA. 1995. The influence of trophic level as measured by delta N-15 on mercury concentrations in freshwater organisms. Water Air Soil Pollut 80(14):1011-1015.",16,karimi
coregonus clupeaformis,finfish,whitefish-lake,Northern Canada - lakes,10.545,NA,NA,NA,NA,karimi,"Lockhart WL, Stern GA, Low G, Hendzel M, Boila G, Roach P, et al. 2005. A history of total mercury in edible muscle of fish from lakes in northern Canada. Sci Total Environ 351:427-463.",1917,karimi
coregonus clupeaformis,finfish,whitefish-lake,Canada - Quebec (La Grande Complex),9.253,NA,NA,NA,NA,karimi,"Schetagne R, Doyon JF, Fournier JJ. 2000. Export of mercury downstream from reservoirs. Sci Total Environ 260(1-3):135-145.",9,karimi
coregonus clupeaformis,finfish,whitefish-lake,US-Michigan,9.0275,NA,NA,NA,NA,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,38,karimi
coregonus clupeaformis,finfish,whitefish-lake,US,5.415,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,171,karimi
coregonus nasus,finfish,whitefish-broad,Northern Canada - lakes,5.13,NA,NA,NA,NA,karimi,"Lockhart WL, Stern GA, Low G, Hendzel M, Boila G, Roach P, et al. 2005. A history of total mercury in edible muscle of fish from lakes in northern Canada. Sci Total Environ 351:427-463.",202,karimi
coryphaena hippurus,finfish,NA,US-south atlantic,12.635,46.1,349,7.1,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
coryphaena hippurus,finfish,NA,US-gulf,33.25,34.5,387.5,5.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
coryphaena hippurus,finfish,NA,US-hawaii,3.8,63,90,21,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
coryphaena hippurus,finfish,NA,US-Florida,16.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
coryphaena hippurus,finfish,NA,US-Florida,5.7,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
coryphaena hippurus,finfish,NA,US-Florida,10.45,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
coryphaena hippurus,finfish,NA,US-Florida,20.9,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
coryphaena hippurus,finfish,NA,US-Florida,8.55,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
coryphaena hippurus,finfish,NA,US-Florida,12.35,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
coryphaena hippurus,finfish,NA,US-Florida,11.4,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,adams
crassostrea gigas,mollusc,NA,US-california,3.33,70.2,445.8,71.9,shucked,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
crassostrea gigas,mollusc,NA,US-pacific northwest,1.5,70.1,337.9,158.4,"shucked, small",hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
crassostrea gigas,mollusc,NA,US-pacific northwest,1.8,51.6,276.2,106.5,"shucked, medium",hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
crassostrea gigas,mollusc,oysters-Pacific,US-Alaska,0.36,NA,NA,NA,NA,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,16,karimi
crassostrea gigas,mollusc,oysters-Pacific,US,1.645,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,66,karimi
crassostrea virginica,mollusc,NA,US-north atlantic,1.44,134.8,292.7,319.5,shucked,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
crassostrea virginica,mollusc,NA,US-south atlantic,3.99,68.9,1170.9,50.4,shucked,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
crassostrea virginica,mollusc,NA,US-gulf,1.17,138.3,417,102.6,shucked,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA
crassostrea virginica,mollusc,oysters,US-Virginia,0.15,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1,karimi
crassostrea virginica,mollusc,oysters,US,2.3016,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,75,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Atlantic,2.491764706,NA,NA,NA,NA,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",17,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Mississippi,0.18,NA,NA,NA,NA,karimi,"Elston R, Cake EW, Humphrey K, Isphording WC, Rensel JE. 2005. Dioxin and heavy-metal contamination of shellfish and sediments in St. Louis Bay, Mississippi and adjacent marine waters. J Shellfish Res 24(1):227-241.",7,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Florida,0.9,NA,NA,NA,NA,karimi,"Fisher WS, Oliver LM, Winstead JT, Long ER. 2000. A survey of oysters Crassostrea virginica from Tampa Bay, Florida: associations of internal defense measurements with contaminant burdens. Aquat Toxicol 51(1):115-138.",16,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Gulf,0.561,NA,NA,NA,NA,karimi,"Karouna-Renier NK, Snyder RA, Allison JG, Wagner MG, Rao KR. 2007. Accumulation of organic and inorganic contaminants in shellfish collected in estuarine waters near Pensacola, Florida: Contamination profiles and risks to human consumers. Environ Pollut 145(2):474-488.",10,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Atlantic,0.3405,NA,NA,NA,NA,karimi,"Kawaguchi T, Porter D, Bushek D, Jones B. 1999. Mercury in the American oyster Crassostrea virginica in South Carolina, USA, and public health concerns. Mar Pollut Bull 38(4):324-327.",200,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Flori (Pensacola),0.8982,NA,NA,NA,NA,karimi,"Lewis MA, Quarles RL, Dantin DD, Moore JC. 2004. Evaluation of a Florida coastal golf complex as a local and watershed source of bioavailable contaminants. Mar Pollut Bull 48(3-4):254-262.",4,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Louisiana,2.04,NA,NA,NA,NA,karimi,"Mueller CS, Ramelow GJ, Beck JN. 1989. Mercury in the Calcasieu River Lake Complex, Louisiana. Bull Environ Contam Toxicol 42(1):71-80.",1,karimi
crassostrea virginica,mollusc,oysters-eastern,US,0.7432171,NA,NA,NA,NA,karimi,NOAA (National Oceanic and Atmospheric Administration). 2008. National Status and Trends Mussel Watch Program. Available: http://nsandt.noaa.gov/ [accessed 9 September 2008].,2059,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Georgia,1.785333333,NA,NA,NA,NA,karimi,"Sajwan KS, Kumar KS, Paramasivam S, Compton SS, Richardson JP. 2008. Elemental status in sediment and American oyster collected from Savannah marsh/estuarine ecosystem: A preliminary assessment. Arch Environ Contam Toxicol 54(2):245-258.",9,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Maryland,0.320185243,NA,NA,NA,NA,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,2158,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Virginia,0.668195303,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,2,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Virginia,0.976754927,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1,karimi
crassostrea virginica,mollusc,oysters-eastern,US-Virginia,1.568873443,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,9,karimi
