species_name,part,nutrient,concentration,reference,reksten_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
Sphyraena jello,muscle,epa,0.0117,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten57,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,tropical,elongated,reef-associated,200,150,brackmarine,reksten
Amblygaster sirm,whole,dha,0.467,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten58,0.61,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),2.89,tropical,fusiform / normal,reef-associated,75,27,marine,reksten
Auxis thazard,whole,dha,0.399,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten59,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.360000133514403,tropical,fusiform / normal,pelagic-neritic,NA,65,marine,reksten
Decapterus macrosoma,whole,dha,0.242,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten60,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Decapterus macrosoma,whole,dha,0.339,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten61,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Encrasicholina devisi,whole,dha,0.342,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten62,0.29,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.65,tropical,elongated,reef-associated,13,8,brackmarine,reksten
Equulites elongatus,whole,dha,0.361,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten63,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.91,tropical,fusiform / normal,demersal,100,12,marine,reksten
Leiognathus dussumieri,whole,dha,0.219,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Photopectoralis bindus,whole,dha,0.297,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten65,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Photopectoralis bindus,whole,dha,0.323,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten66,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Rastrelliger kanagurta,whole,dha,0.416,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten67,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1900000572204594,tropical,fusiform / normal,pelagic-neritic,90,NA,marine,reksten
Sillago ingenuua,whole,dha,0.169,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten68,NA,NA,NA,NA,tropical,elongated,demersal,50,20,marine,reksten
Stolephorus indicus,whole,dha,0.292,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten69,NA,mainly animals (troph. 2.8 and up),variable,3.84,tropical,elongated,pelagic-neritic,50,15.5,brackmarine,reksten
Carangoides fulvoguttatus,muscle,dha,0.0743,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten70,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,tropical,fusiform / normal,reef-associated,100,120,marine,reksten
Diagramma pictum,muscle,dha,0.041,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten71,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,tropical,fusiform / normal,reef-associated,170,100,marine,reksten
Lethrinus oliva,muscle,dha,0.137,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Lutjanus lutjanus,muscle,dha,0.124,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten73,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,tropical,fusiform / normal,reef-associated,96,35,marine,reksten
Nemipterus bipunctatus,muscle,dha,0.21,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten74,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,fusiform / normal,demersal,100,30,marine,reksten
Selar crumenophthalmus,muscle,dha,0.347,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten75,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,subtropical,fusiform / normal,reef-associated,170,70,marine,reksten
Sphyraena jello,muscle,dha,0.07,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten76,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,tropical,elongated,reef-associated,200,150,brackmarine,reksten
Amblygaster sirm,whole,ca_mg,500,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten77,0.61,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),2.89,tropical,fusiform / normal,reef-associated,75,27,marine,reksten
Auxis thazard,whole,ca_mg,550,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten78,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.360000133514403,tropical,fusiform / normal,pelagic-neritic,NA,65,marine,reksten
Decapterus macrosoma,whole,ca_mg,1100,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten79,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Decapterus macrosoma,whole,ca_mg,650,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten80,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Encrasicholina devisi,whole,ca_mg,550,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten81,0.29,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.65,tropical,elongated,reef-associated,13,8,brackmarine,reksten
Equulites elongatus,whole,ca_mg,640,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten82,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.91,tropical,fusiform / normal,demersal,100,12,marine,reksten
Leiognathus dussumieri,whole,ca_mg,2300,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Photopectoralis bindus,whole,ca_mg,1300,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten84,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Photopectoralis bindus,whole,ca_mg,1000,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten85,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Rastrelliger kanagurta,whole,ca_mg,490,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten86,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1900000572204594,tropical,fusiform / normal,pelagic-neritic,90,NA,marine,reksten
Sillago ingenuua,whole,ca_mg,1800,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten87,NA,NA,NA,NA,tropical,elongated,demersal,50,20,marine,reksten
Stolephorus indicus,whole,ca_mg,620,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten88,NA,mainly animals (troph. 2.8 and up),variable,3.84,tropical,elongated,pelagic-neritic,50,15.5,brackmarine,reksten
Carangoides fulvoguttatus,muscle,ca_mg,17,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten89,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,tropical,fusiform / normal,reef-associated,100,120,marine,reksten
Diagramma pictum,muscle,ca_mg,23,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten90,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,tropical,fusiform / normal,reef-associated,170,100,marine,reksten
Lethrinus oliva,muscle,ca_mg,42,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Lutjanus lutjanus,muscle,ca_mg,65,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten92,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,tropical,fusiform / normal,reef-associated,96,35,marine,reksten
Nemipterus bipunctatus,muscle,ca_mg,490,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten93,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,fusiform / normal,demersal,100,30,marine,reksten
Selar crumenophthalmus,muscle,ca_mg,53,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten94,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,subtropical,fusiform / normal,reef-associated,170,70,marine,reksten
Sphyraena jello,muscle,ca_mg,7.9,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten95,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,tropical,elongated,reef-associated,200,150,brackmarine,reksten
Amblygaster sirm,whole,fe_mg,3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten96,0.61,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),2.89,tropical,fusiform / normal,reef-associated,75,27,marine,reksten
Auxis thazard,whole,fe_mg,3.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten97,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.360000133514403,tropical,fusiform / normal,pelagic-neritic,NA,65,marine,reksten
Decapterus macrosoma,whole,fe_mg,5.8,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten98,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Decapterus macrosoma,whole,fe_mg,3.6,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten99,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Encrasicholina devisi,whole,fe_mg,1.7,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten100,0.29,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.65,tropical,elongated,reef-associated,13,8,brackmarine,reksten
Equulites elongatus,whole,fe_mg,2.1,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten101,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.91,tropical,fusiform / normal,demersal,100,12,marine,reksten
Leiognathus dussumieri,whole,fe_mg,10,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Photopectoralis bindus,whole,fe_mg,1.7,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten103,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Photopectoralis bindus,whole,fe_mg,1.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten104,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Rastrelliger kanagurta,whole,fe_mg,3.2,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten105,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1900000572204594,tropical,fusiform / normal,pelagic-neritic,90,NA,marine,reksten
Sillago ingenuua,whole,fe_mg,1.6,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten106,NA,NA,NA,NA,tropical,elongated,demersal,50,20,marine,reksten
Stolephorus indicus,whole,fe_mg,2,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten107,NA,mainly animals (troph. 2.8 and up),variable,3.84,tropical,elongated,pelagic-neritic,50,15.5,brackmarine,reksten
Carangoides fulvoguttatus,muscle,fe_mg,0.81,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten108,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,tropical,fusiform / normal,reef-associated,100,120,marine,reksten
Diagramma pictum,muscle,fe_mg,0.45,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten109,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,tropical,fusiform / normal,reef-associated,170,100,marine,reksten
Lethrinus oliva,muscle,fe_mg,0.22,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Lutjanus lutjanus,muscle,fe_mg,0.38,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten111,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,tropical,fusiform / normal,reef-associated,96,35,marine,reksten
Nemipterus bipunctatus,muscle,fe_mg,0.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten112,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,fusiform / normal,demersal,100,30,marine,reksten
