food_item_id,subgroup,country_region,type_farmed_wild,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name
901724,Finfish,Unknown (samples from fish market in Mexico City),NA,36,KGM,Peto carito,"King mackerel, fillet, raw",r,Scomberomorus cavalla,King mackerel,Scomberomorus cavalla
901725,Finfish,Unknown (samples from fish market in Mexico City),NA,33,SNO,Robalo,"Common snook, fillet, raw",r,Centropomus undecimalis,Common snook,Centropomus undecimalis
901726,Finfish,Unknown (samples from fish market in Mexico City),NA,33,SWF,Trucha,"Spotted weakfish, fillet, raw",r,Cynoscion nebulosus,Spotted weakfish,Cynoscion nebulosus
901727,Finfish,Unknown (samples from fish market in Mexico City),NA,33,SNL,Villajaiba,"Lane snapper, fillet, raw",r,Lutjanus synagris,Lane snapper,Lutjanus synagris
901728,Finfish,Unknown (samples from fish market in Mexico City),NA,37,LNM,Jorobado,"Lookdown, fillet, raw",r,Selene vomer,Lookdown,Selene vomer
901736,Finfish,Unknown,NA,33,SUR,NA,"Yellowfin surgeon fish, muscle flesh, raw",r,Acanthurus xanthopterus,NA,Acanthuridae
901737,Finfish,Unknown,NA,33,AUJ,NA,"Black fin sea catfish, muscle flesh, raw",r,Arius jella,Blackfin sea catfish,Arius jella
901738,Finfish,Unknown,NA,33,AUJ,NA,"Black fin sea catfish, muscle flesh, raw",r,Arius jella,Blackfin sea catfish,Arius jella
901739,Finfish,Unknown,NA,34,DRI,NA,"Indian drift fish, muscle flesh, raw",r,Ariomma indicus,Indian driftfish,Ariomma indica
901740,Finfish,Unknown,NA,37,SGY,NA,"Spot tail needle fish, muscle flesh, raw",r,Strongylura strongylura,Spottail needlefish,Strongylura strongylura
901741,Finfish,Unknown,NA,31,UKX,NA,"Flounder, muscle flesh, raw",r,Pseudorhombus sp,NA,Pseudorhombus spp
901742,Finfish,Unknown,NA,31,UKX,NA,"Flounder, muscle flesh, raw",r,Pseudorhombus sp,NA,Pseudorhombus spp
901743,Finfish,Unknown,NA,37,HAS,NA,"Torpedo scad, muscle flesh, raw",r,Megalaspis cordyla,Torpedo scad,Megalaspis cordyla
901744,Finfish,Unknown,NA,37,HAS,NA,"Torpedo scad, skin-on fillet, raw",r,Megalaspis cordyla,Torpedo scad,Megalaspis cordyla
901745,Finfish,Unknown,NA,37,POP,NA,"Pompano, muscle flesh, raw",r,Trachynotus ovatus,Pompano,Trachinotus ovatus
901746,Finfish,Unknown,NA,37,CVJ,NA,"Black tailed trevally, muscle flesh, raw",r,Caranx hippos,Crevalle jack,Caranx hippos
901747,Finfish,Unknown,NA,37,OBJ,NA,"Needle scaled queen fish, muscle flesh, raw",r,Scomberoides tol,Needlescaled queenfish,Scomberoides tol
901748,Finfish,Unknown,NA,37,POP,NA,"Pompano, muscle flesh, raw",r,Trachynotus ovatus,Pompano,Trachinotus ovatus
901749,Finfish,Unknown,NA,37,HAS,NA,"Torpedo scad, muscle flesh, raw",r,Megalaspis cordyla,Torpedo scad,Megalaspis cordyla
901750,Finfish,Unknown,NA,37,POB,NA,"Black pomfret, muscle flesh, raw",r,Parastromateus niger,Black pomfret,Parastromateus niger
901751,Finfish,Unknown,NA,37,RUS,NA,"Indian scad, muscle flesh, raw",r,Decapterus russelli,Indian scad,Decapterus russelli
901752,Finfish,Unknown,NA,37,OBJ,NA,"Needle scaled queen fish, muscle flesh, raw",r,Scomberoides tol,Needlescaled queenfish,Scomberoides tol
901753,Finfish,Unknown,NA,37,HAS,NA,"Torpedo scad, muscle flesh, raw",r,Megalaspis cordyla,Torpedo scad,Megalaspis cordyla
901754,Finfish,Unknown,NA,37,NGS,NA,"Malabar trevelly, muscle flesh, raw",r,Carangoides malabaricus,Malabar trevally,Carangoides malabaricus
901755,Finfish,Unknown,NA,37,NGS,NA,"Malabar trevelly, muscle flesh, raw",r,Carangoides malabaricus,Malabar trevally,Carangoides malabaricus
901756,Finfish,Unknown,NA,37,CVJ,NA,"Black tailed trevally, muscle flesh, raw",r,Caranx hippos,Crevalle jack,Caranx hippos
901757,Finfish,Unknown,NA,37,TRE,NA,"Banded scad, muscle flesh, raw",r,Caranx para,"Jacks, crevalles nei",Caranx spp
901758,Finfish,Unknown,NA,37,TUP,NA,"Cleft belly trevally, muscle flesh, raw",r,Atropus atropus female,Cleftbelly trevally,Atropus atropos
901759,Finfish,Unknown,NA,37,TUP,NA,"Cleft belly trevally, muscle flesh, raw",r,Atropus atropus,Cleftbelly trevally,Atropus atropos
901760,Finfish,Unknown,NA,25,MIL,NA,"Mikfish, muscle flesh, raw",r,Chanos chanos,Milkfish,Chanos chanos
901761,Finfish,Unknown,NA,35,DOB,NA,"Silver bar, muscle flesh, raw",r,Chirocentrus dorab,Dorab wolf-herring,Chirocentrus dorab
901763,Finfish,Unknown,NA,35,CNU,NA,"White fin wolf herring, muscle flesh, raw",r,Chirocentrus nudus,Whitefin wolf-herring,Chirocentrus nudus
901764,Finfish,Unknown,NA,12,TLM,NA,"Tilapia, female, muscle flesh, raw",r,Oreochromis mossambica,Mozambique tilapia,Oreochromis mossambicus
901765,Finfish,Unknown,NA,12,ERC,NA,"Orange chromicle, muscle flesh, raw",r,Etroplus maculatus,Orange chromide,Etroplus maculatus
901766,Finfish,Unknown,NA,24,PHT,NA,"Tardoore, muscle flesh, raw",r,Opisthoptertus tardoor,Tardoore,Opisthopterus tardoore
901767,Finfish,Unknown,NA,24,PHT,NA,"Tardoore, muscle flesh, raw",r,Opisthoptertus tardoor,Tardoore,Opisthopterus tardoore
901768,Finfish,Unknown,NA,24,PHT,NA,"Tardoore, muscle flesh, raw",r,Opisthoptertus tardoor,Tardoore,Opisthopterus tardoore
901769,Finfish,Unknown,NA,35,RAS,NA,"Rainbow sardine, muscle flesh, raw",r,Dussumieria acuta,Rainbow sardine,Dussumieria acuta
901770,Finfish,Unknown,NA,35,SDM,NA,"Blacktrip sardinella, muscle flesh, raw",r,Sardinella melanura,Blacktip sardinella,Sardinella melanura
901771,Finfish,Unknown,NA,35,RAL,NA,"Oil sardine, muscle flesh, raw",r,Dussumieria hasselti,Slender rainbow sardine,Dussumieria elopsoides
901772,Finfish,Unknown,NA,31,YOD,NA,"Carrot tongue sole, muscle flesh, raw",r,Cynoglossus dubius,Carrot tonguesole,Cynoglossus dubius
901773,Finfish,Unknown,NA,31,YOX,NA,"Flounder, muscle flesh, raw",r,Cynoglossus sp,Tonguesole nei,Cynoglossus spp
901776,Finfish,Unknown,NA,33,CEV,NA,"Ladyfish, muscle flesh, raw",r,Elops machnata,Tenpounder,Elops machnata
901777,Finfish,Unknown,NA,35,EYD,NA,"Dussumier's thryssa, muscle flesh, raw",r,Tryssa dusumeri,Dussumier's thryssa,Thryssa dussumieri
901778,Finfish,Unknown,NA,33,HUO,NA,"Spade fish, muscle flesh, raw",r,Ephippus orbis,Orbfish,Ephippus orbis
901779,Finfish,Unknown,NA,33,GEF,NA,"Whipfin silver biddy, muscle flesh, raw",r,Gerres filamentoses,Whipfin silver-biddy,Gerres filamentosus
901780,Finfish,Unknown,NA,34,GEF,NA,"Whipfin silver biddy, muscle flesh, raw",r,Gerres filamentoses,Whipfin silver-biddy,Gerres filamentosus
901781,Finfish,Unknown,NA,33,BGX,NA,"Grunter, muscle flesh, raw",r,Pomadasys furcatum,NA,Pomadasys spp
901782,Finfish,Unknown,NA,33,KAH,NA,"Javelin grunter, muscle flesh, raw",r,Pomadasys kaakan,Javelin grunter,Pomadasys kaakan
901783,Finfish,Unknown,NA,33,BGX,NA,"Grunter, muscle flesh, raw",r,Pomadasys sp,NA,Pomadasys spp
901784,Finfish,Unknown,NA,37,HAX,NA,"Needle fish, muscle flesh, raw",r,Hemiramphus lutkei,NA,Hemiramphus spp
901785,Finfish,Unknown,NA,37,TRF,NA,"False trevally, muscle flesh, raw",r,Lactarius lactarius,False trevally,Lactarius lactarius
901787,Finfish,Unknown,NA,33,LGP,NA,"Splendid ponyfish, muscle flesh, raw",r,Leiognathus splendens,Splendid ponyfish,Leiognathus splendens
901788,Finfish,Unknown,NA,33,LCV,NA,"Orange fin pony fish, muscle flesh, raw",r,Leiognathus bindus,Orangefin ponyfish,Leiognathus bindus
901789,Finfish,Unknown,NA,33,LTS,NA,"Emperor, muscle flesh, raw",r,Lethrinus cinerius,Pink ear emperor,Lethrinus lentjan
901790,Finfish,Unknown,NA,33,LJG,NA,"Humpback red snapper, muscle flesh, raw",r,Lutjanus gibbus,Humpback red snapper,Lutjanus gibbus
901791,Finfish,Unknown,NA,33,PFM,NA,"Blue spotted job fish, muscle flesh, raw",r,Pristipomoides filamentoses,Crimson jobfish,Pristipomoides filamentosus
901792,Finfish,Unknown,NA,33,TAI,NA,"Oxeye tarpon, muscle flesh, raw",r,Megalops cyprinoides,Indo-Pacific tarpon,Megalops cyprinoides
901793,Finfish,Unknown,NA,33,VMC,NA,"Long arm mullet, muscle flesh, raw",r,Vaiamugil cunnesius,Longarm mullet,Valamugil cunnesius
901794,Finfish,Unknown,NA,33,UPI,NA,"Striped goatfish, muscle flesh, raw",r,Upenus vittatus,Yellowstriped goatfish,Upeneus vittatus
901795,Finfish,Unknown,NA,34,UPI,NA,"Striped goatfish, muscle flesh, raw",r,Upenus vittatus,Yellowstriped goatfish,Upeneus vittatus
901796,Finfish,Unknown,NA,38,RYH,NA,"Eagle ray, muscle flesh, raw",r,Myliobatis nieuhofli,Banded eagle ray,Aetomylaeus niehofii
901797,Finfish,Unknown,NA,33,THB,NA,"Pink perch, muscle flesh, raw",r,Nemipterus bleekeri,Threadfin breams nei,Nemipterus spp
901798,Finfish,Unknown,NA,33,NNJ,NA,"Pink perch, muscle flesh, raw",r,Nemipterus japonicus,Japanese threadfin bream,Nemipterus japonicus
901799,Finfish,Unknown,NA,33,THD,NA,"Rosy monacle bream, muscle flesh, raw",r,Parascolopsis eriomma,NA,Nemipteridae
901800,Finfish,Unknown,NA,33,FOT,NA,"Four finger thread fin, muscle flesh, raw",r,Eleutheronema tetradactylus,Fourfinger threadfin,Eleutheronema tetradactylum
901801,Finfish,Unknown,NA,33,OAX,NA,"Blackspot threadfin, muscle flesh, raw",r,Polynemus sextarius,Blackspot threadfin,Polydactylus sextarius
901802,Finfish,Unknown,NA,33,BIG,NA,"Bull eye, muscle flesh, raw",r,Priacanthus sp,Bigeyes nei,Priacanthus spp
901803,Finfish,Unknown,NA,31,HAI,NA,"Indian tiny turbot, muscle flesh, raw",r,Psettodes erumei,Indian halibut,Psettodes erumei
901804,Finfish,Unknown,NA,33,NBA,NA,"Bloched croaker, muscle flesh, raw",r,Nibea maculata,Blotched croaker,Nibea maculata
901805,Finfish,Unknown,NA,33,JOX,NA,"Karut croaker, muscle flesh, raw",r,Johnius carutta,NA,Johnius spp
901806,Finfish,Unknown,NA,33,JOU,NA,"Sin croaker, muscle flesh, raw",r,Johniops sinai,Sin croaker,Johnius dussumieri
901807,Finfish,Unknown,NA,33,JOU,NA,"Sin croaker, muscle flesh, raw",r,Johniops sinai,Sin croaker,Johnius dussumieri
901808,Finfish,Unknown,NA,33,JOX,NA,"Spindle croaker, muscle flesh, raw",r,Johnius elongatus,NA,Johnius spp
901809,Finfish,Unknown,NA,33,LKR,NA,"Tiger toothed croaker, muscle flesh, raw",r,Otolithus ruber,Tigertooth croaker,Otolithes ruber
901810,Finfish,Unknown,NA,33,JOU,NA,"Sin croaker, muscle flesh, raw",r,Johniops sina,Sin croaker,Johnius dussumieri
901811,Finfish,Unknown,NA,37,RAG,NA,"Mackerel, muscle flesh, raw",r,Rastrelliger kanagurta,Indian mackerel,Rastrelliger kanagurta
901812,Finfish,Unknown,NA,37,RAG,NA,"Mackerel, female, muscle flesh, raw",r,Rastrelliger kanagurta,Indian mackerel,Rastrelliger kanagurta
901813,Finfish,Unknown,NA,37,RAG,NA,"Mackerel, male, muscle flesh, raw",r,Rastrelliger kanagurta,Indian mackerel,Rastrelliger kanagurta
901814,Finfish,Unknown,NA,37,RAG,NA,"Mackerel, immature, muscle flesh, raw",r,Rastrelliger kanagurta,Indian mackerel,Rastrelliger kanagurta
901815,Finfish,Unknown,NA,37,RAG,NA,"Mackerel, female, muscle flesh, raw",r,Rastrelliger kanagurta,Indian mackerel,Rastrelliger kanagurta
901816,Finfish,Unknown,NA,13,FSI,NA,"Kadal varal, muscle flesh, raw",r,Elachata nigra,Freshwater siluroids nei,Siluroidei
901817,Finfish,Unknown,NA,37,RAG,NA,"Mackerel, muscle flesh, raw",r,Rastrelliger kanagurta,Indian mackerel,Rastrelliger kanagurta
901818,Finfish,Unknown,NA,13,FSI,NA,"Kadal varal, muscle flesh, raw",r,Elachata nigra,Freshwater siluroids nei,Siluroidei
901819,Finfish,Unknown,NA,33,EES,NA,"Banded grouper, muscle flesh, raw",r,Epinephles latifasciiatus,Striped grouper,Epinephelus latifasciatus
901820,Finfish,Unknown,NA,33,ILS,NA,"Silver sillago, muscle flesh, raw",r,Sillago sihama,Silver sillago,Sillago sihama
901821,Finfish,Unknown,NA,33,KBR,NA,"King soldier bream, muscle flesh, raw",r,Argyrops spinifer,King soldier bream,Argyrops spinifer
901822,Finfish,Unknown,NA,37,YBS,NA,"Big eye barracuda, muscle flesh, raw",r,Sphyraena forsteri,Bigeye barracuda,Sphyraena forsteri
901823,Finfish,Unknown,NA,37,YRB,NA,"Obtuse barracuda, muscle flesh, raw",r,Sphyraena obtusata,Obtuse barracuda,Sphyraena obtusata
901824,Finfish,Unknown,NA,37,BAC,NA,"Barracuda, muscle flesh, raw",r,Sphyraena jello,Pickhandle barracuda,Sphyraena jello
901825,Finfish,Unknown,NA,37,SIP,NA,"Silver pomfret, muscle flesh, raw",r,Pambus argentius,Silver pomfret,Pampus argenteus
901826,Finfish,Unknown,NA,33,LIB,NA,"Brush tooth lizard fish, muscle flesh, raw",r,Saurida undosquamosis,Brushtooth lizardfish,Saurida undosquamis
901827,Finfish,Unknown,NA,33,TJB,NA,"Jarbua therapon, muscle flesh, raw",r,Jarbua therapon,Jarbua terapon,Terapon jarbua
901828,Finfish,Unknown,NA,33,TJB,NA,"Jarbua therapon, muscle flesh, raw",r,Jarbua therapon,Jarbua terapon,Terapon jarbua
901829,Finfish,Unknown,NA,38,TOF,NA,"Electric ray, muscle flesh, raw",r,Narcine sp,"Electric rays, etc.nei",Torpediniformes/Narcinidae
901830,Finfish,Unknown,NA,33,LDP,NA,"Rosy grub fish, muscle flesh, raw",r,Percis pulchella,Orange perch,Lepidoperca pulchella
901831,Finfish,Unknown,NA,34,SVH,NA,"Savalai hair tail, muscle flesh, raw",r,Lepturacanthus savala,Savalai hairtail,Lepturacanthus savala
901832,Finfish,Unknown,NA,34,URA,NA,"Star gazers, muscle flesh, raw",r,Chanoscopes sp,Stargazers,Uranoscopus spp
901833,Crustacean,Unknown,NA,45,PNI,NA,"Indian white shrimp, edible flesh, raw",r,Penaeus indicus,Indian white prawn,Penaeus indicus
901834,Crustacean,Unknown,NA,45,PNI,NA,"Indian white shrimp, edible flesh, raw",r,Penaeus indicus,Indian white prawn,Penaeus indicus
901835,Crustacean,Unknown,NA,45,MPN,NA,"Speckled shrimp, edible flesh, raw",r,Metapenaeus monoceros,Speckled shrimp,Metapenaeus monoceros
901836,Crustacean,Unknown,NA,45,MPN,NA,"Speckled shrimp, edible flesh, raw",r,Metapenaeus monoceros,Speckled shrimp,Metapenaeus monoceros
901837,Crustacean,Unknown,NA,45,GIT,NA,"Giant tiger prawn, edible flesh, raw",r,Penaeus monodon,Giant tiger prawn,Penaeus monodon
901838,Crustacean,Unknown,NA,45,MPD,NA,"Kadal shrimp, edible flesh, raw",r,Metapenaeus dobsoni,Kadal shrimp,Metapenaeus dobsoni
901839,Crustacean,Unknown,NA,45,NMY,NA,"Fiddler shrimp, edible flesh, raw",r,Metapenaeopsis stridulens,Fiddler shrimp,Metapenaeopsis stridulans
901840,Crustacean,Unknown,NA,42,MUD,NA,"Mud crab, edible flesh, raw",r,Scylla seffata,Indo-Pacific swamp crab,Scylla serrata
901841,Crustacean,Unknown,NA,42,MUD,NA,"Mud crab, claw meat, raw",r,Scylla serrata,Indo-Pacific swamp crab,Scylla serrata
901842,Crustacean,Unknown,NA,42,UNG,NA,"Red spot crab, edible flesh, raw",r,Portunus sanquinolentus,Threespot swimming crab,Portunus sanguinolentus
901843,Crustacean,Unknown,NA,42,YBX,NA,"Coral crab, edible flesh, raw",r,Charibdis cruciata,Charybdis crabs nei,Charybdis spp
901844,Crustacean,Unknown,NA,42,YBX,NA,"Coral crab, edible flesh, raw",r,Charibdis cruciata,Charybdis crabs nei,Charybdis spp
901845,Crustacean,Unknown,NA,42,SCD,NA,"Sand crab, edible flesh, raw",r,Portunus pelagicus,Blue swimming crab,Portunus pelagicus
901846,Molluscs,Unknown,NA,57,EJA,NA,"Cuttle fish, edible flesh, raw",r,Sepia aculeate,Needle cuttlefish,Sepia aculeata
901847,Molluscs,Unknown,NA,57,EJA,NA,"Cuttle fish, edible flesh, raw",r,Sepia aculeata,Needle cuttlefish,Sepia aculeata
901848,Molluscs,Unknown,NA,57,OJD,NA,"Squid, edible flesh, raw",r,Loligo duvauceli,Indian squid,Loligo duvauceli
901849,Molluscs,Unknown,NA,57,OJD,NA,"Squid, edible flesh, raw",r,Loligo duvauceli,Indian squid,Loligo duvauceli
901850,Molluscs,"USA, SE Alaska",NA,52,ABX,NA,"Abalone, edible flesh, raw",r,Haliotis,Abalones nei,Haliotis spp
901851,Molluscs,"USA, SE Alaska",NA,56,SXI,NA,"Butter clam, edible fleh, raw",r,Saxidomus nuttalli,Common butter clam,Saxidomus nuttalli
901852,Molluscs,"USA, SE Alaska",NA,56,KCL,NA,"Cockle clam, edible flesh, raw",r,Cardium corbis,Basket cockle,Clinocardium nuttallii
901853,Molluscs,"USA, SE Alaska",NA,56,PTS,NA,"Little neck clam, edible flesh, raw",r,Protothaca staminea,Pacific littleneck clam,Protothaca staminea
901854,Finfish,"USA, Alaksa/Washington/Oregon",NA,32,PCO,NA,"Pacific cod, skinless muscle flesh, raw",r,Gadus macrocephalus,Pacific cod,Gadus macrocephalus
901855,Finfish,"USA, Washington/Oregon",NA,33,CLI,NA,"Lingcod, skinless muscle flesh, raw",r,Ophiodon elongatus,Lingcod,Ophiodon elongatus
901856,Crustacean,"USA, Washington/Oregon/N California",NA,42,DUN,NA,"Dungeness crab, edible flesh (body), raw",r,Cancer magister,Dungeness crab,Cancer magister
901857,Crustacean,"USA, Washington/Oregon/N California",NA,42,DUN,NA,"Dungeness crab, edible flesh (leg), raw",r,Cancer magister,Dungeness crab,Cancer magister
901858,Crustacean,"USA, Kodiak Islands",NA,44,KCD,NA,"King crab, edible flesh (body), raw",r,Paralithodes camschatica,Red king crab,Paralithodes camtschaticus
901859,Crustacean,"USA, Kodiak Islands",NA,44,KCD,NA,"King crab, edible flesh (leg), raw",r,Paralithodes camschatica,Red king crab,Paralithodes camtschaticus
901860,Crustacean,"USA, Kodiak Islands",NA,44,KCD,NA,"King crab, edible flesh (composite), raw",r,Paralithodes camschatica,Red king crab,Paralithodes camtschaticus
901861,Molluscs,"USA, SE Alaska",NA,76,CUX,NA,"Red sea cucumber, edible flesh, raw",r,Stichopus californicus,Sea cucumbers nei,Holothurioidea
901862,Finfish,"Canada, Straits of Juan de Fuca",NA,38,DGS,NA,"Spiny dogfish, skinless muscle flesh, raw",r,Squalus acanthias,Picked dogfish,Squalus acanthias
901863,Finfish,"USA, Lower Puget Sound, Washington",NA,38,DGS,NA,"Spiny dogfish, whole, raw",r,Squalus acanthias,Picked dogfish,Squalus acanthias
901864,Finfish,"USA, Colorado River",NA,23,EUL,NA,"Eulachon, skinless muscle flesh, raw",r,Thaleichthys pacificus,Eulachon,Thaleichthys pacificus
901865,Finfish,"USA, SE Alaska/Washington/Oregon",NA,31,ARF,NA,"Arrowtooth flounder, skinless muscle flesh, raw",r,Atheresthes stomias,Arrow-tooth flounder,Atheresthes stomias
901866,Finfish,"USA, SE Alaska/Washington/Oregon/Puget Sound",NA,31,PWQ,NA,"Starry flounder, skinless muscle flesh, raw",r,Platichthys stellatus,Starry flounder,Platichthys stellatus
901867,Molluscs,"USA, SE Alaska",NA,56,CLX,NA,"Geoduck, syphon, raw",r,Panope generosa,"Clams, etc. nei",Bivalvia/Hiatellidae
901868,Molluscs,"USA, SE Alaska",NA,56,CLX,NA,"Geoduck, edible muscle flesh (body), raw",r,Panope generosa,NA,Bivalvia/Hiatellidae
901869,Finfish,"USA, Oregon/Washington/Alaska",NA,31,HAP,NA,"Pacific halibut, skinless muscle flesh, raw",r,Hippoglossus stenolepis,Pacific halibut,Hippoglossus stenolepis
901870,Finfish,"USA, British Colombia/Puget Sound",NA,35,HEP,NA,"Pacific herring, skinless muscle flesh, raw",r,Clupea harengus pallasi,Atlantic herring,Clupea pallasii
901871,Finfish,"USA, Kodiak/SE Alaska/British Colombia",NA,35,HER,NA,"Pacific herring, whole, raw",r,Clupea harengus pallasi,Atlantic herring,Clupea harengus
901872,Molluscs,"USA, SE Alaska",NA,57,OCT,NA,"Octopus, edible flesh, raw",r,Paroctopus hongkongensis,"Octopuses, etc. nei",Octopodidae
901873,Molluscs,"USA, Alaska",NA,53,OYG,NA,"Japanese oyster, edible flesh, raw",r,Crassostrea gigas,Pacific cupped oyster,Crassostrea gigas
901874,Molluscs,"USA, SE Alaska",NA,53,OFO,NA,"Native oyster, edible flesh, raw",r,Ostrea lurida,Yaquina oyster,Ostrea lurida
901875,Finfish,"USA, Bering Sea/NE Pacific Ocean of Alaska",NA,32,ALK,NA,"Walleye pollock, skinless fillet, raw",r,Theragra chalcogramma,Alaska pollock(=Walleye poll.),Theragra chalcogramma
901876,Finfish,"USA, SE Alaska",NA,38,RAT,NA,"Ratfish, skinless fillet, raw",r,Hydrolagus colliei,Spotted ratfish,Hydrolagus colliei
901877,Finfish,"USA, SE Alaska",NA,34,RMG,NA,"Black rockfish, skinless fillet, raw",r,Sebastes melanops,Black rockfish,Sebastes melanops
901878,Finfish,"USA, SE Alaska",NA,34,RFC,NA,"Darkblotched rockfish, skinless fillet, raw",r,Sebastes crameri,Darkblotched rockfish,Sebastes crameri
901879,Finfish,"USA, SE Alaska",NA,34,SFT,NA,"Rougheye rockfish, skinless fillet, raw",r,Sebastes aleutianus,Rougheye rockfish,Sebastes aleutianus
901880,Finfish,"USA, Washington",NA,34,SBC,NA,"Bocaccio rockfish, skinless fillet, raw",r,Sebastes paucispinis,Bocaccio rockfish,Sebastes paucispinis
901881,Finfish,"USA, N California",NA,34,SGO,NA,"Chilipepper rockfish, skinless fillet, raw",r,Sebastes goodei,Chilipepper rockfish,Sebastes goodei
901882,Finfish,"USA, Washington",NA,34,RED,NA,"Flag rockfish, skinless fillet, raw",r,Sebastes rubrivincuts,Atlantic redfishes nei,Sebastes spp
901883,Finfish,"USA, Washington/Oregon",NA,34,SFE,NA,"Greenstriped rockfish, skinless fillet, raw",r,Sebastes elongatus,Greenstriped rockfish,Sebastes elongatus
901884,Finfish,"USA, Washington/Oregon",NA,34,RED,NA,"Shortspine thornyhead rockfish, skinless fillet, raw",r,Sebastes alascanus,Atlantic redfishes nei,Sebastes spp
901885,Finfish,"USA, SE Alaska/Washington/Oregon",NA,34,SPG,NA,"Canary rockfish, skinless fillet, raw",r,Sebastes pinninger,Canary rockfish,Sebastes pinniger
901886,Finfish,"USA, Washington/Oregon/N Carolina",NA,34,OPP,NA,"Pacific ocean perch, skinless fillet, raw",r,Sebastes alutus,Pacific ocean perch,Sebastes alutus
901887,Finfish,"USA, SE Alaska/Washington",NA,34,RRV,NA,"Yelloweye rockfish, skinless fillet, raw",r,Sebastes ruberrimus,Yelloweye rockfish,Sebastes ruberrimus
901888,Finfish,"USA, Washington",NA,34,SEQ,NA,"Rosy rockfish, skinless fillet, raw",r,Sebastes rosaceus,Rosy rockfish,Sebastes rosaceus
901889,Finfish,"USA, Washington/Oregon",NA,34,YRO,NA,"Yellowtail rockfish, skinless fillet, raw",r,Sebastes flavidus,Yellowtail rockfish,Sebastes flavidus
901890,Finfish,"USA, SE Alaska",NA,34,WRO,NA,"Widow rockfish, skinless fillet, raw",r,Sebastes entomelas,Widow rockfish,Sebastes entomelas
901891,Finfish,"USA, SE Alaska/Washington/Oregon",NA,34,SAB,NA,"Sablefish, skinless fillet, raw",r,Anoplopoma fimbria,Sablefish,Anoplopoma fimbria
901892,Finfish,"USA, Puget Sound",NA,23,CHU,NA,"Chum salmon, skinless fillet, raw",r,Oncorhynchus keta,Chum(=Keta=Dog)salmon,Oncorhynchus keta
901893,Finfish,"USA, Oregon/Washington/Alaska",NA,23,CHI,NA,"Chinook salmon, skinless fillet, raw",r,Oncorhynchus tshawytscha,Chinook(=Spring=King)salmon,Oncorhynchus tshawytscha
901894,Finfish,"USA, SE Alaska/Washington",NA,23,PIN,NA,"Pink salmon, skinless fillet, raw",r,Oncorhynchus gorbuscha,Pink(=Humpback)salmon,Oncorhynchus gorbuscha
901895,Finfish,"USA, Washington/Oregon/Puget Sound",NA,23,COH,NA,"Coho salmon, skinless fillet, raw",r,Oncorhynchus kisutch,Coho(=Silver)salmon,Oncorhynchus kisutch
901896,Finfish,"USA, British colombia/Washington/Colorado River/Oregon",NA,23,SOC,NA,"Sockeye salmon, skinless fillet, raw",r,Oncorhynchus nerka,Sockeye(=Red)salmon,Oncorhynchus nerka
901897,Finfish,"USA, Oregon/Washington/Alaska",NA,24,SAH,NA,"American shad, skinless fillet, raw",r,Alosa sapidissima,American shad,Alosa sapidissima
901898,Crustacean,"USA, SE Alaska/Washington",NA,45,PRA,NA,"Pink shrimp, edible flesh, raw",r,Pandalus borealis,Northern prawn,Pandalus borealis
901899,Finfish,USA,NA,38,SKA,NA,"Skate, edible flesh, raw",r,Raja sp.,Raja rays nei,Raja spp
901900,Finfish,"USA, Washington/Oregon/N California",NA,31,MIP,NA,"Dover sole, skinless fillet, raw",r,Microstomus pacificus,Dover sole,Microstomus pacificus
901901,Finfish,"USA, Bering Sea/British Colombia/Colorado/Washington/Oregon/Puget Sound",NA,31,RFE,NA,"English sole, skinless fillet, raw",r,Parophrys vetulus,English sole,Pleuronectes vetulus
901902,Finfish,"USA, Bering Sea/British Colombia/Colorado/Washington/Oregon/Puget Sound",NA,31,FTS,NA,"Flathead sole, skinless fillet, raw",r,Hippoglossoides elassodon,Flathead sole,Hippoglossoides elassodon
901903,Finfish,"USA, Oregoon",NA,31,EJO,NA,"Petrale sole, skinless fillet, raw",r,Eopsetta jordani,Petrale sole,Eopsetta jordani
901904,Finfish,"USA, Washington/Oregon",NA,31,GLZ,NA,"Rex sole, skinless fillet, raw",r,Glyptocephalus zaccirus,Rex sole,Glyptocephalus zachirus
901905,Finfish,"USA, Bering Sea/Puget Sound",NA,31,ROS,NA,"Rock sole, skinless fillet, raw",r,Lepidopsetta bilineata,Rock sole,Lepidopsetta bilineata
901906,Finfish,"USA, Puget Sound",NA,31,YSE,NA,"Sand sole, , skinless fillet, raw",r,Psettichthys melanostictus,Pacific sand sole,Psettichthys melanostictus
901907,Finfish,"USA, Bering Sea",NA,31,YES,NA,"Yellowfin sole, skinless fillet, raw",r,Limanda aspera,Yellowfin sole,Limanda aspera
901908,Molluscs,"USA, SE Alaska",NA,76,STF,NA,"Mottled starfish, edible flesh, raw",r,Evasterias troschelii,Starfishes nei,Asteroidea
901909,Molluscs,"USA, SE Alaska",NA,76,STF,NA,"Purple starfish, edible flesh, raw",r,Pisaster ochraceus,Starfishes nei,Asteroidea
901910,Molluscs,"USA, SE Alaska",NA,76,STF,NA,"Sunflower starfish, edible flesh, raw",r,Pycnopodia helianthoides,Starfishes nei,Asteroidea
