food_item_id,database,subgroup,country_region,type,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_sci_name,length,length_type,length_source,tl,tl_se,n,nutrient_ref,biblioid,edible,protcnt_g,protcnp_g,prot_g,prot_g_sd,fat_g,fat_sd,fatce_g,fat_g_2,choavldf_g,chocdf_g,cho_g,ca_mg,ca_sd,ca_units,cu_mg,cu_sd,cu_units,fe_mg,fe_sd,fe_units,id_mcg,k_mg,k_sd,k_units,mn_mg,mn_sd,mn_units,se_mcg,se_sd,se_units,zn_mg,zn_sd,zn_units,vita_rae,vita_rae_sd,vita_rae_units,vit_e,vit_e_sd,vit_e_units,vitk,vitk_sd,vitk_units,retol_mcg,retolsum_mcg,chocal_mcg,vit_d,vit_d_sd,vit_d_units,tocpha_mg,thia_mg,thia_mg_2,ribf_mg,nia_mg,nia_mg_2,vitb6a_mg,vitb6_sd,vitb6_units,fol_mcg,fol_units,fol_mcg_2,vitb12_mcg,vitc_mg,vitc_sd,vitc_units,saturated_fatty_acids_total,safa_units,x22_6_n_3_dha_g,dha_units,x22_6_n_3_sd,total_n_6,n_6_units,total_n_6_sd,x20_5_n_3_epa,epa_units,x20_5_n_3_sd,total_pufa,total_pufa_units,pufa_sd,total_n_3,total_n_3_units,total_n_3_sd
NA,CINE,NA,come back,come back,NA,NA,CISCO,NA,r,Coregonus autumnalis,NA,Coregonus autumnalis,65.0,max,FishBase,3.60,0.60,2,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,4.0,1.10,NA,NA,NA,NA,NA,30.00,9.3,mg/100g,0.06,0.02,mg/100g,1.00,0.3,mg/100g,NA,NA,NA,mg/100g,0.02,0.0,mg/100g,NA,NA,mg/100g,0.4,0.04,mg/100g,NA,NA,NA,NA,NA,mg/100g,350.0,22.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,100.0,max,FishBase,3.10,0.40,3,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.00,40.0,mg/100g,0.03,0.02,mg/100g,0.50,0.24,mg/100g,NA,NA,NA,mg/100g,0.03,0.03,mg/100g,NA,NA,mg/100g,0.4,0.13,mg/100g,NA,NA,NA,NA,NA,mg/100g,400.0,60.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,LOCHE,NA,r,Lota lota,NA,Lota lota,152.0,max,FishBase,4.00,0.70,3,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.00,30.0,mg/100g,0.03,0.02,mg/100g,0.40,0.11,mg/100g,NA,NA,NA,mg/100g,0.02,0.01,mg/100g,NA,NA,mg/100g,0.6,0.12,mg/100g,NA,NA,NA,NA,NA,mg/100g,320.0,33.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,PIKE,NA,r,Esox lucius,NA,Esox lucius,137.0,max,FishBase,4.40,0.70,3,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.00,34.0,mg/100g,0.70,0.01,mg/100g,0.40,0.12,mg/100g,NA,NA,NA,mg/100g,0.03,0.02,mg/100g,NA,NA,mg/100g,0.03,0.17,mg/100g,NA,NA,NA,NA,NA,mg/100g,400.0,40.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,100.0,max,FishBase,3.10,0.40,7,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,4.0,1.70,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,PIKE,NA,r,Esox lucius,NA,Esox lucius,137.0,max,FishBase,4.40,0.70,4,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,0.8,0.18,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,LOCHE,NA,r,Lota lota,NA,Lota lota,152.0,max,FishBase,4.00,0.70,10,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,0.6,0.20,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,SALMON,NA,r,Oncorhyncus spp,NA,Oncorhyncus spp,.,.,.,.,.,9,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,5.0,4.40,NA,NA,NA,NA,NA,6.00,4.0,mg/100g,0.10,0.07,mg/100g,0.90,0.61,mg/100g,NA,NA,NA,mg/100g,0.02,0.01,mg/100g,0.03,0.01,mg/100g,0.5,0.2,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,LOCHE,NA,r,Lota lota,NA,Lota lota,152.0,max,FishBase,4.00,0.70,3,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00,7.9,mg/100g,0.02,0.02,mg/100g,0.30,0.24,mg/100g,NA,NA,NA,mg/100g,0.02,NA,mg/100g,0.02,NA,mg/100g,0.7,0.49,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,107.0,max,FishBase,4.30,0.80,9,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.00,7.3,mg/100g,0.07,0.05,mg/100g,come back,0.13,mg/100g,NA,NA,NA,mg/100g,0.01,0.01,mg/100g,0.01,0.01,mg/100g,0.4,0.1,mg/100g,NA,NA,NA,NA,NA,mg/100g,309.0,203.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,PIKE,NA,r,Esox lucius,NA,Esox lucius,137.0,max,FishBase,4.40,0.70,5,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.00,16.0,mg/100g,0.02,0.02,mg/100g,0.20,0.05,mg/100g,NA,NA,NA,mg/100g,0.02,0.01,mg/100g,0.05,0.02,mg/100g,0.4,0.2,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,100.0,max,FishBase,3.10,0.40,8,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,4.0,2.50,NA,NA,NA,NA,NA,26.00,22.0,mg/100g,0.04,0.03,mg/100g,0.40,0.22,mg/100g,NA,NA,NA,mg/100g,0.01,0.01,mg/100g,0.02,0.01,mg/100g,0.6,0.5,mg/100g,NA,NA,NA,NA,NA,mg/100g,514.0,111.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,GRAYLING,NA,r,Thymallus arcticus,NA,Thymallus arcticus,76.0,max,FishBase,3.30,0.40,8,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,1.9,0.91,NA,NA,NA,NA,NA,31.00,18.0,mg/100g,0.10,0.22,mg/100g,1.00,1.8,mg/100g,NA,NA,NA,mg/100g,0.04,0.01,mg/100g,0.10,0.08,mg/100g,0.7,0.39,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,100.0,max,FishBase,3.10,0.40,1,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,36.00,NA,mg/100g,0.03,NA,mg/100g,0.50,NA,mg/100g,NA,NA,NA,mg/100g,0.03,NA,mg/100g,NA,NA,mg/100g,0.45,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,396.0,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,TROUT,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,150.0,max,FishBase,4.30,0.70,11,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.00,71.0,mg/100g,0.03,0.02,mg/100g,0.40,0.13,mg/100g,NA,NA,NA,mg/100g,0.01,0.01,mg/100g,0.03,0.02,mg/100g,0.4,0.19,mg/100g,NA,NA,NA,NA,NA,mg/100g,273.0,199.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,COD,NA,r,Boreogadus  saida,NA,Boreogadus  saida,40.0,max,FishBase,3.10,0.30,1,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.00,NA,mg/100g,0.05,NA,mg/100g,0.25,NA,mg/100g,NA,NA,NA,mg/100g,0.01,NA,mg/100g,NA,NA,mg/100g,0.37,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,404.0,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,COD,NA,r,Boreogadus  saida,NA,Boreogadus  saida,40.0,max,FishBase,3.10,0.30,1,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.2,g/100g,NA,NA,g/100g,NA,0.10,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,PIKE,NA,r,Esox lucius,NA,Esox lucius,137.0,max,FishBase,4.40,0.70,1,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.2,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,PIKE,NA,r,Esox lucius,NA,Esox lucius,137.0,max,FishBase,4.40,0.70,4,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,0.8,0.12,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,LOCHE,NA,r,Lota lota,NA,Lota lota,152.0,max,FishBase,4.00,0.70,2,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,0.7,0.29,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,SALMON,NA,r,Oncorhyncus spp,NA,Oncorhyncus spp,.,.,.,.,.,3,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.3,g/100g,0.16,NA,g/100g,NA,0.20,g/100g,0.08,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,TROUT,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,150.0,max,FishBase,4.30,0.70,2,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.6,g/100g,0.65,NA,g/100g,NA,0.20,g/100g,0.17,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,TROUT,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,150.0,max,FishBase,4.30,0.70,4,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,3.0,2.80,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,107.0,max,FishBase,4.30,0.80,3,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,2.0,3.20,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,GRAYLING,NA,r,Thymallus arcticus,NA,Thymallus arcticus,76.0,max,FishBase,3.30,0.40,1,"Kuhnlein et al, 2002","Kuhnlein et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.1,g/100g,NA,NA,g/100g,NA,0.10,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,COD,NA,r,Boreogadus  saida,NA,Boreogadus  saida,40.0,max,FishBase,3.10,0.30,1,"Kuhnlein et al, 2005","Kuhnlein et al, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,24.0,NA,NA,0.16,come back,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,100.0,max,FishBase,3.10,0.40,2,"Kuhnlein et al, 2005","Kuhnlein et al, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,4.4,0.85,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,100.0,max,FishBase,3.10,0.40,3,"Kuhnlein et al, 2005","Kuhnlein et al, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,13.5,8.19,NA,1.03,0.54,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,CLAMS,NA,r,Mya spp,NA,Mya spp,.,.,.,NA,NA,2,"Kuhnlein et al, 2005","Kuhnlein et al, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,48.6,10.2,NA,0.57,0.13,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,LAKE TROUT,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,150.0,max,FishBase,4.30,0.70,3,"Kuhnlein et al, 2005","Kuhnlein et al, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,19.7,16.74,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,LAKE TROUT,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,150.0,max,FishBase,4.30,0.70,4,"Kuhnlein et al, 2005","Kuhnlein et al, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,61.0,58.57,NA,0.23,0.46,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,107.0,max,FishBase,4.30,0.80,4,"Kuhnlein et al, 2005","Kuhnlein et al, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,25.8,24.39,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,107.0,max,FishBase,4.30,0.80,5,"Kuhnlein et al, 2005","Kuhnlein et al, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,31.5,22.94,NA,0.11,0.11,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
