"species_name","seanuts_id2","subgroup","nutrient","concentration","dri_per"
"Penaeus kerathurus",901,"crustacean","fat",2.1,3
"Penaeus kerathurus",902,"crustacean","fat",1.3,1.85714
"Perca fluviatilis",66,"finfish","fat",0.9,1.28571
"Perca fluviatilis",102,"finfish","fat",0.99,1.41429
"Perca fluviatilis",147,"finfish","fat",0.86,1.22857
"Phycis phycis",936,"finfish","fat",0.55,0.785714
"Piaractus mesopotamicus",1283,"finfish","fat",18.31,26.1571
"Pimelodus argenteus",938,"finfish","fat",0.35,0.5
"Pimelodus maculatus",939,"finfish","fat",5.55,7.92857
"Pimelodus maculatus",1282,"finfish","fat",5.5,7.85714
"Pimelodus maculatus",1351,"finfish","fat",4.1,5.85714
"Pimelodus maculatus",1353,"finfish","fat",0.24,0.342857
"Pinirampus pirinampu",941,"finfish","fat",7.3,10.4286
"Pinirampus pirinampu",1274,"finfish","fat",19.75,28.2143
"Plagioscion squamosissimus",1278,"finfish","fat",0.69,0.985714
"Pleuronectes platessa",947,"finfish","fat",1.7,2.42857
"Pogonias cromis",950,"finfish","fat",1.2,1.71429
"Pollachius pollachius",1315,"finfish","fat",0.27,0.385714
"Pollachius virens",953,"finfish","fat",0.85,1.21429
"Pollachius virens",1316,"finfish","fat",1.04,1.48571
"Pomacea canaliculata",32,"mollusc","fat",0.1,0.142857
"Pomatomus saltatrix",1294,"finfish","fat",1.01,1.44286
"Portunus pelagicus",960,"crustacean","fat",0.75,1.07143
"Portunus pelagicus",961,"crustacean","fat",1.08,1.54286
"Potamon sp.",870,"crustacean","fat",0.4,0.571429
"Prochilodus lineatus",1279,"finfish","fat",3.68,5.25714
"Prochilodus reticulatus",255,"finfish","fat",2.17,3.1
"Protopterus spp.",971,"finfish","fat",6.82,9.74286
"Psetta maxima",973,"finfish","fat",1.3,1.85714
"Pseudoplatystoma corruscans",1286,"finfish","fat",1.27,1.81429
"Pterodoras granulosus",1277,"finfish","fat",3.18,4.54286
"Puntius brevis",982,"finfish","fat",0.9,1.28571
"Puntius sophore",1960,"finfish","fat",7.2,10.2857
"Raja clavata",1332,"finfish","fat",0.61,0.871429
"Rasbora borapetensis",501,"finfish","fat",0.86,1.22857
"Rasbora borapetensis",502,"finfish","fat",0.86,1.22857
"Rastrineobola argentea",989,"finfish","fat",3.16,4.51429
"Rhizoprionodon terraenovae",994,"finfish","fat",0.52,0.742857
"Rhomboplites aurorubens",1367,"finfish","fat",3.13,4.47143
"Rutilus frisii",995,"finfish","fat",1.52,2.17143
"Rutilus frisii kutum",996,"finfish","fat",6.72,9.6
"Salminus brasiliensis",1280,"finfish","fat",0.88,1.25714
"Salmo salar",999,"finfish","fat",13.1,18.7143
"Salmo salar",1317,"finfish","fat",13.5,19.2857
"Salmus sp.",1661,"finfish","fat",6.42,9.17143
"Salvelinus fontinalis",228,"finfish","fat",0.92,1.31429
"Salvelinus fontinalis",283,"finfish","fat",1.6,2.28571
"Salvelinus namaycush",284,"finfish","fat",0.4,0.571429
"Sander lucioperca",1002,"finfish","fat",0.95,1.35714
"Sander lucioperca",1004,"finfish","fat",0.1,0.142857
"Sander lucioperca",1005,"finfish","fat",0.12,0.171429
"Sander lucioperca",1008,"finfish","fat",1.97,2.81429
"Sander lucioperca",1009,"finfish","fat",0.39,0.557143
"Sarda orientalis",1011,"finfish","fat",0.8,1.14286
"Sarda orientalis",1012,"finfish","fat",3.2,4.57143
"Sarda orientalis",1013,"finfish","fat",0.9,1.28571
"Sarda sarda",1014,"finfish","fat",18.33,26.1857
"Sarda sarda",1018,"finfish","fat",5,7.14286
"Sardina pilchardus",1027,"finfish","fat",7.36,10.5143
"Sardina pilchardus",1029,"finfish","fat",2.87,4.1
"Sardina pilchardus",1318,"finfish","fat",5.72,8.17143
"Sardinella aurita",1031,"finfish","fat",9.33,13.3286
"Sardinella aurita",1038,"finfish","fat",3.47,4.95714
"Sardinella aurita",1039,"finfish","fat",10,14.2857
"Sardinella aurita",1040,"finfish","fat",3.5,5
"Sardinella maderensis",1043,"finfish","fat",21,30
"Sardinella maderensis",1044,"finfish","fat",5,7.14286
"Sardinella sp.",36,"finfish","fat",0.17,0.242857
"Sardinops sagax",1046,"finfish","fat",6.43,9.18571
"Saurida undosquamis",1051,"finfish","fat",1.08,1.54286
"Sciaena umbra",1052,"finfish","fat",1.47,2.1
"Scomber japonicus",1053,"finfish","fat",1.57,2.24286
"Scomber japonicus",1054,"finfish","fat",7.9,11.2857
"Scomber japonicus",1055,"finfish","fat",1.01,1.44286
"Scomber japonicus",1056,"finfish","fat",0.93,1.32857
"Scomber japonicus",1057,"finfish","fat",1.9,2.71429
"Scomber japonicus",1058,"finfish","fat",0.18,0.257143
"Scomber japonicus",1059,"finfish","fat",7.2,10.2857
"Scomber japonicus/colias",1066,"finfish","fat",4,5.71429
"Scomber scombrus",1065,"finfish","fat",13.5,19.2857
"Scomber scombrus",1293,"finfish","fat",1.16,1.65714
"Scomber scombrus",1314,"finfish","fat",7.07,10.1
"Scomberomorus cavalla",1376,"finfish","fat",4.21,6.01429
"Scophthalmus maeoticus",1070,"finfish","fat",1.3,1.85714
"Scorpaena porcus",1074,"finfish","fat",0.8,1.14286
"Scorpaena porcus",1075,"finfish","fat",0.8,1.14286
"Scorpaena porcus",1333,"finfish","fat",2.27,3.24286
"Scorpaena scrofa",1078,"finfish","fat",0.68,0.971429
"Scorpaena scrofa",1079,"finfish","fat",0.68,0.971429
"Scorpaena scrofa",1080,"finfish","fat",0.87,1.24286
"Scyliorhinus canicula",1324,"finfish","fat",0.55,0.785714
"Sebastes caurinus",1084,"finfish","fat",1.7,2.42857
"Sebastes caurinus",1085,"finfish","fat",4.9,7
"Sebastes caurinus",1086,"finfish","fat",2.7,3.85714
"Sebastes caurinus",1087,"finfish","fat",3.52,5.02857
"Sebastes caurinus",1089,"finfish","fat",2.4,3.42857
"Sebastes pinniger",1094,"finfish","fat",3.31,4.72857
"Selene vomer",1380,"finfish","fat",7.29,10.4143
"Sepia officinalis",1104,"mollusc","fat",2.38,3.4
"Sepia officinalis",1105,"mollusc","fat",2.38,3.4
"Sepia officinalis",1107,"mollusc","fat",0.85,1.21429
"Sepia officinalis",1108,"mollusc","fat",0.88,1.25714
"Sepia officinalis",1109,"mollusc","fat",0.85,1.21429
"Sepia officinalis",1110,"mollusc","fat",0.86,1.22857
"Sepia officinalis",1663,"mollusc","fat",0.85,1.21429
"Serranus scriba",1112,"finfish","fat",1.55,2.21429
"Serranus scriba",1113,"finfish","fat",1.34,1.91429
"Serranus scriba",1114,"finfish","fat",1.58,2.25714
"Serranus scriba",1115,"finfish","fat",1.62,2.31429
"Serranus scriba",1116,"finfish","fat",1.75,2.5
"Serranus scriba",1117,"finfish","fat",1.93,2.75714
"Serrasalmus emarginatus",1287,"finfish","fat",0.7,1
"Siganus rivulatus",1297,"finfish","fat",1.21,1.72857
"Sillago sihama",1126,"finfish","fat",1.43,2.04286
"Silurus glanis",1128,"finfish","fat",0.54,0.771429
"Smaris alcedo",1142,"finfish","fat",17.49,24.9857
"Solea solea",1133,"finfish","fat",0.74,1.05714
"Solea solea",1320,"finfish","fat",0.4,0.571429
"Solea vulgaris",1134,"finfish","fat",0.67,0.957143
"Sorubim lima",1135,"finfish","fat",11.19,15.9857
"Sparus aurata",1295,"finfish","fat",12.4,17.7143
"Sphyraena chrysotaenia",1139,"finfish","fat",3.15,4.5
"Sphyraena sphyraena",1140,"finfish","fat",8.23,11.7571
"Spicara maena",1141,"finfish","fat",3.2,4.57143
"Spicara smaris",1561,"finfish","fat",3.87,5.52857
"Spicara vulgaris",1146,"finfish","fat",2,2.85714
"Spondyliosoma cantharus",1334,"finfish","fat",4.89,6.98571
"Sprattus sprattus",1150,"finfish","fat",11.1,15.8571
"Sprattus sprattus",1151,"finfish","fat",3.79,5.41429
"Sprattus sprattus sprattus",1149,"finfish","fat",13.37,19.1
"Synodontis victoriae",1163,"finfish","fat",6.39,9.12857
"Tenualosa ilisha",1978,"finfish","fat",18.3,26.1429
"Tenualosa ilisha (juvenile)",1979,"finfish","fat",7.7,11
"Theragra chalcogramma",1170,"finfish","fat",0.09,0.128571
"Theragra chalcogramma",1171,"finfish","fat",0.79,1.12857
"Theragra chalcogramma",1172,"finfish","fat",0.6,0.857143
"Thunnus alalunga",1363,"finfish","fat",4.94,7.05714
"Thunnus orientalis",1175,"finfish","fat",2,2.85714
"Thunnus thynnus",1322,"finfish","fat",0.73,1.04286
"Thunnus thynnus",1365,"finfish","fat",1.2,1.71429
"Tilapia pra",29,"finfish","fat",4.35,6.21429
"Tinca tinca",1214,"finfish","fat",0.61,0.871429
"Trachinotus ovatus",1217,"finfish","fat",1.8,2.57143
"Trachinus draco",1218,"finfish","fat",0.98,1.4
"Trachurus lathami",1220,"finfish","fat",1,1.42857
"Trachurus lathami",1221,"finfish","fat",2.4,3.42857
"Trachurus lathami",1222,"finfish","fat",1.5,2.14286
"Trachurus lathami",1223,"finfish","fat",1.1,1.57143
"Trachurus mediterraneus",1236,"finfish","fat",7.49,10.7
"Trachurus mediterraneus",1237,"finfish","fat",1.37,1.95714
"Trachurus trachurus",1239,"finfish","fat",0.88,1.25714
"Trachurus trachurus",1241,"finfish","fat",0.4,0.571429
"Trachurus trachurus",1242,"finfish","fat",2.03,2.9
"Trachurus trachurus",1244,"finfish","fat",7.3,10.4286
"Trachurus trachurus",1246,"finfish","fat",4.7,6.71429
"Trachurus trachurus",1247,"finfish","fat",6.8,9.71429
"Trachurus trachurus",1248,"finfish","fat",6.3,9
"Trachurus trachurus",1249,"finfish","fat",7.5,10.7143
"Trachurus trachurus",1250,"finfish","fat",2.1,3
"Trachurus trachurus",1251,"finfish","fat",3.02,4.31429
"Trachurus trachurus",1252,"finfish","fat",1.4,2
"Trachurus trachurus",1253,"finfish","fat",2.6,3.71429
"Trachurus trachurus",1254,"finfish","fat",1.5,2.14286
"Trachurus trachurus",1256,"finfish","fat",2.25,3.21429
"Trachurus trachurus",1257,"finfish","fat",1.7,2.42857
"Trachurus trachurus",1258,"finfish","fat",3.2,4.57143
"Trachurus trachurus",1259,"finfish","fat",1.6,2.28571
"Trachurus trachurus",1562,"finfish","fat",3.81,5.44286
"Trachypenaeus curvirostris",1260,"crustacean","fat",0.3,0.428571
"Trichiurus lepturus",1369,"finfish","fat",2.82,4.02857
"Trigla lyra",1264,"finfish","fat",0.66,0.942857
"Trisopterus luscus",1331,"finfish","fat",0.29,0.414286
"Trisopterus luscus",1335,"finfish","fat",0.25,0.357143
"Umbrina cirrosa",1266,"finfish","fat",0.92,1.31429
"Upeneus moluccensis",1267,"finfish","fat",2.08,2.97143
"Xiphias gladius",1321,"finfish","fat",12.4,17.7143
"Xiphopenaeus kroyeri",1270,"crustacean","fat",1,1.42857
"Zeus faber",1313,"finfish","fat",0.59,0.842857
"Ailia coila",1962,"finfish","fat",12.6,18
"Amblypharyngodon mola",1969,"finfish","fat",4.5,6.42857
"Amblypharyngodon mola",1970,"finfish","fat",4.6,6.57143
"Barbonymus gonionotus",1991,"finfish","fat",4.4,6.28571
"Calappa granulata",2016,"crustacean","fat",0.64,0.914286
"Catla catla",1983,"finfish","fat",0.7,1
"Channa marulius",1977,"finfish","fat",0.3,0.428571
"Channa punctatus",1973,"finfish","fat",0.6,0.857143
"Channa striatus",1980,"finfish","fat",0.3,0.428571
"Chela cachius",1952,"finfish","fat",2.4,3.42857
"Chlamys glabra",2026,"mollusc","fat",0.84,1.2
"Cirrhinus mrigala",1984,"finfish","fat",1.1,1.57143
"Clarias batrachus",1966,"finfish","fat",1.3,1.85714
"Colisa fasciata",1949,"finfish","fat",2.5,3.57143
"Corica soborna",1961,"finfish","fat",1.9,2.71429
"Ctenopharyngodon idella",1987,"finfish","fat",1.1,1.57143
"Cyprinus carpio",1986,"finfish","fat",2.9,4.14286
"Eleotris fusca",1965,"finfish","fat",1.2,1.71429
"Eleutheronema tetradactylum",2000,"finfish","fat",2.2,3.14286
"Eriphia verrucosa",2015,"crustacean","fat",0.67,0.957143
"Esomus danricus",1953,"finfish","fat",3.2,4.57143
"Esox lucius",2014,"finfish","fat",1.23,1.75714
"Glossogobius giuris",1948,"finfish","fat",0.4,0.571429
"Gudusia chapra",1951,"finfish","fat",3.8,5.42857
"Heteropneustes fossilis",1972,"finfish","fat",1.9,2.71429
"Hypophthalmichthys molitrix",1988,"finfish","fat",4.1,5.85714
"Hyporhamphus limbatus",1955,"finfish","fat",1.7,2.42857
"Illex coindetii",2021,"mollusc","fat",1.56,2.22857
"Johnius argentatus",1996,"finfish","fat",2.4,3.42857
"Labeo rohita",1985,"finfish","fat",3,4.28571
"Lepidocephalichthys guntea",1959,"finfish","fat",3.9,5.57143
"Loligo vulgaris",2022,"mollusc","fat",2.63,3.75714
"Lophius piscatorius",2009,"finfish","fat",0.25,0.357143
"Macrobrachium malcolmsonii",1982,"crustacean","fat",2.2,3.14286
"Macrognathus aculeatus",1974,"finfish","fat",2.6,3.71429
"Maja brachydactyla",1688,"crustacean","fat",0.32,0.457143
"Maja brachydactyla",1689,"crustacean","fat",7.08,10.1143
"Maja brachydactyla",1690,"crustacean","fat",1.36,1.94286
"Mastacembelus armatus",1947,"finfish","fat",1.7,2.42857
"Mastacembelus pancalus",1958,"finfish","fat",2.6,3.71429
"Merluccius merluccius",2008,"finfish","fat",1.26,1.8
"Metapenaeus monoceros",1981,"crustacean","fat",1,1.42857
"Mystus cavasius",1957,"finfish","fat",5.1,7.28571
"Mystus vittatus",1975,"finfish","fat",4.6,6.57143
"Mytilus galloprovincialis",1709,"mollusc","fat",1.4,2
"Mytilus galloprovincialis",1710,"mollusc","fat",1.7,2.42857
"Mytilus galloprovincialis",1711,"mollusc","fat",2.1,3
"Mytilus galloprovincialis",1766,"mollusc","fat",1.4,2
"Mytilus galloprovincialis",1767,"mollusc","fat",1.7,2.42857
"Mytilus galloprovincialis",1768,"mollusc","fat",2.1,3
"Mytilus galloprovincialis",1769,"mollusc","fat",1.67,2.38571
"Nandus nandus",1967,"finfish","fat",1.7,2.42857
"Nephrops norvegicus",2019,"crustacean","fat",1.07,1.52857
"Notopterus notopterus",1956,"finfish","fat",0.6,0.857143
"Octopus vulgaris",2023,"mollusc","fat",0.76,1.08571
"Oreochromis niloticus",1992,"finfish","fat",2,2.85714
"Oreochromis niloticus (juvenile)",1993,"finfish","fat",2.6,3.71429
"Osteobrama cotio cotio",1954,"finfish","fat",3.8,5.42857
"Ostrea edulis",1753,"mollusc","fat",2.04,2.91429
"Ostrea edulis",1754,"mollusc","fat",1.92,2.74286
"Ostrea edulis",1755,"mollusc","fat",2.4,3.42857
"Ostrea edulis",1756,"mollusc","fat",5.51,7.87143
"Ostrea edulis",1757,"mollusc","fat",1.47,2.1
"Ostrea edulis",1758,"mollusc","fat",2.04,2.91429
"Ostrea edulis",1759,"mollusc","fat",1.69,2.41429
"Palinurus vulgaris",2018,"crustacean","fat",0.63,0.9
"Pampus argenteus",1994,"finfish","fat",0.9,1.28571
"Parapenaeus longirostris",2020,"crustacean","fat",0.95,1.35714
"Platycephalus indicus",1998,"finfish","fat",0.3,0.428571
"Psetta maxima",2010,"finfish","fat",2.52,3.6
"Pseudambassis ranga",1950,"finfish","fat",3.8,5.42857
"Puntius sophore",1887,"finfish","fat",3.55,5.07143
"Puntius ticto",1976,"finfish","fat",3.4,4.85714
"Rapana venosa",2025,"mollusc","fat",2.54,3.62857
"Scomberomorus guttatus",1997,"finfish","fat",1.1,1.57143
"Scorpaena porcus",2007,"finfish","fat",0.55,0.785714
"Scorpena scrofa",2006,"finfish","fat",0.73,1.04286
"Scyllarides latus",2017,"crustacean","fat",0.91,1.3
"Sepia officinalis",2024,"mollusc","fat",0.28,0.4
"Sillaginopsis panijus",2001,"finfish","fat",0.6,0.857143
"Stolephorus tri",1995,"finfish","fat",2.1,3
"Trachinus draco",2012,"finfish","fat",2.44,3.48571
"Trigla lucerna",2013,"finfish","fat",2.6,3.71429
"Xenontedon cancila",1963,"finfish","fat",1.2,1.71429
"Zeus faber",2011,"finfish","fat",1.89,2.7
"Abramis brama",288,"finfish","fat",1,1.42857
"Aluterus monoceros",296,"finfish","fat",3.59,5.12857
"Arius madagascariensis",345,"finfish","fat",4.2,6
"Arius madagascariensis",346,"finfish","fat",4.3,6.14286
"Arius madagascariensis",347,"finfish","fat",5.6,8
"Arius madagascariensis",348,"finfish","fat",5.8,8.28571
"Arius madagascariensis",349,"finfish","fat",6.6,9.42857
"Auxis thazard thazard",361,"finfish","fat",6.05,8.64286
"Brevoortia aurea",379,"finfish","fat",9.64,13.7714
"Caranx crysos",387,"finfish","fat",18.8,26.8571
"Carassius carassius",388,"finfish","fat",1.5,2.14286
"Chaenocephalus aceratus",403,"finfish","fat",3.06,4.37143
"Chondrostoma nasus",431,"finfish","fat",1.3,1.85714
"Cynoscion jamaicensis",494,"finfish","fat",1.4,2
"Cyprinus carpio",509,"finfish","fat",1.4,2
"Dasyatis brevis",1342,"finfish","fat",1.95,2.78571
"Eleutheronema tetradactylum",1343,"finfish","fat",2.24,3.2
"Gasterochisma melampus",244,"finfish","fat",2,2.85714
"Isurus oxyrinchus",232,"finfish","fat",1.2,1.71429
"Lamna nasus",253,"finfish","fat",1.3,1.85714
"Lampris guttatus",277,"finfish","fat",1,1.42857
"Leuciscus cephalus",661,"finfish","fat",1.3,1.85714
"Leuciscus idus",662,"finfish","fat",1.6,2.28571
"Lucioperca lucioperca",1006,"finfish","fat",0.6,0.857143
"Megalaspis cordyla",1348,"finfish","fat",3.08,4.4
"Mugil liza",775,"finfish","fat",2.58,3.68571
"Mycteroperca acutirostris",787,"finfish","fat",4.97,7.1
"Notothenia neglecta",812,"finfish","fat",3.19,4.55714
"Opisthonema oglinum",832,"finfish","fat",13.3,19
"Pampus argenteus",1346,"finfish","fat",2.91,4.15714
"Parastromateus niger",1345,"finfish","fat",2.79,3.98571
"Perca fluviatilis",920,"finfish","fat",1.21,1.72857
"Perca fluviatilis",921,"finfish","fat",1.43,2.04286
"Perca fluviatilis",922,"finfish","fat",1.2,1.71429
"Perca fluviatilis",923,"finfish","fat",1.1,1.57143
"Perca fluviatilis",924,"finfish","fat",1.35,1.92857
"Perca fluviatilis",925,"finfish","fat",1.26,1.8
"Perca fluviatilis",926,"finfish","fat",1.48,2.11429
"Perca fluviatilis",927,"finfish","fat",1.44,2.05714
"Perca fluviatilis",928,"finfish","fat",1.47,2.1
"Perca fluviatilis",929,"finfish","fat",1.34,1.91429
"Plotosus lineatus",1344,"finfish","fat",2.79,3.98571
"Pomatomus saltatrix",957,"finfish","fat",18.7,26.7143
"Rastrelliger kanagurta",1349,"finfish","fat",4.54,6.48571
"Sarda sarda",1017,"finfish","fat",2.44,3.48571
"Sardina pilchardus",1022,"finfish","fat",0.54,0.771429
"Sardina pilchardus",1023,"finfish","fat",0.78,1.11429
"Sardina pilchardus",1024,"finfish","fat",3.15,4.5
"Sardina pilchardus",1025,"finfish","fat",2.29,3.27143
"Sardinella brasiliensis",1041,"finfish","fat",8.19,11.7
"Sardinella fimbriata",1347,"finfish","fat",3.06,4.37143
"Scomber colias",1069,"finfish","fat",6.94,9.91429
"Scomberomorus commerson",1341,"finfish","fat",1.46,2.08571
"Selaroides leptolepis",1350,"finfish","fat",5.77,8.24286
"Silurus glanis",1129,"finfish","fat",3.5,5
"Spondyliosoma cantharus",1148,"finfish","fat",0.74,1.05714
"Thunnus alalunga",205,"finfish","fat",5,7.14286
"Thunnus thynnus",1176,"finfish","fat",4.71,6.72857
"Trachurus trachurus",1243,"finfish","fat",6.57,9.38571
"Trichiurus lepturus",1263,"finfish","fat",2.75,3.92857
"Xiphias gladius",159,"finfish","fat",12,17.1429
"Abramis brama",131,"finfish","fat",1.4,2
"Abramis brama",134,"finfish","fat",0.7,1
"Acanthurus lineatus",1147,"finfish","fat",0.2,0.285714
"Alepocephalus agassizii",294,"finfish","fat",3.6,5.14286
"Alepocephalus bairdii",293,"finfish","fat",3,4.28571
"Anadara grandis",316,"mollusc","fat",1.93,2.75714
"Anarhichas lupus",275,"finfish","fat",0.9,1.28571
"Anchoa hepsetus",320,"finfish","fat",2,2.85714
"Aphanopus carbo",326,"finfish","fat",6.7,9.57143
"Arctica islandica",98,"mollusc","fat",0.5,0.714286
"Aristeus antennatus",339,"crustacean","fat",0.4,0.571429
"Aristeus antennatus",340,"crustacean","fat",0.2,0.285714
"Aristeus antennatus",341,"crustacean","fat",2,2.85714
"Arripis trutta",351,"finfish","fat",8.6,12.2857
"Aspius aspius",83,"finfish","fat",7.3,10.4286
"Aspius aspius",84,"finfish","fat",6.2,8.85714
"Balistes capriscus",367,"finfish","fat",1,1.42857
"Bivalvia",1630,"mollusc","fat",3.663,5.23286
"Boops boops",372,"finfish","fat",0.5,0.714286
"Boops boops",373,"finfish","fat",2,2.85714
"Boops boops",374,"finfish","fat",1,1.42857
"Boops salpa",1047,"finfish","fat",1,1.42857
"Boops salpa",1048,"finfish","fat",4,5.71429
"Callinectes sapidus",384,"crustacean","fat",0.79,1.12857
"Callinectes sapidus",385,"crustacean","fat",0.64,0.914286
"Callorhinchus capensis",1301,"finfish","fat",1,1.42857
"Caranx ignobilis",259,"finfish","fat",1.4,2
"Carassius carassius",121,"finfish","fat",1.6,2.28571
"Carassius carassius",126,"finfish","fat",1.2,1.71429
"Carcinus maenas",390,"crustacean","fat",0.5,0.714286
"Catla catla",194,"finfish","fat",1,1.42857
"Caulolatilus intermedius",378,"finfish","fat",2.1,3
"Chaenocephalus aceratus",402,"finfish","fat",0.9,1.28571
"Chamelea gallina",404,"mollusc","fat",2.13,3.04286
"Chamelea gallina",405,"mollusc","fat",2.94,4.2
"Chamelea gallina",406,"mollusc","fat",3.13,4.47143
"Chamelea gallina",407,"mollusc","fat",2.84,4.05714
"Champsocephalus gunnari",408,"finfish","fat",1.5,2.14286
"Channa marulius",252,"finfish","fat",1.3,1.85714
"Channa striata",63,"finfish","fat",1.7,2.42857
"Channa striata",414,"finfish","fat",8.5,12.1429
"Chirocentrus dorab",430,"finfish","fat",1.22,1.74286
"Chondrostoma nasus",127,"finfish","fat",1.1,1.57143
"Chondrostoma nasus",132,"finfish","fat",0.9,1.28571
"Chrysophrys auratus",864,"finfish","fat",3,4.28571
"Clarias gariepinus",434,"finfish","fat",9.3,13.2857
"Clarias gariepinus",1359,"finfish","fat",5.02,7.17143
"Clarias lazera",18,"finfish","fat",3.7,5.28571
"Clarias macrocephalus",445,"finfish","fat",14.7,21
"Clupea fimbrata",1042,"finfish","fat",3,4.28571
"Clupea pilchardus",1019,"finfish","fat",6,8.57143
"Clupea pilchardus",1020,"finfish","fat",7,10
"Clupea pilchardus",1021,"finfish","fat",2,2.85714
"Clupeonella cultriventris caspia",181,"finfish","fat",10.2,14.5714
"Coregonus clupeaformis",162,"finfish","fat",3.6,5.14286
"Coregonus clupeaformis",179,"finfish","fat",4,5.71429
"Corvina nigra",358,"finfish","fat",0.8,1.14286
"Crassostrea gigas",482,"mollusc","fat",2.85,4.07143
"Crassostrea rhizophorae",222,"mollusc","fat",1.06,1.51429
"Crassostrea virginica",487,"mollusc","fat",1.2,1.71429
"Crassostrea virginica",488,"mollusc","fat",1.2,1.71429
"Cyclopterus lumpus",257,"finfish","fat",3.4,4.85714
"Cyclopterus lumpus",267,"finfish","fat",21.9,31.2857
"Cynoglossus arel",492,"finfish","fat",0.7,1
"Cynoscion arenarius",493,"finfish","fat",3.2,4.57143
"Cynoscion nothus",495,"finfish","fat",1.3,1.85714
"Cyprinus carpio",85,"finfish","fat",1.2,1.71429
"Cyprinus carpio",135,"finfish","fat",1,1.42857
"Cyprinus carpio",188,"finfish","fat",3.6,5.14286
"Cyprinus carpio",506,"finfish","fat",3.5,5
"Cyprinus carpio",1298,"finfish","fat",8.3,11.8571
"Deania calcea",514,"finfish","fat",0.9,1.28571
"Dentex maroccanus",518,"finfish","fat",2.33,3.32857
"Dicentrarchus labrax",521,"finfish","fat",2,2.85714
"Diplodus sargus",530,"finfish","fat",2.05,2.92857
"Diplodus sargus",531,"finfish","fat",0.23,0.328571
"Diplodus sargus",532,"finfish","fat",0.35,0.5
"Diplodus sargus",533,"finfish","fat",2.27,3.24286
"Diplodus sargus",534,"finfish","fat",1.85,2.64286
"Diplodus sargus",535,"finfish","fat",0.79,1.12857
"Diplodus sargus",536,"finfish","fat",0.73,1.04286
"Diplodus sargus",537,"finfish","fat",1.41,2.01429
"Dosidicus gigas",1604,"mollusc","fat",0.336,0.48
"Eleutheronema tetradactylum",544,"finfish","fat",2.1,3
"Elops saurus",545,"finfish","fat",3.8,5.42857
"Engraulis encrasicolus",547,"finfish","fat",0.6,0.857143
"Engraulis encrasicolus",548,"finfish","fat",4,5.71429
"Engraulis encrasicolus",549,"finfish","fat",0.9,1.28571
"Epinephelus sexfasciatus",560,"finfish","fat",3.46,4.94286
"Epinephelus sexfasciatus",561,"finfish","fat",0.6,0.857143
"Esox lucius",1300,"finfish","fat",6.34,9.05714
"Etmopterus princeps",575,"finfish","fat",0.8,1.14286
"Eualus barbatus",776,"finfish","fat",3,4.28571
"Eualus barbatus",779,"finfish","fat",3,4.28571
"Eualus barbatus",781,"finfish","fat",2,2.85714
"Eualus barbatus",782,"finfish","fat",6.05,8.64286
"Euscarus cretensis",1136,"finfish","fat",1,1.42857
"Euthynnus pelamis",633,"finfish","fat",5,7.14286
"Euthynnus pelamis",634,"finfish","fat",0.2,0.285714
"Ficus filosus",596,"mollusc","fat",2.83,4.04286
"Ficus filosus",597,"mollusc","fat",1.38,1.97143
"Ficus filosus",598,"mollusc","fat",2.33,3.32857
"Fluta alba",758,"finfish","fat",0.6,0.857143
"Gadus macrocephalus",599,"finfish","fat",0.54,0.771429
"Gadus minutus capelanus",1265,"finfish","fat",0.4,0.571429
"Gadus morhua",263,"finfish","fat",0.2,0.285714
"Galeorhinus australis",1261,"finfish","fat",1,1.42857
"Glossogobius giuris",39,"finfish","fat",0.1,0.142857
"Gymnura spp.",615,"finfish","fat",0.93,1.32857
"Harpadon nehereus",197,"finfish","fat",0.8,1.14286
"Hexaplex trunculus",613,"mollusc","fat",1.6,2.28571
"Hilsa macrura",1168,"finfish","fat",23.15,33.0714
"Hippoglossus hippoglossus",622,"finfish","fat",0.5,0.714286
"Huso huso",625,"finfish","fat",6.07,8.67143
"Hydrolagus affinis",626,"finfish","fat",0.95,1.35714
"Hyperoglyphe antarctica",627,"finfish","fat",1.6,2.28571
"Hypophthalmichthys nobilis",1299,"finfish","fat",10.26,14.6571
"Hyporhamphus ihi",629,"finfish","fat",1.2,1.71429
"Ictalurus punctatus",630,"finfish","fat",2.4,3.42857
"Ictalurus punctatus",631,"finfish","fat",2.1,3
"Isopsetta isolepis",632,"finfish","fat",0.4,0.571429
"Labeo rohita",226,"finfish","fat",0.6,0.857143
"Lates calcarifer",262,"finfish","fat",0.7,1
"Lates calcarifer",649,"finfish","fat",2.68,3.82857
"Lates calcarifer",650,"finfish","fat",3.2,4.57143
"Leptomelanosoma indicum",282,"finfish","fat",1.2,1.71429
"Leuciscus cephalus",97,"finfish","fat",1.4,2
"Leuciscus cephalus",111,"finfish","fat",1.7,2.42857
"Leuciscus idus",112,"finfish","fat",1.4,2
"Leuciscus idus",113,"finfish","fat",1.7,2.42857
"Lithognathus mormyrus",666,"finfish","fat",0.7,1
"Lithognathus mormyrus",667,"finfish","fat",2.05,2.92857
"Liza aurata",274,"finfish","fat",4.9,7
"Liza ramada",671,"finfish","fat",0.47,0.671429
"Liza ramada",672,"finfish","fat",0.33,0.471429
"Liza ramada",673,"finfish","fat",0.25,0.357143
"Loligo pealeii",677,"mollusc","fat",0.7,1
"Loligo vulgaris",679,"mollusc","fat",1,1.42857
