Food Item ID	Code	Subgroup	"Country, region"	Type	ISSCAAP	3_alpha	Food name in own language	Food name in English	Processing	Scientific name	ASFIS English name	ASFIS Scientific name	Season	Other	n	Comments on data processing/methods	Publication year	BiblioID	PROTCNT(g)	PROTCNP(g)	PROT-(g)	FAT(g)	FATCE(g)	FAT-(g)	CA(mg)	FE(mg)	F20D5N3(g)	F22D6N3(g)	ZN(mg)	AS(mcg)	CD(mcg)	HG(mcg)	PB(mcg)
900083	900083	Finfish	"Denmark (Greenland), North Atlantic"	W	34	ALH		"Smooth head, wild, dorsal muscle, raw"	r	Alepocephalus agassizii	Slickheads nei	Alepocephalus spp				fat extraction according to Losnegard et al. (1979; ethyl acetat extraction)	2005	fi11	10.3					3.6									
900084	900084	Finfish	"Turkey, Seyhan dam lake"	W	13	FPP	Sudak	"Pike perch, wild, boneless fillet, raw"	r	Sander lucioperca	Pike-perch	Sander lucioperca		mean weight of fish: 135.67g		FOL-: analyzed using HPLC	2009	fi16	18.01			0.74							1.32				
900085	900085	Finfish	"Turkey, Seyhan dam lake"	W	11	FCP	Sazan	"Common carp, wild, boneless fillet, raw"	r	Cyprinus carpio	Common carp	Cyprinus carpio		mean weight of fish: 780.52g		FOL-: analyzed using HPLC	2009	fi16	18.34			3.5							1.25				
900086	900086	Finfish	"Turkey, Seyhan dam lake"	W	13	SOM	Yayın	"European catfish, wild, boneless fillet, raw"	r	Silurus glanis	Wels catfish	Silurus glanis		mean weight of fish: 690.78g		FOL-: analyzed using HPLC	2009	fi16	17.17			1.12							1.31				
900087	900087	Finfish	"Unknown, Antarctic waters"	W	33	NON		"Yellowbelly rockcod, wild, fillet (belly flaps removed), raw"	r	Notothenia neglecta	Yellowbelly rockcod	Notothenia neglecta	Mar-81	"mean length and weight of fish: 31.7cm, 570g"			1991	fi19	19.1			1.9											
900088	900088	Finfish	"Unknown, Antarctic waters"	W	33	NOG		"Humped rockcod, wild, fillet (belly flaps removed), raw"	r	Notothenia gibberifrons	Humped rockcod	Notothenia gibberifrons	Mar-81	"mean length and weight of fish: 37.7cm, 596g"			1991	fi19	18.5			0.8											
900089	900089	Finfish	"Unknown, Antarctic waters"	W	34	SSI		"Blackfin icefish, wild, fillet (belly flaps removed), raw"	r	Chaenocephalus aceratus	Blackfin icefish	Chaenocephalus aceratus	Mar-81	"mean length and weight of fish: 49.7cm, 899g"			1991	fi19	17.3			0.9											
900090	900090	Finfish	"Unknown, Antarctic waters"	W	34	ANI		"Mackerel icefish, wild, fillet (belly flaps removed), raw"	r	Champsocephalus gunnari	Mackerel icefish	Champsocephalus gunnari	Mar-81	"mean length and weight of fish: 43.7cm, 693g"			1991	fi19	17			1.5											
900091	900091	Finfish	"USA, NC, Neuse River"	W	22	ELA		"American eel, wild, skinless muscle tissue, raw"	r	Anguilla rostrata	American eel	Anguilla rostrata	July	"mean body length and weight: 43cm, 166.2g"		PROT- (analyzed accrding to AOAC 1975); FA converted using XFA	1981	fi21			19.1		3.4				0.0856776	0.1595376					
900092	900092	Finfish	"Brazil, Amazonian region, Teles Pires River"	W	13	UDF	Cachara	"Barred sorubim, wild, muscle flesh, raw"	r	Pseudoplatystoma fasciatum	Barred sorubim	Pseudoplatystoma fasciatum	Sep (dry season) 2006	"mean length and weight of fish: 75.5cm, 2990g"			2010	fi22	19.56				0.43										
900093	900093	Finfish	"Brazil, Amazonian region, Teles Pires River"	W	13	UDF	Cachara	"Barred sorubim, wild, muscle flesh, raw"	r	Pseudoplatystoma fasciatum	Barred sorubim	Pseudoplatystoma fasciatum	Jan (wet season) 2007	"mean length and weight of fish: 72.3cm, 3270g"			2010	fi22	19.36				0.18										
900094	900094	Finfish	"Uganda, Napoleon Gulf in Lake Victora"	W	12	TLN		"Nile tilapia, wild, skinless, boneless dorsal muscle, raw"	r	Oreochromis niloticus	Nile tilapia	Oreochromis niloticus	Nov-05		1		2008	fi23									0.00874	0.05846					
900095	900095	Finfish	"Uganda, Bukungu at Lake Kyoga"	W	12	TLN		"Nile tilapia, wild, skinless, boneless dorsal muscle, raw"	r	Oreochromis niloticus	Nile tilapia	Oreochromis niloticus	Oct-05		1		2008	fi23									0.02035	0.0714					
900096	900096	Finfish	"Uganda, Lwampanga at Lake Kyoga"	W	12	TLN		"Nile tilapia, wild, skinless, boneless dorsal muscle, raw"	r	Oreochromis niloticus	Nile tilapia	Oreochromis niloticus	Dec-05		1		2008	fi23									0.01365	0.06335					
900097	900097	Finfish	"Uganda, Napoleon Gulf in Lake Victora"	W	13	NIP		"Nile perch, wild, skinless, boneless, dorsal muscle, raw"	r	Lates niloticus	Nile perch	Lates niloticus	Nov-05		1		2008	fi23									0.0119	0.05082					
900098	900098	Finfish	"Uganda, Bukungu at Lake Kyoga"	W	13	NIP		"Nile perch, wild, skinless, boneless, dorsal muscle, raw"	r	Lates niloticus	Nile perch	Lates niloticus	Oct-05		1		2008	fi23									0.00693	0.04032					
900099	900099	Finfish	"Uganda, Lwampanga at Lake Kyoga"	W	13	NIP		"Nile perch, wild, skinless, boneless, dorsal muscle, raw"	r	Lates niloticus	Nile perch	Lates niloticus	Dec-05		1		2008	fi23									0.0084	0.02106					
900100	900100	Finfish	"Uganda, Napoleon Gulf in Lake Victora"	W	13	PPB		"Marbled lungfish, wild, skinless, boneless dorsal muscle, raw"	r	Protopterus aethiopicus	Marbled lungfish	Protopterus aethiopicus	Nov-05		1		2008	fi23									0.00621	0.0391					
900101	900101	Finfish	"Uganda, Bukungu at Lake Kyoga"	W	13	PPB		"Marbled lungfish, wild, skinless, boneless dorsal muscle, raw"	r	Protopterus aethiopicus	Marbled lungfish	Protopterus aethiopicus	Oct-05		1		2008	fi23									0.02162	0.022					
900102	900102	Finfish	"Uganda, Lwampanga at Lake Kyoga"	W	13	PPB		"Marbled lungfish, wild, skinless, boneless dorsal muscle, raw"	r	Protopterus aethiopicus	Marbled lungfish	Protopterus aethiopicus	Dec-05		1		2008	fi23									0.005	0.064					
900103	900103	Finfish	"Uganda, Napoleon Gulf in Lake Victora"	W	13	CSY		"Lake Victoria squeaker, wild, skinless, boneless dorsal muscle, raw"	r	Synodontis victoriae	Upsidedown catfishes	Synodontis spp	Nov-05		1		2008	fi23									0.0175	0.0696					
900104	900104	Finfish	"Uganda, Bukungu at Lake Kyoga"	W	13	CSY		"Lake Victoria squeaker, wild, skinless, boneless dorsal muscle, raw"	r	Synodontis victoriae	Upsidedown catfishes	Synodontis spp	Oct-05		1		2008	fi23									0.02146	0.04448					
900105	900105	Finfish	"Uganda, Lwampanga at Lake Kyoga"	W	13	CLZ		"African catfish, wild, skinless, boneless dorsal muscle, raw"	r	Clarias gariepinus	North African catfish	Clarias gariepinus	Dec-05		1		2008	fi23									0.01536	0.0448					
900106	900106	Finfish	"Uganda, Bukungu at Lake Kyoga"	W	13	CLZ		"African catfish, wild, skinless, boneless dorsal muscle, raw"	r	Clarias gariepinus	North African catfish	Clarias gariepinus	Oct-05		1		2008	fi23									0.0256	0.0504					
900107	900107	Finfish	"Uganda, Napoleon Gulf in Lake Victora"	W	13	BGK		"Semutundu, wild, skinless, boneless, dorsal muscle, raw"	r	Bagrus docmas	Semutundu	Bagrus docmak	Nov-05		1		2008	fi23									0.013	0.06384					
900108	900108	Finfish	"Uganda, Lwampanga at Lake Kyoga"	W	13	BGK		"Semutundu, wild, skinless, boneless, dorsal muscle, raw"	r	Bagrus docmas	Semutundu	Bagrus docmak	Dec-05		1		2008	fi23									0.01008	0.04712					
900109	900109	Finfish	"Uganda, Napoleon Gulf in Lake Victora"	W	12	TLZ		"Redbelly tilapia, wild, skinless, boneless, dorsal muscle, raw"	r	Tilapia zilli	Redbelly tilapia	Tilapia zilli	Nov-05		1		2008	fi23									0.0114	0.07252					
900110	900110	Finfish	"Uganda, Bukungu at Lake Kyoga"	W	12	TLZ		"Redbelly tilapia, wild, skinless, boneless, dorsal muscle, raw"	r	Tilapia zilli	Redbelly tilapia	Tilapia zilli	Oct-05		1		2008	fi23									0.01887	0.04401					
900111	900111	Finfish	"Uganda, Lwampanga at Lake Kyoga"	W	12	TLZ		"Redbelly tilapia, wild, skinless, boneless, dorsal muscle, raw"	r	Tilapia zilli	Redbelly tilapia	Tilapia zilli	Dec-05		1		2008	fi23									0.01242						
900112	900112	Finfish	"Portugal, caught off Sesimbra"	W	34	BSF		"Black scabbardfish, wild, skinless fillets, raw"	r	Aphanopus carbo	Black scabbardfish	Aphanopus carbo	Jan 2007-Jan 2008		1	FA converted using XFA	2009	fi25	16.9				2.5		11.9		0.0424763	0.12370675	0.27				
900113	900113	Finfish	"Portugal, caught off Sesimbra"	W	34	BSF		"Black scabbardfish, wild, skin-on fillets, raw"	r	Aphanopus carbo	Black scabbardfish	Aphanopus carbo	Jan 2007-Jan 2008		1		2009	fi25	16.1				6.7										
900114	900114	Finfish	"Portugal, caught off Sesimbra"	W	34	BSF		"Black scabbardfish, wild, skinless fillets, raw"	r	Aphanopus carbo	Black scabbardfish	Aphanopus carbo	Jan 2007-Jan 2008		1		2009	fi25	15.7				2.8		14	0.1	0.0479	0.1395	0.5				
900117	900117	Finfish	"Poland, Kisajno Lake"	W	11	FRO		"Roach, wild, dorsal muscle, raw"	r	Rutilus rutilus	Roach	Rutilus rutilus	Jun-97	"mean length and weight: 18.4cm, 81.9g"	9	Minerals given per DM - conversion to FW	2009	fi26							21.63168	0.18792			1.22148				
900118	900118	Finfish	"Poland, Niegocin Lake"	W	11	FRO		"Roach, wild, dorsal muscle, raw"	r	Rutilus rutilus	Roach	Rutilus rutilus	Jun-97	"mean length and weight: 20.2cm, 93.9g"	11	Minerals given per DM - conversion to FW	2009	fi26							12.78024	0.18612			1.102244				
900119	900119	Finfish	"Poland, Kisajno Lake"	W	11	FRO		"Roach, wild, dorsal muscle, raw"	r	Rutilus rutilus	Roach	Rutilus rutilus	Jun-97	"mean length and weight: 27.3cm, 273.4g"	4	Minerals given per DM - conversion to FW	2009	fi26							13.01955	0.186296			0.35989				
900120	900120	Finfish	"Poland, Dargin Lake"	W	11	FRO		"Roach, wild, dorsal muscle, raw"	r	Rutilus rutilus	Roach	Rutilus rutilus	Jun-97	"mean length and weight: 30.3cm, 328.3g"	3	Minerals given per DM - conversion to FW	2009	fi26							19.12406	0.176793			0.393507				
900121	900121	Finfish	"Poland, Niegocin Lake"	W	11	FRO		"Roach, wild, dorsal muscle, raw"	r	Rutilus rutilus	Roach	Rutilus rutilus	Jun-97	"mean length and weight: 29.6cm, 419.0g"	3	Minerals given per DM - conversion to FW	2009	fi26							19.49744	0.202924			0.483252				
900122	900122	Finfish	"Poland, Niegocin Lake"	W	11	FBM		"Bream, wild, dorsal muscle, raw"	r	Abramis brama	Freshwater bream	Abramis brama	Jun-97	"mean length and weight: 31.6cm, 361.3g"	4	Minerals given per DM - conversion to FW	2009	fi26							20.91808	0.213572			0.373252				
900123	900123	Finfish	"Poland, Kisajno Lake"	W	11	FBM		"Bream, wild, dorsal muscle, raw"	r	Abramis brama	Freshwater bream	Abramis brama	Jun-97	"mean length and weight: 33.2cm, 444.1g"	2	Minerals given per DM - conversion to FW	2009	fi26							11.59704	0.16992			0.39294				
