species,contaminant,dataset,concentration
glyptocephalus zachirus,mercury,hall,76.59375
gymnura micrura,mercury,adams,68.75
haemulon plumeri,arsenic,hall,325.6333333333333
haemulon plumeri,cadmium,hall,11.428571428571429
haemulon plumeri,lead,hall,21.4
haemulon plumeri,mercury,hall,143.6875
haemulon plumieri,mercury,adams,206.25
haemulon sciurus,arsenic,hall,283.50000000000006
haemulon sciurus,cadmium,hall,9.857142857142858
haemulon sciurus,lead,hall,20.119999999999997
haemulon sciurus,mercury,adams,175.00000000000003
haemulon sciurus,mercury,hall,408.796875
haliotis fulgens,arsenic,hall,950.6
haliotis fulgens,cadmium,hall,347.7142857142857
haliotis fulgens,lead,hall,33.52
haliotis fulgens,mercury,hall,17.218750000000004
haliotis rufescens,arsenic,hall,932.7333333333332
haliotis rufescens,cadmium,hall,26.857142857142858
haliotis rufescens,lead,hall,22.160000000000004
haliotis rufescens,mercury,hall,14.625
harengula jaguana,mercury,adams,206.25
hemilepidotus hemilepidotus,mercury,burger,81.25
hemilepidotus jordani,mercury,burger,175.625
hemiramphus brasiliensis,arsenic,hall,269.26666666666665
hemiramphus brasiliensis,cadmium,hall,29.142857142857142
hemiramphus brasiliensis,lead,hall,64.52
hemiramphus brasiliensis,mercury,hall,26.718749999999996
hexagrammos lagocephalus,mercury,burger,61.875
hippoglossoides elassodon,mercury,burger,173.12500000000003
hippoglossoides elassodon,mercury,karimi,103.28125000000001
hippoglossoides platessoides,arsenic,hall,1152.2666666666667
hippoglossoides platessoides,cadmium,hall,8.285714285714286
hippoglossoides platessoides,lead,hall,19.36
hippoglossoides platessoides,mercury,hall,49.875
hippoglossoides platessoides,mercury,karimi,30.46875
hippoglossus stenolepis,arsenic,hall,191.4
hippoglossus stenolepis,cadmium,hall,6.714285714285714
hippoglossus stenolepis,lead,hall,15.580000000000002
hippoglossus stenolepis,mercury,burger,98.75
hippoglossus stenolepis,mercury,hall,71.546875
hippoglossus stenolepis,mercury,karimi,181.1720625
homarus americanus,arsenic,hall,2110
homarus americanus,cadmium,hall,28.57142857142857
homarus americanus,lead,hall,19.8
homarus americanus,mercury,hall,68.28125
homarus americanus,mercury,karimi,79.76629273504274
hyporthodus flavolimbatus,mercury,karimi,151.99999999999997
hyporthodus nigritus,mercury,karimi,233.93303571428575
hyporthodus niveatus,mercury,karimi,205.625
hypsopsetta guttulata,mercury,karimi,24.20138888888889
ictalurus catus,arsenic,hall,44.400000000000006
ictalurus catus,cadmium,hall,6.428571428571428
ictalurus catus,lead,hall,12.6
ictalurus catus,mercury,hall,86.09374999999999
ictalurus furcatus,mercury,karimi,87.5400950791947
ictalurus nebulosus,arsenic,hall,95
ictalurus nebulosus,cadmium,hall,7.285714285714286
ictalurus nebulosus,lead,hall,26
ictalurus nebulosus,mercury,hall,23.75
ictalurus punctatus,arsenic,hall,114.99999999999999
ictalurus punctatus,cadmium,hall,8.571428571428571
