ref_info,seanuts_id2,species_name,nutrient,concentration,subgroup,abs_lat,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,max_length,length_from_study,commonlength,commonlengthf,commonlengthref,lengthfemale,maxlengthref,length_source_1,mean_length,tl,food_item_id_2,feedingtyperef,feeding_habit,demerspelag,brackishwater,brack,marine,fresh,trophic_level,diettroph,dietsetroph,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,weight,weightfemale,maxweightref,weight_from_study
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",539,Diplodus vulgaris,epa,0.04384796,finfish,37.370157,43.0,37.0,3.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,37.0,NA,22.0,NA,3397,NA,3397,NA,43.0,3.24,900337,NA,NA,benthopelagic,NA,0,NA,0,3.34,3.52,0.119,0.45,NA,NA,NA,NA,1300.0,NA,40637,NA
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1573,Doryteuthis opalescens,epa,0.1709276,mollusc,NA,147.0,19.0,3.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,19.0,NA,NA,NA,NA,NA,NA,NA,147.0,NA,NA,NA,hunting macrofauna (predator),NA,NA,NA,NA,NA,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",540,Echelus myrus,epa,0.146495648,finfish,37.370157,100.0,100.0,NaN,NA,NA,NA,100.0,NA,60.0,NA,26999,NA,3397,NA,100.0,4.3,900338,NA,NA,demersal,NA,-1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",541,Eledone moschata,epa,0.041710624,mollusc,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",542,Eledone moschata,epa,0.02181936,mollusc,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",543,Eledone moschata,epa,0.040965608,mollusc,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",1343,Eleutheronema tetradactylum,epa,0.115452356,finfish,NA,200.0,200.0,4.11,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),amphidromous,NaN,NA,50.0,NA,3479,NA,3479,NA,200.0,NA,NA,6390,NA,pelagic-neritic,NA,-1,NA,-1,4.11,4.06,0.473,0.7,NA,NA,NA,NA,145e3,NA,4965,NA
"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",546,Engraulis encrasicolus,epa,1.701033544,finfish,42.163403,20.0,20.0,3.109999895,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,20.0,NA,13.5,NA,189,NA,189,NA,20.0,3.11,900284,189,NA,pelagic-neritic,NA,-1,NA,0,3.109999895,NA,NA,0.45,NA,NA,NA,NA,NA,21.1,6139,NA
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",550,Engraulis encrasicolus,epa,0.1720829,finfish,39.019184,20.0,20.0,3.109999895,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,20.0,NA,13.5,NA,189,NA,189,NA,20.0,3.11,900412,189,NA,pelagic-neritic,NA,-1,NA,0,3.109999895,NA,NA,0.45,NA,NA,NA,NA,NA,21.1,6139,NA
"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314",551,Engraulis encrasicolus,epa,0.520800919,finfish,41.85509,20.0,20.0,3.109999895,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,20.0,11.9,13.5,NA,189,NA,189,NA,20.0,3.11,900382,189,NA,pelagic-neritic,NA,-1,NA,0,3.109999895,NA,NA,0.45,NA,NA,NA,NA,NA,21.1,6139,NA
"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314",552,Engraulis encrasicolus,epa,0.881727265,finfish,41.85509,20.0,20.0,3.109999895,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,20.0,11.5,13.5,NA,189,NA,189,NA,20.0,3.11,900383,189,NA,pelagic-neritic,NA,-1,NA,0,3.109999895,NA,NA,0.45,NA,NA,NA,NA,NA,21.1,6139,NA
"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",1306,Engraulis encrasicolus,epa,0.701,finfish,NA,20.0,20.0,3.109999895,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,13.5,NA,189,NA,189,NA,20.0,NA,NA,189,NA,pelagic-neritic,NA,-1,NA,0,3.109999895,NA,NA,0.45,NA,NA,NA,NA,NA,21.1,6139,NA
"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758",1558,Engraulis encrasicolus,epa,0.147177913,finfish,NA,20.0,20.0,3.109999895,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,13.5,NA,189,NA,189,NA,20.0,NA,NA,189,NA,pelagic-neritic,NA,-1,NA,0,3.109999895,NA,NA,0.45,NA,NA,NA,NA,NA,21.1,6139,NA
"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758",1558,Engraulis encrasicolus,epa,0.147177913,finfish,NA,20.0,20.0,3.109999895,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,13.5,NA,189,NA,189,NA,20.0,NA,NA,189,NA,pelagic-neritic,NA,-1,NA,0,3.109999895,NA,NA,0.45,NA,NA,NA,NA,NA,21.1,6139,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",553,Epinephelus aeneus,epa,0.08989824,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900608,231,NA,demersal,NA,-1,NA,0,4.02,NA,NA,0.59,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",553,Epinephelus aeneus,epa,0.08989824,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900608,231,NA,demersal,0,-1,1,0,4.02,NA,NA,NA,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",554,Epinephelus aeneus,epa,0.072037925,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900607,231,NA,demersal,NA,-1,NA,0,4.02,NA,NA,0.59,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",554,Epinephelus aeneus,epa,0.072037925,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900607,231,NA,demersal,0,-1,1,0,4.02,NA,NA,NA,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",555,Epinephelus aeneus,epa,0.111803643,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900606,231,NA,demersal,NA,-1,NA,0,4.02,NA,NA,0.59,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",555,Epinephelus aeneus,epa,0.111803643,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900606,231,NA,demersal,0,-1,1,0,4.02,NA,NA,NA,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",556,Epinephelus aeneus,epa,0.087199302,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900610,231,NA,demersal,NA,-1,NA,0,4.02,NA,NA,0.59,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",556,Epinephelus aeneus,epa,0.087199302,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900610,231,NA,demersal,0,-1,1,0,4.02,NA,NA,NA,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",557,Epinephelus aeneus,epa,0.09970389,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900609,231,NA,demersal,NA,-1,NA,0,4.02,NA,NA,0.59,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",557,Epinephelus aeneus,epa,0.09970389,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900609,231,NA,demersal,0,-1,1,0,4.02,NA,NA,NA,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",558,Epinephelus aeneus,epa,0.087734448,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900605,231,NA,demersal,NA,-1,NA,0,4.02,NA,NA,0.59,NA,NA,NA,NA,25e3,NA,5222,NA
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",558,Epinephelus aeneus,epa,0.087734448,finfish,18.1,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,98.0,40.0,60.0,NA,26999,NA,5222,NA,114.5,4.02,900605,231,NA,demersal,0,-1,1,0,4.02,NA,NA,NA,NA,NA,NA,NA,25e3,NA,5222,NA
"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",1290,Epinephelus aeneus,epa,0.078408126,finfish,NA,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,60.0,NA,26999,NA,5222,NA,120.0,NA,NA,231,NA,demersal,NA,-1,NA,0,4.02,NA,NA,0.59,NA,NA,NA,NA,25e3,NA,5222,NA
"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",1290,Epinephelus aeneus,epa,0.078408126,finfish,NA,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,60.0,NA,26999,NA,5222,NA,120.0,NA,NA,231,NA,demersal,NA,-1,NA,0,4.02,NA,NA,0.59,NA,NA,NA,NA,25e3,NA,5222,NA
"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",1290,Epinephelus aeneus,epa,0.078408126,finfish,NA,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,60.0,NA,26999,NA,5222,NA,120.0,NA,NA,231,NA,demersal,0,-1,1,0,4.02,NA,NA,NA,NA,NA,NA,NA,25e3,NA,5222,NA
"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",1290,Epinephelus aeneus,epa,0.078408126,finfish,NA,115.875,98.0,4.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,60.0,NA,26999,NA,5222,NA,120.0,NA,NA,231,NA,demersal,0,-1,1,0,4.02,NA,NA,NA,NA,NA,NA,NA,25e3,NA,5222,NA
Tawfik M.S. (2009). Proximate composition and fatty acid profiles in most common available fish species in saudi market. Asian Journal of Clinical Nutrition 1(1): 50-57,1352,Epinephelus coioides,epa,0.0077945,finfish,NA,117.5,100.0,3.95,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,NA,NA,NA,NA,47613,NA,120.0,NA,NA,27354,NA,reef-associated,NA,-1,NA,0,3.95,4.0,NA,0.67,NA,NA,NA,NA,15e3,NA,11228,NA
"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336",1374,Epinephelus morio,epa,0.00987,finfish,NA,125.0,NaN,3.63,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),non-migratory,NaN,NA,50.0,NA,5217,NA,26340,NA,125.0,NA,NA,33,NA,reef-associated,NA,0,NA,0,3.63,3.5,0.46,0.71,NA,NA,NA,NA,23e3,NA,9710,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1928,Epinephelus spp.,epa,47.8,finfish,22.57,100.0,234.0,4.16,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,234.0,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,hunting macrofauna (predator),NA,NA,NA,NA,NA,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Córser P.I., Ferrari G.T., De Martinez Y.B. (2000). Análisis proximal, perfil de ácidos grasos, aminoácidos esenciales y contendido de minerales en doce especies de pescado de importancia comercial en Venezuela. Archivos Latinoamericanos de Nutritcion 50(2): 187-194",87,Epinephelus striatus,epa,0.04415764,finfish,NA,122.0,NaN,4.03,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,NA,NA,NA,NA,5227,NA,122.0,NA,NA,5231,NA,reef-associated,NA,0,NA,0,4.03,4.06,NA,0.0214,NA,NA,NA,NA,25e3,NA,5222,NA
"Wu X., Cheng Y., Sui L., Yang X., Nan T., Wang J. (2007). Biochemical composition of pond-reared and lake-stocked Chinese mitten crab Eriocheir sinensis (H. Milne-Edwards) broodstock. Aquaculture Research 38: 1459-1567",562,Eriocheir sinensis,epa,0.20458472,crustacean,30.546498,7.5,7.5,NaN,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,7.5,NA,901186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wu X., Cheng Y., Sui L., Yang X., Nan T., Wang J. (2007). Biochemical composition of pond-reared and lake-stocked Chinese mitten crab Eriocheir sinensis (H. Milne-Edwards) broodstock. Aquaculture Research 38: 1459-1567",562,Eriocheir sinensis,epa,0.20458472,crustacean,30.546498,7.5,7.5,NaN,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,7.5,NA,901186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wu X., Cheng Y., Sui L., Yang X., Nan T., Wang J. (2007). Biochemical composition of pond-reared and lake-stocked Chinese mitten crab Eriocheir sinensis (H. Milne-Edwards) broodstock. Aquaculture Research 38: 1459-1567",563,Eriocheir sinensis,epa,0.1040494,crustacean,30.546498,7.5,7.5,NaN,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,7.5,NA,901185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wu X., Cheng Y., Sui L., Yang X., Nan T., Wang J. (2007). Biochemical composition of pond-reared and lake-stocked Chinese mitten crab Eriocheir sinensis (H. Milne-Edwards) broodstock. Aquaculture Research 38: 1459-1567",563,Eriocheir sinensis,epa,0.1040494,crustacean,30.546498,7.5,7.5,NaN,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,7.5,NA,901185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",265,Esox lucius,epa,0.07,finfish,52.636704,137.0,137.0,4.400000095,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,137.0,NA,40.0,55,556,150.0,40637,NA,137.0,4.1,900055,5992,NA,demersal,NA,-1,NA,-1,4.400000095,4.07,0.407,1.05,NA,NA,NA,NA,28350.0,35e3,40637,NA
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",271,Esox lucius,epa,0.07,finfish,54.758294,137.0,137.0,4.400000095,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,137.0,NA,40.0,55,556,150.0,40637,NA,137.0,4.1,900054,5992,NA,demersal,NA,-1,NA,-1,4.400000095,4.07,0.407,1.05,NA,NA,NA,NA,28350.0,35e3,40637,NA
"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2008). Fatty acid composition of wild and cultured northern pike (Esox lucius). J. Appl. Ichthyol. 24:196-201",569,Esox lucius,epa,0.008528929,finfish,53.642046,137.0,137.0,4.400000095,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,137.0,NA,40.0,55,556,150.0,40637,NA,137.0,4.1,900690,5992,NA,demersal,NA,-1,NA,-1,4.400000095,4.07,0.407,1.05,NA,NA,NA,NA,28350.0,35e3,40637,NA
"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2008). Fatty acid composition of wild and cultured northern pike (Esox lucius). J. Appl. Ichthyol. 24:196-201",569,Esox lucius,epa,0.008528929,finfish,53.642046,137.0,137.0,4.400000095,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,137.0,NA,40.0,55,556,150.0,40637,NA,137.0,4.1,900690,5992,NA,demersal,NA,-1,NA,-1,4.400000095,4.07,0.407,1.05,NA,NA,NA,NA,28350.0,35e3,40637,NA
"Mohanty, B.P., Ganguly, S., Mahanty, A., Sankar, T.V., Anandan, R., Chakraborty, K., Paul, B.N., Sarma, D., Syama Dayal, J., Venkateshwarlu, G. and Mathew, S., 2016. DHA and EPA Content and Fatty Acid Profile of 39 Food Fishes from India. BioMed Research International, 2016.",1929,Etroplus suratensis,epa,115.3,finfish,22.57,40.0,NaN,2.91,variable,mainly plants/detritus (troph. 2-2.19),NA,NaN,NA,20.0,NA,6028,NA,41236,NA,40.0,NA,NA,58008,NA,benthopelagic,NA,-1,NA,0,2.91,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA
"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060",576,Etrumeus teres,epa,0.04160688,finfish,39.53794,25.0,25.0,NaN,NA,NA,NA,25.0,20.59,NA,NA,NA,NA,NA,NA,25.0,3.49,900250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060",577,Etrumeus teres,epa,0.050151556,finfish,39.53794,25.0,25.0,NaN,NA,NA,NA,25.0,20.59,NA,NA,NA,NA,NA,NA,25.0,3.49,900251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",578,Etrumeus teres,epa,0.08049344,finfish,25.304304,25.0,25.0,NaN,NA,NA,NA,25.0,13.9,NA,NA,NA,NA,NA,NA,25.0,3.49,900915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Küçükgülmez A., Celik M., Ersoy B., Yanar Y. (2010). Effects of season on proximate and fatty acid composition of two mediterranean fish - the round herring (Etrumeus teres) and tub gurnard (Chelidonichthys lucernus). International Journal of Food Science and Technology 45: 1056-1060",579,Etrumeus teres,epa,0.008219349,finfish,39.53794,25.0,25.0,NaN,NA,NA,NA,25.0,20.59,NA,NA,NA,NA,NA,NA,25.0,3.49,900249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",580,Etrumeus teres,epa,0.0915211,finfish,25.304304,25.0,25.0,NaN,NA,NA,NA,25.0,17.0,NA,NA,NA,NA,NA,NA,25.0,3.49,900916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",777,Eualus barbatus,epa,0.585529856,finfish,42.163403,33.2,33.2,NaN,NA,NA,NA,33.2,NA,NA,NA,NA,NA,NA,NA,33.2,3.2,900288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polat A., Kuzu S. Özyurt G., Tokur B. (2009). Fatty acid composition of red mullet (Mullus barbatus): a seasonal differntiation. Journal of Muscle Foods 20:70-78",778,Eualus barbatus,epa,0.221691951,finfish,36.5817,33.2,33.2,NaN,NA,NA,NA,33.2,15.96,NA,NA,NA,NA,NA,NA,33.2,3.2,900363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polat A., Kuzu S. Özyurt G., Tokur B. (2009). Fatty acid composition of red mullet (Mullus barbatus): a seasonal differntiation. Journal of Muscle Foods 20:70-78",780,Eualus barbatus,epa,0.414824644,finfish,36.5817,33.2,33.2,NaN,NA,NA,NA,33.2,15.87,NA,NA,NA,NA,NA,NA,33.2,3.2,900362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
