user_supplied_name	submitted_name	matched_name2	score
Spondyliosoma cantharus	Spondyliosoma cantharus	Spondyliosoma cantharus	0.988
Zeus faber	Zeus faber	Zeus faber	0.988
Anguilla anguilla	Anguilla anguilla	Anguilla anguilla	0.988
Phycis blennoides	Phycis blennoides	Phycis blennoides	0.988
Pagrus auratus	Pagrus auratus	Pagrus auratus	0.988
Chelidonichthys lucerna	Chelidonichthys lucerna	Chelidonichthys lucerna	0.988
Atrobucca nibe	Atrobucca nibe	Atrobucca nibe	0.988
Sparisoma cretense	Sparisoma cretense	Sparisoma cretense	0.988
Spicara spp	Spicara spp	Spicara	0.75
Trisopterus minutus	Trisopterus minutus	Trisopterus minutus	0.988
Oblada melanura	Oblada melanura	Oblada melanura	0.988
Arnoglossus laterna	Arnoglossus laterna	Arnoglossus laterna	0.988
Katsuwonus pelamis	Katsuwonus pelamis	Katsuwonus pelamis	0.988
Homarus gammarus	Homarus gammarus	Homarus gammarus	0.988
Nephrops norvegicus	Nephrops norvegicus	Nephrops norvegicus	0.988
Aristeus antennatus	Aristeus antennatus	Aristeus antennatus	0.988
Mytilus galloprovincialis	Mytilus galloprovincialis	Mytilus galloprovincialis	0.988
Ostrea edulis	Ostrea edulis	Ostrea edulis	0.988
Todarodes sagittatus	Todarodes sagittatus	Todarodes sagittatus	0.988
Octopus vulgaris	Octopus vulgaris	Octopus vulgaris	0.988
Loligo vulgaris	Loligo vulgaris	Loligo vulgaris	0.988
Somber japonicus	Somber japonicus	Scomber japonicus	0.75
Patagonotothen ramsayi	Patagonotothen ramsayi	Patagonotothen ramsayi	0.988
Siganus rivulatus	Siganus rivulatus	Siganus rivulatus	0.988
Diplodus sargus	Diplodus sargus	Diplodus sargus	0.988
Megalaspis cordyla	Megalaspis cordyla	Megalaspis cordyla	0.988
Rastrelliger kanagurta	Rastrelliger kanagurta	Rastrelliger kanagurta	0.988
Chirocentrus dorab	Chirocentrus dorab	Chirocentrus dorab	0.988
Selaroides leptolepis	Selaroides leptolepis	Selaroides leptolepis	0.988
Eleutheronema tetradactylum	Eleutheronema tetradactylum	Eleutheronema tetradactylum	0.988
Sardinella fimbriata	Sardinella fimbriata	Sardinella fimbriata	0.988
Scomberomorus guttatus	Scomberomorus guttatus	Scomberomorus guttatus	0.988
Tenualosa macrura	Tenualosa macrura	Tenualosa macrura	0.988
Lutjanus johnii	Lutjanus johnii	Lutjanus johnii	0.988
Nemipterus japonicus	Nemipterus japonicus	Nemipterus japonicus	0.988
Leptomelanosoma indicum	Leptomelanosoma indicum	Leptomelanosoma indicum	0.988
Lutjanus argentimaculatus	Lutjanus argentimaculatus	Lutjanus argentimaculatus	0.988
Trachinotus blochii	Trachinotus blochii	Trachinotus blochii	0.988
Cynoglossus arel	Cynoglossus arel	Cynoglossus arel	0.988
Metapenaeus affinis	Metapenaeus affinis	Metapenaeus affinis	0.988
Anadara granosa	Anadara granosa	Anadara granosa	0.988
Coregonus lavaretus	Coregonus lavaretus	Coregonus lavaretus	0.988
Pogonias cromis	Pogonias cromis	Pogonias cromis	0.988
Menticirrhus americanus	Menticirrhus americanus	Menticirrhus americanus	0.988
Macrodon ancylodon	Macrodon ancylodon	Macrodon ancylodon	0.988
Parona signata	Parona signata	Parona signata	0.988
Micorpogonias furnieri	Micorpogonias furnieri	Micropogonias furnieri	0.75
Huso huso	Huso huso	Huso huso	0.988
Oreochromis macrochir	Oreochromis macrochir	Oreochromis macrochir	0.988
Tilapia rendalli	Tilapia rendalli	Tilapia rendalli	0.988
Mullus surmuletus	Mullus surmuletus	Mullus surmuletus	0.988
Pagellus erythrinus	Pagellus erythrinus	Pagellus erythrinus	0.988
Pagrus caeruleostictus	Pagrus caeruleostictus	Pagrus caeruleostictus	0.988
Dentex maroccanus	Dentex maroccanus	Dentex maroccanus	0.988
Cipangopaludina chinensis	Cipangopaludina chinensis	Cipangopaludina chinensis	0.988
Rapana spp	Rapana spp	Rapana	0.75
Epinephelus aeneus	Epinephelus aeneus	Epinephelus aeneus	0.988
Serranus scriba	Serranus scriba	Serranus scriba	0.988
Lophius piscatorius	Lophius piscatorius	Lophius piscatorius	0.988
Scophthalmus rhombus	Scophthalmus rhombus	Scophthalmus rhombus	0.988
Platichthys flesus	Platichthys flesus	Platichthys flesus	0.988
Microstomus kitt	Microstomus kitt	Microstomus kitt	0.988
Molva molva	Molva molva	Molva molva	0.988
Molva dypterygia	Molva dypterygia	Molva dypterygia	0.988
Pleuronectes platessa	Pleuronectes platessa	Pleuronectes platessa	0.988
Pollachius pollachius	Pollachius pollachius	Pollachius pollachius	0.988
Brosme brosme	Brosme brosme	Brosme brosme	0.988
Micromesistius poutassou	Micromesistius poutassou	Micromesistius poutassou	0.988
Eutrigla gurnardus	Eutrigla gurnardus	Eutrigla gurnardus	0.988
Lepidorhombus whiffiagonis	Lepidorhombus whiffiagonis	Lepidorhombus whiffiagonis	0.988
Sebastes viviparus	Sebastes viviparus	Sebastes viviparus	0.988
Sebastes mentella	Sebastes mentella	Sebastes mentella	0.988
Sebastes marinus	Sebastes marinus	Sebastes marinus	0.988
Pollachius virens	Pollachius virens	Pollachius virens	0.988
Reinhardtius hippoglossoides	Reinhardtius hippoglossoides	Reinhardtius hippoglossoides	0.988
Characidae	Characidae	Characidae	0.75
Brycon orbignyanus	Brycon orbignyanus	Brycon orbignyanus	0.988
Pseudoplatystoma coruscans	Pseudoplatystoma coruscans	Pseudoplatystoma coruscans	0.988
Piaractus mesopotamicus	Piaractus mesopotamicus	Piaractus mesopotamicus	0.988
Anguilla japonica	Anguilla japonica	Anguilla japonica	0.988
Thunnus alalunga	Thunnus alalunga	Thunnus alalunga	0.988
Gasterochisma melampus	Gasterochisma melampus	Gasterochisma melampus	0.988
Isurus oxyrinchus	Isurus oxyrinchus	Isurus oxyrinchus	0.988
Lampris guttatus	Lampris guttatus	Lampris guttatus	0.988
Lamna nasus	Lamna nasus	Lamna nasus	0.988
Xiphias gladius	Xiphias gladius	Xiphias gladius	0.988
Tilapia zillii	Tilapia zillii	Tilapia zillii	0.988
Lates angustifrons	Lates angustifrons	Lates angustifrons	0.988
Stolothrissa tanganicae	Stolothrissa tanganicae	Stolothrissa tanganicae	0.988
Limnothrissa miodon	Limnothrissa miodon	Limnothrissa miodon	0.988
Ictalurus punctatus	Ictalurus punctatus	Ictalurus punctatus	0.988
Procambarus clarkii	Procambarus clarkii	Procambarus clarkii	0.988
Procambarus acutus	Procambarus acutus	Procambarus acutus	0.988
Atherina boyeri	Atherina boyeri	Atherina boyeri	0.988
Atherinidae	Atherinidae	Atherinidae	0.75
Arius spp	Arius spp	Arius	0.75
Pagrus pagrus	Pagrus pagrus	Pagrus pagrus	0.988
Trachinus draco	Trachinus draco	Trachinus draco	0.988
Trigla lyra	Trigla lyra	Trigla lyra	0.988
Brama japonica	Brama japonica	Brama japonica	0.988
Pleurogrammus monopterygius	Pleurogrammus monopterygius	Pleurogrammus monopterygius	0.988
Alosa sapidissima	Alosa sapidissima	Alosa sapidissima	0.988
Rasbora tawarensis	Rasbora tawarensis	Rasbora tawarensis	0.988
Clupeoides borneensis	Clupeoides borneensis	Clupeoides borneensis	0.988
Henicorhynchus siamensis	Henicorhynchus siamensis	Henicorhynchus siamensis	0.988
