culture,number_of_targets,subgroup,number_of_species,sd,se
Central Salish,4.437,all,23,0.621624820464416,0.12961773520247202
Central Salish,4.493,all,24,0.596914824164476,0.12184472825884238
Central Salish,4.532,all,25,0.5790607147021039,0.11581214294042078
Central Salish,4.571,all,26,0.556118933563917,0.10906389592772393
Central Salish,4.604,all,27,0.5435802419877671,0.10461206634593308
Central Salish,4.634,all,28,0.525661792714974,0.0993407412323004
Central Salish,4.668,all,29,0.5020239317283869,0.09322350377527601
Central Salish,4.691,all,30,0.4916917334679939,0.08977021791974603
Central Salish,4.718,all,31,0.47613307247312986,0.0855160242864728
Central Salish,4.741,all,32,0.46490336107102426,0.0821840798024348
Central Salish,4.771,all,33,0.4458225630873316,0.0776077467544039
Central Salish,4.793,all,34,0.42465436690481745,0.07282762309876402
Central Salish,4.812,all,35,0.4108829819119123,0.06945190007167856
Central Salish,4.834,all,36,0.3880651937427455,0.06467753229045758
Central Salish,4.855,all,37,0.3607008526536985,0.059298854896446936
Central Salish,4.868,all,38,0.34741430122649913,0.05635804166611351
Central Salish,4.882,all,39,0.33194304660014523,0.05315342722051726
Central Salish,4.9,all,40,0.30674760650100286,0.0485010551674121
Central Salish,4.914,all,41,0.2875529284961061,0.04490822258532224
Central Salish,4.928,all,42,0.2662459143102235,0.04108263649178755
Central Salish,4.938,all,43,0.24538992688416575,0.03742161302385767
Central Salish,4.952,all,44,0.21387319079712103,0.032242596663188273
Central Salish,4.963,all,45,0.1888562063228706,0.028153021020710947
Central Salish,4.971,all,46,0.1678904023081343,0.024754089335943977
Central Salish,4.973,all,47,0.162164414398774,0.02365411092753822
Central Salish,4.979,all,48,0.14345584540052586,0.020706067739704737
Central Salish,4.985,all,49,0.12161327966052798,0.017373325665789714
Central Salish,4.986,all,50,0.11754921445002436,0.016623969332152787
Central Salish,4.989,all,51,0.10435463521037237,0.014612571736109253
Central Salish,4.99,all,52,0.0995485304256668,0.013804897340262643
Central Salish,4.995,all,53,0.07056897321046962,0.009693393957470035
Central Salish,4.997,all,54,0.054717401199198,0.00744609516606597
Central Salish,4.998,all,55,0.04469897088298564,0.006027208004311477
Central Salish,4.998,all,56,0.04469897088298564,0.005973151235197019
Central Salish,5,all,57,0,0
Central Salish,5,all,58,0,0
Chinook,2.561,all,1,0.777742813456919,0.777742813456919
Chinook,3.288,all,2,0.9497146718662179,0.6715496846689595
Chinook,3.681,all,3,0.860220308397203,0.49664842661550807
Chinook,3.928,all,4,0.772925231450891,0.3864626157254455
Chinook,4.134,all,5,0.6681994391575695,0.29882787369671204
Chinook,4.267,all,6,0.5950336671694006,0.24292147739035108
Chinook,4.383,all,7,0.5390747643895062,0.20375110923505302
Chinook,4.478,all,8,0.509682033993524,0.1801998112428866
Chinook,4.564,all,9,0.4981487249327776,0.16604957497759254
Chinook,4.623,all,10,0.4848774134831464,0.153331701257798
Chinook,4.692,all,11,0.4618975528722244,0.13926735222368306
Chinook,4.755,all,12,0.4303024054780082,0.12421760481783577
Chinook,4.817,all,13,0.3868600013708585,0.10729565933605383
Chinook,4.868,all,14,0.3386601403925338,0.09051072970754458
Chinook,4.94,all,15,0.237605674293474,0.06134952130020057
Chinook,5,all,16,0,0
Coosan,2.166,all,1,0.37226681638655706,0.37226681638655706
Coosan,2.368,all,2,0.5146268947896533,0.3638961670867398
Coosan,2.563,all,3,0.6053076882027829,0.3494745567264268
Coosan,2.738,all,4,0.652519564290437,0.3262597821452185
Coosan,2.913,all,5,0.6464122901437199,0.289084364450535
Coosan,3.106,all,6,0.6474435752891392,0.2643177327836025
Coosan,3.288,all,7,0.6272554897722693,0.23708029063392047
Coosan,3.467,all,8,0.5943603824820967,0.2101381284608603
Coosan,3.645,all,9,0.5091505025375447,0.16971683417918157
Coosan,3.827,all,10,0.37843653921656956,0.11967214137559927
Coosan,4,all,11,0,0
Eyak,2.531,all,1,0.7372805318076577,0.7372805318076577
Eyak,3.077,all,2,0.8842244357926629,0.6252410946398409
Eyak,3.441,all,3,0.8397762941547137,0.4848450694892903
Eyak,3.675,all,4,0.7771608449857591,0.38858042249287955
Eyak,3.886,all,5,0.6938915516746731,0.3103177357114754
Eyak,4.033,all,6,0.6231366618160893,0.2543944769117768
Eyak,4.137,all,7,0.5870056009746206,0.2218672626258372
Eyak,4.214,all,8,0.5696740546387281,0.2014101935505402
Eyak,4.287,all,9,0.5503943440242949,0.18346478134143163
Eyak,4.351,all,10,0.5273301404974658,0.16675643228285889
Eyak,4.412,all,11,0.5181935203420867,0.15624122506982727
Eyak,4.462,all,12,0.5184831962800963,0.1496732064713056
Eyak,4.512,all,13,0.5139261815865388,0.1425374768856679
Eyak,4.562,all,14,0.5024026357498619,0.13427275237058348
Eyak,4.61,all,15,0.4920794063381866,0.12705435638396192
Eyak,4.643,all,16,0.4793545460103417,0.11983863650258543
Eyak,4.687,all,17,0.4639463829433809,0.11252352597051878
Eyak,4.736,all,18,0.4410198391212106,0.1039493729601361
Eyak,4.779,all,19,0.41512809027013736,0.09523691547960836
Eyak,4.826,all,20,0.37929917989348183,0.08481387500517468
Eyak,4.867,all,21,0.3397446488562056,0.07413836049236924
Eyak,4.908,all,22,0.28917057184232914,0.061651373065746085
Eyak,4.95,all,23,0.21805400144814482,0.04546740234476045
Eyak,5,all,24,0,0
Haida,1.992,all,1,0.9385184158112279,0.9385184158112279
Haida,2.699,all,2,0.9514748048709983,0.67279428665243
Haida,2.997,all,3,0.973621558378274,0.5621206688185195
Haida,3.248,all,4,0.952577242749061,0.4762886213745305
Haida,3.449,all,5,0.8978893056525427,0.4015483047418343
Haida,3.615,all,6,0.8576190940682877,0.3501215290225454
Haida,3.724,all,7,0.8176139018463987,0.3090290075363921
Haida,3.849,all,8,0.7528384725595297,0.266168594542483
Haida,3.932,all,9,0.702758756523083,0.23425291884102764
Haida,4.009,all,10,0.6460157400066474,0.2042881142740165
Haida,4.069,all,11,0.6071306347134919,0.183056774006816
Haida,4.119,all,12,0.5806687318740146,0.1676246243287305
Haida,4.178,all,13,0.5591320314814996,0.15507532378929942
Haida,4.232,all,14,0.5481573464585479,0.14650121317793058
Haida,4.28,all,15,0.5328075486363569,0.1375703175068139
Haida,4.308,all,16,0.5228856561519061,0.13072141403797652
Haida,4.347,all,17,0.5107365777500685,0.12387181511353054
Haida,4.375,all,18,0.5065882268979724,0.11940399016960858
Haida,4.403,all,19,0.502835802070461,0.11535844454838734
Haida,4.426,all,20,0.5007741754271827,0.11197650976315852
Haida,4.447,all,21,0.5014403677830919,0.1094232591367864
Haida,4.467,all,22,0.5031542150913219,0.1072728390948147
Haida,4.482,all,23,0.5019242252849806,0.10465843573634893
Haida,4.5,all,24,0.5002501876563868,0.10211314195747331
Haida,4.516,all,25,0.49999399395792143,0.09999879879158428
Haida,4.529,all,26,0.49940805801309257,0.09794197819439372
Haida,4.546,all,27,0.49812863010685515,0.09586489956108411
Haida,4.566,all,28,0.4958728565770563,0.0937111614578636
Haida,4.587,all,29,0.49261919742705285,0.09147708845872446
Haida,4.612,all,30,0.48753840227585526,0.08901192685883798
Haida,4.632,all,31,0.4825026516080599,0.08666003447078535
Haida,4.654,all,32,0.4759312035478558,0.08413354535174096
Haida,4.67,all,33,0.47044800065609943,0.08189448520325839
Haida,4.689,all,34,0.4631344227041362,0.07942689822455197
Haida,4.705,all,35,0.45627095369219284,0.07712386756439894
Haida,4.722,all,36,0.4482375674984382,0.0747062612497397
Haida,4.742,all,37,0.43775292989039793,0.07196613836393449
Haida,4.764,all,38,0.4248346554654934,0.06891728155521022
Haida,4.782,all,39,0.4130939925085411,0.06614797836836518
Haida,4.797,all,40,0.402433787041984,0.06363036872299124
Haida,4.813,all,41,0.3901066305296325,0.06092442002750125
Haida,4.834,all,42,0.37226681638655706,0.05744201684816873
Haida,4.858,all,43,0.34922479573758497,0.0532562820746776
Haida,4.885,all,44,0.31918157352340515,0.0481184326987441
Haida,4.902,all,45,0.29746341705239066,0.044343228089901036
Haida,4.924,all,46,0.26513071171460745,0.03909139077194182
Haida,4.946,all,47,0.2261307920985887,0.0329845660668728
Haida,4.971,all,48,0.1678904023081343,0.024232892241738975
Haida,4.984,all,49,0.12553788177183714,0.01793398311026245
Haida,5,all,50,0,0
Interior Salish,2.222,all,1,0.8120193195825918,0.8120193195825918
Interior Salish,2.633,all,2,0.6439920230295758,0.4553711265142563
Interior Salish,2.894,all,3,0.6627240777300937,0.38262392467591605
Interior Salish,3.103,all,4,0.651778962391251,0.3258894811956255
Interior Salish,3.228,all,5,0.6437627128301471,0.287899437453577
Interior Salish,3.387,all,6,0.6029880551010895,0.24616884266514946
Interior Salish,3.489,all,7,0.5676276959426849,0.21454310296241877
Interior Salish,3.566,all,8,0.5290783721944452,0.18705745237891613
Interior Salish,3.632,all,9,0.5008261443124019,0.16694204810413396
Interior Salish,3.692,all,10,0.47260909783811755,0.1494521192085811
Interior Salish,3.746,all,11,0.4423569595696214,0.13337564166316798
Interior Salish,3.802,all,12,0.3986915536538929,0.1150923379128526
Interior Salish,3.843,all,13,0.3639828065767441,0.10095066711536478
Interior Salish,3.878,all,14,0.32744957355785825,0.08751457969276696
Interior Salish,3.908,all,15,0.28917057184232914,0.07466352059724107
Interior Salish,3.941,all,16,0.23574260237507894,0.058935650593769734
Interior Salish,3.961,all,17,0.19369180807797864,0.04697716373661
Interior Salish,3.976,all,18,0.15312559370479986,0.0360920485606267
Interior Salish,3.989,all,19,0.10435463521037237,0.02394059521958234
Interior Salish,3.999,all,20,0.03162277660168379,0.0070710678118654745
Interior Salish,4,all,21,0,0
Interior Salish,4,all,22,0,0
Inuit-Inupiaq,2.075,all,1,1.037521783603338,1.037521783603338
Inuit-Inupiaq,2.723,all,2,0.9450736289645184,0.6682679717613901
Inuit-Inupiaq,3.098,all,3,0.9588093216668866,0.5535688199658995
Inuit-Inupiaq,3.338,all,4,0.9394884984067866,0.4697442492033933
Inuit-Inupiaq,3.535,all,5,0.9075233322612696,0.4058567724206653
Inuit-Inupiaq,3.69,all,6,0.8664009756750338,0.3537067171755556
Inuit-Inupiaq,3.822,all,7,0.8444104624109231,0.3191571554286224
Inuit-Inupiaq,3.955,all,8,0.8010097481408179,0.28319971235345043
Inuit-Inupiaq,4.058,all,9,0.7623760339997692,0.2541253446665897
Inuit-Inupiaq,4.161,all,10,0.703970577918264,0.22261504319667497
Inuit-Inupiaq,4.235,all,11,0.6754489108964727,0.20365550931798154
Inuit-Inupiaq,4.288,all,12,0.6476692639576742,0.186966011945905
Inuit-Inupiaq,4.354,all,13,0.6156809750699327,0.17075917884171604
Inuit-Inupiaq,4.406,all,14,0.5928874391615288,0.15845583330458712
Inuit-Inupiaq,4.451,all,15,0.5726490434174556,0.1478573472251609
Inuit-Inupiaq,4.492,all,16,0.5533915812896346,0.13834789532240865
Inuit-Inupiaq,4.533,all,17,0.5433288195984143,0.1317765948615544
Inuit-Inupiaq,4.558,all,18,0.5356518672822143,0.12625435590349676
Inuit-Inupiaq,4.581,all,19,0.5231756040878748,0.12002471515499426
Inuit-Inupiaq,4.615,all,20,0.4990230696310783,0.1115849506035702
Inuit-Inupiaq,4.64,all,21,0.48645311864211194,0.10615277324880057
Inuit-Inupiaq,4.664,all,22,0.4788875998951459,0.10209917935146405
Inuit-Inupiaq,4.682,all,23,0.46593249842986173,0.09715364190025154
Inuit-Inupiaq,4.707,all,24,0.45536618051668964,0.09295123236549871
Inuit-Inupiaq,4.728,all,25,0.4452125494796999,0.08904250989593998
Inuit-Inupiaq,4.741,all,26,0.4383048152953731,0.08595864638818418
Inuit-Inupiaq,4.76,all,27,0.42729683193604723,0.08223331364738372
Inuit-Inupiaq,4.781,all,28,0.41377555535605315,0.07819622986212547
Inuit-Inupiaq,4.802,all,29,0.3986915536538929,0.07403516288409387
Inuit-Inupiaq,4.816,all,30,0.387678080750375,0.07078000995909657
Inuit-Inupiaq,4.831,all,31,0.3749394345485409,0.06734111038383889
Inuit-Inupiaq,4.844,all,32,0.3630369069334353,0.06417646467840542
Inuit-Inupiaq,4.858,all,33,0.34922479573758497,0.06079223384360617
Inuit-Inupiaq,4.866,all,34,0.3408227694273963,0.05845062274114998
Inuit-Inupiaq,4.88,all,35,0.3251241389157466,0.0549560098639177
Inuit-Inupiaq,4.884,all,36,0.3203851535989872,0.05339752559983121
Inuit-Inupiaq,4.895,all,37,0.3067068128833611,0.05042228943767828
Inuit-Inupiaq,4.913,all,38,0.2819760814510878,0.04574256065787912
Inuit-Inupiaq,4.921,all,39,0.26987373312686774,0.04321438264609211
Inuit-Inupiaq,4.929,all,40,0.25695335184625445,0.04062789221243979
Inuit-Inupiaq,4.937,all,41,0.24308453280719053,0.03796342594543323
Inuit-Inupiaq,4.946,all,42,0.2261307920985887,0.03489273875039358
Inuit-Inupiaq,4.953,all,43,0.21174474216810163,0.03229077045608149
Inuit-Inupiaq,4.957,all,44,0.2029585972364615,0.030597159773191145
Inuit-Inupiaq,4.964,all,45,0.18638331132035063,0.027784383598920673
Inuit-Inupiaq,4.969,all,46,0.17340435135563662,0.02556707676964615
Inuit-Inupiaq,4.972,all,47,0.16505527329729044,0.024075786036191933
Inuit-Inupiaq,4.976,all,48,0.15312559370479986,0.022101775686321868
Inuit-Inupiaq,4.98,all,49,0.14007005254378832,0.020010007506255475
Inuit-Inupiaq,4.983,all,50,0.1293357171384909,0.018290832527650416
Inuit-Inupiaq,4.984,all,51,0.12553788177183714,0.017578819563616645
Inuit-Inupiaq,4.985,all,52,0.12161327966052798,0.016864727522822136
Inuit-Inupiaq,4.987,all,53,0.11333068359382575,0.015567166611138345
Inuit-Inupiaq,4.989,all,54,0.10435463521037237,0.014200867142204856
Inuit-Inupiaq,4.992,all,55,0.08912880535463237,0.012018125662321244
Inuit-Inupiaq,4.994,all,56,0.07726558075864033,0.010325047535319468
Inuit-Inupiaq,4.994,all,57,0.07726558075864033,0.010234076180224138
Inuit-Inupiaq,4.995,all,58,0.07056897321046962,0.00926616014284009
Inuit-Inupiaq,4.997,all,59,0.054717401199198,0.007123598873824414
Inuit-Inupiaq,4.997,all,60,0.054717401199198,0.007063986119741452
Inuit-Inupiaq,4.998,all,61,0.04469897088298564,0.005723116768068846
Inuit-Inupiaq,4.999,all,62,0.03162277660168379,0.004016096644512494
Inuit-Inupiaq,4.999,all,63,0.03162277660168379,0.003984095364447979
Inuit-Inupiaq,5,all,64,0,0
Inuit-Inupiaq,5,all,65,0,0
Inuit-Inupiaq,5,all,66,0,0
Inuit-Inupiaq,5,all,67,0,0
Inuit-Inupiaq,5,all,68,0,0
Inuit-Inupiaq,5,all,69,0,0
Inuit-Inupiaq,5,all,70,0,0
Nass-Gitksan,2.048,all,1,0.8913419604677492,0.8913419604677492
Nass-Gitksan,2.504,all,2,0.7788392585062662,0.5507225211440833
Nass-Gitksan,2.795,all,3,0.8121789424964394,0.4689117310804649
Nass-Gitksan,2.985,all,4,0.844682477910184,0.422341238955092
Nass-Gitksan,3.166,all,5,0.843300157212813,0.37713529539282187
