latin_name,feeding_mode,feeding_level,BodyShapeI,part,DemersPelag,EnvTemp,nutrient,reference,AgeMatMin,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,offal,bathydemersal,deep-water,epa,27,5,NA,4.787491742782046,4.12,2740
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,dha,23,NA,-1.6094379124341003,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,dha,27,NA,NA,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,dha,56,NA,NA,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,dha,69,NA,NA,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,epa,23,NA,-1.6094379124341003,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,epa,27,NA,NA,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,epa,56,NA,NA,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,epa,69,NA,NA,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,whole,demersal,subtropical,dha,27,NA,NA,4.553876891600541,3.36,NA
Aplodinotus grunniens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,whole,demersal,subtropical,epa,27,NA,NA,4.553876891600541,3.36,NA
Boreogadus saida,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,polar,dha,2,2.75,-1.1116975282167652,3.6888794541139363,3.27,400
Boreogadus saida,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,polar,epa,2,2.75,-1.8018098050815563,3.6888794541139363,3.27,400
Brachyura,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Brachyura,NA,NA,NA,muscle,NA,NA,dha,46,NA,NA,NA,NA,NA
Brachyura,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Brachyura,NA,NA,NA,muscle,NA,NA,epa,46,NA,NA,NA,NA,NA
Brachyura,NA,NA,NA,whole,NA,NA,dha,27,NA,NA,NA,NA,NA
Brachyura,NA,NA,NA,whole,NA,NA,epa,27,NA,NA,NA,NA,NA
Brevoortia spp.,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,pelagic-neritic,subtropical,dha,27,1,NA,3.912023005428146,2.61,50
Brevoortia spp.,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,pelagic-neritic,subtropical,epa,27,1,NA,3.912023005428146,2.61,50
Brevoortia spp.,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,oil,pelagic-neritic,subtropical,dha,23,1,2.066862759472976,3.912023005428146,2.61,50
Brevoortia spp.,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,oil,pelagic-neritic,subtropical,epa,23,1,2.5416019934645457,3.912023005428146,2.61,50
Brevoortia spp.,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,whole,pelagic-neritic,subtropical,dha,27,1,NA,3.912023005428146,2.61,50
Brevoortia spp.,filtering plankton,plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,whole,pelagic-neritic,subtropical,epa,27,1,NA,3.912023005428146,2.61,50
Callinectes sapidus,NA,NA,NA,eggs,NA,NA,dha,27,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,eggs,NA,NA,epa,27,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,muscle,NA,NA,dha,23,NA,-1.6094379124341003,NA,NA,NA
Callinectes sapidus,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,muscle,NA,NA,dha,65,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,muscle,NA,NA,dha,79,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,muscle,NA,NA,epa,23,NA,-1.6094379124341003,NA,NA,NA
Callinectes sapidus,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,muscle,NA,NA,epa,65,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,muscle,NA,NA,epa,79,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,offal,NA,NA,dha,27,NA,NA,NA,NA,NA
Callinectes sapidus,NA,NA,NA,offal,NA,NA,epa,27,NA,NA,NA,NA,NA
Cancer borealis,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Cancer borealis,NA,NA,NA,muscle,NA,NA,dha,55,NA,-2.3025850929940455,NA,NA,NA
Cancer borealis,NA,NA,NA,muscle,NA,NA,dha,79,NA,NA,NA,NA,NA
Cancer borealis,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Cancer borealis,NA,NA,NA,muscle,NA,NA,epa,55,NA,-1.2729656758128873,NA,NA,NA
Cancer borealis,NA,NA,NA,muscle,NA,NA,epa,79,NA,NA,NA,NA,NA
Cancer irroratus,NA,NA,NA,muscle,NA,NA,dha,55,NA,-1.8971199848858813,NA,NA,NA
Cancer irroratus,NA,NA,NA,muscle,NA,NA,epa,55,NA,-1.3093333199837622,NA,NA,NA
Cancer magister,NA,NA,NA,muscle,NA,NA,dha,23,NA,-2.3025850929940455,NA,NA,NA
Cancer magister,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Cancer magister,NA,NA,NA,muscle,NA,NA,dha,79,NA,NA,NA,NA,NA
Cancer magister,NA,NA,NA,muscle,NA,NA,epa,23,NA,-1.6094379124341003,NA,NA,NA
Cancer magister,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Cancer magister,NA,NA,NA,muscle,NA,NA,epa,79,NA,NA,NA,NA,NA
Cancer magister,NA,NA,NA,offal,NA,NA,dha,27,NA,NA,NA,NA,NA
Cancer magister,NA,NA,NA,offal,NA,NA,epa,27,NA,NA,NA,NA,NA
Cancer magister,NA,NA,NA,whole,NA,NA,dha,27,NA,NA,NA,NA,NA
Cancer magister,NA,NA,NA,whole,NA,NA,epa,27,NA,NA,NA,NA,NA
Carassius auratus,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),fusiform / normal,muscle,benthopelagic,tropical,dha,27,1,NA,3.871201010907891,2.86,20
Carassius auratus,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),fusiform / normal,muscle,benthopelagic,tropical,epa,27,1,NA,3.871201010907891,2.86,20
Carassius auratus,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),fusiform / normal,whole,benthopelagic,tropical,dha,27,1,NA,3.871201010907891,2.86,20
Carassius auratus,grazing on aquatic plants,mainly plants/detritus (troph. 2-2.19),fusiform / normal,whole,benthopelagic,tropical,epa,27,1,NA,3.871201010907891,2.86,20
Cardiidae,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Cardiidae,NA,NA,NA,muscle,NA,NA,dha,52,NA,NA,NA,NA,NA
Cardiidae,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Cardiidae,NA,NA,NA,muscle,NA,NA,epa,52,NA,NA,NA,NA,NA
Cardiidae,NA,NA,NA,whole,NA,NA,dha,27,NA,NA,NA,NA,NA
Cardiidae,NA,NA,NA,whole,NA,NA,epa,27,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,muscle,NA,NA,dha,40,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,muscle,NA,NA,dha,41,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,muscle,NA,NA,dha,69,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,muscle,NA,NA,epa,40,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,muscle,NA,NA,epa,41,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,muscle,NA,NA,epa,69,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,offal,NA,NA,dha,27,NA,NA,NA,NA,NA
Catostominae,NA,NA,NA,offal,NA,NA,epa,27,NA,NA,NA,NA,NA
Catostomus catostomus,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,demersal,temperate,dha,2,4.6,-1.5511690043101247,4.1588830833596715,3.1099998950958248,180
Catostomus catostomus,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,demersal,temperate,epa,2,4.6,-2.5902671654458267,4.1588830833596715,3.1099998950958248,180
Catostomus commersonii,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,demersal,temperate,dha,2,4,-1.7203694731413821,4.174387269895637,2.46,NA
Catostomus commersonii,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,demersal,temperate,dha,13,4,-1.241328590869705,4.174387269895637,2.46,NA
Catostomus commersonii,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,demersal,temperate,dha,27,4,NA,4.174387269895637,2.46,NA
Catostomus commersonii,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,demersal,temperate,dha,56,4,NA,4.174387269895637,2.46,NA
Catostomus commersonii,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),fusiform / normal,muscle,demersal,temperate,dha,79,4,NA,4.174387269895637,2.46,NA
