genus_species,common_name,part_edited,biblio_id,cine_id,ca_mg,fe_mg,zn_mg,epa,dha,page_id,trad_food_id,subgroup
Micropogonias undulatus,Atlantic Croaker,muscle,27,452,118,1.58,NA,NA,NA,6437,NA,NA
Micropogonias undulatus,Atlantic Croaker,whole,27,453,NA,NA,NA,NA,NA,6437,NA,NA
Micropterus spp.,Bass,muscle,44,456,14.8,0.283,0.419,NA,NA,6409,NA,NA
Microstomus pacificus,Dover Sole,muscle,25,457,NA,NA,NA,0.08,0.09,6152,NA,NA
Microstomus pacificus,Dover Sole,muscle,27,458,50,NA,NA,NA,NA,6152,NA,NA
Microstomus pacificus,Dover Sole,whole,27,459,NA,NA,NA,NA,NA,6152,NA,NA
Microstomus pacificus,Dover Sole,viscera,27,460,NA,NA,NA,NA,NA,6152,NA,NA
Morone saxatilis,Striped Bass,muscle,27,466,15,NA,0.27,NA,NA,6437,NA,NA
Morone saxatilis,Striped Bass,viscera,27,467,NA,NA,NA,NA,NA,6437,NA,NA
Mugil cephalus,Flathead Gray Mullet,muscle,27,474,51,1.7,0.398,NA,NA,6437,NA,NA
Mugil cephalus,Flathead Gray Mullet,whole,27,475,195,NA,NA,NA,NA,6437,NA,NA
Mya arenaria,Softshell Clam,whole,27,479,53,40.5,1.7,NA,NA,6504,NA,NA
Myoxocephalus scorpius,Shorthorn Sculpin,muscle,50,484,NA,NA,4.3,NA,NA,6438,NA,NA
Myoxocephalus scorpius,Shorthorn Sculpin,liver,50,485,NA,NA,10,NA,NA,6438,NA,NA
Myoxocephalus spp.,Shorthorn and Fourhorn Sculpins,muscle,11,486,329,NA,NA,NA,NA,6438,NA,NA
Myoxocephalus spp.,Shorthorn and Fourhorn Sculpins,muscle,34,489,12,0.4,NA,NA,NA,6438,NA,NA
Mytilidae,Mussels,muscle,55,490,NA,NA,NA,0.13,0.17,6505,NA,NA
Mytilidae,Mussels,whole,27,491,101,17,3.63,NA,NA,6505,NA,NA
Mytilidae,Mussels,whole,27,492,NA,NA,NA,NA,NA,6505,NA,NA
Mytilus edulis,Blue Mussel,muscle,55,496,NA,NA,NA,0.13,0.17,6505,NA,NA
Mytilus edulis,Blue Mussel,whole,27,500,85,10.8,3.95,NA,NA,6505,NA,NA
Nassarius spp.,Mudsnails,whole,27,504,NA,NA,NA,NA,NA,6515,NA,NA
Nephropidae,Lobsters,muscle,55,506,NA,NA,NA,0.24,0.12,6520,NA,NA
Nephropidae,Lobsters,muscle,27,508,39,1.57,0.82,NA,NA,6520,NA,NA
Nephropidae,Lobsters,whole,27,509,NA,NA,2.2,NA,NA,6520,NA,NA
Notropis hudsonius,Spottail Shiner,whole,27,510,NA,NA,NA,NA,NA,6408,NA,NA
Octopoda,Octopus,muscle,27,518,22,1.27,1.73,NA,NA,6527,NA,NA
Octopoda,Octopus,eggs,27,519,NA,NA,NA,NA,NA,6527,NA,NA
Oncorhynchus gorbuscha,Pink Salmon,muscle,27,526,13,0.93,NA,NA,NA,6446,NA,NA
Oncorhynchus gorbuscha,Pink Salmon,eggs,27,527,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus gorbuscha,Pink Salmon,muscle,55,530,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus keta,Chum Salmon,muscle,34,534,11,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus keta,Chum Salmon,muscle,27,536,12,0.475,1.37,NA,NA,6446,NA,NA
Oncorhynchus keta,Chum Salmon,whole,27,537,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus keta,Chum Salmon,eggs,27,538,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus keta,Chum Salmon,muscle,55,541,NA,NA,NA,NA,NA,6446,NA,NA
