culture,page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha
Tillamook,6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,eggs,raw,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459,1.44
Tillamook,6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,79,51,1.1,1.5,18.4,5.8,1.1,2.2,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,56,NA,NA,NA,18.8,3.1,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,72,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Steelhead Trout,Oncorhynchus mykiss irideus,muscle,raw,58,NA,NA,NA,21,11,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,23,NA,NA,NA,NA,2,NA,0.4,NA,NA,0.1,0.2
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,65,14.3,0.471,0.226,18.6,3.41,NA,NA,0.018,50,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,23,NA,NA,NA,NA,2.7,NA,0.9,NA,NA,0.2,0.2
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,43,4.7,0.8,0.2,16.6,1.5,0.58,0.93,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,whole,raw,27,NA,NA,NA,15.6,5.2,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,whole,raw,27,NA,NA,NA,17.1,5.6,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,skin,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,56,NA,NA,NA,21.5,3.4,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,79,80,1.2,1.4,20,2.5,0.3,0.7,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,27,NA,NA,NA,18.5,1.6,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,2,9.3,0.5,0.3,23.5,1.8,NA,NA,NA,21,0.112,0.322
Tillamook,6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,27,38,0.46,1.2,18.6,2.6,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Dolly Varden Trout,Salvelinus malma,muscle,raw,7,13,NA,1.3,19.7,2,NA,0.9,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Dolly Varden Trout,Salvelinus malma,muscle,raw,34,NA,NA,NA,15.9,2.1,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Dolly Varden Trout,Salvelinus malma,muscle,raw,27,NA,NA,NA,19.9,6,NA,NA,NA,NA,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brown Trout,Salmo trutta,muscle,raw,82,20,0.44,0.7,20,3.3,NA,0.11,0.04,30,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brown Trout,Salmo trutta,muscle,raw,27,20,0.46,1,18.5,2.9,NA,NA,0.05,25,NA,NA
Tillamook,6151,Fish,Freshwater Fish,Brown Trout,Salmo trutta,muscle,raw,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,82,NA,0.67,0.75,20.5,2.7,NA,NA,NA,30,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,21,40,NA,2.2,23,6,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,30,34,0.8,1.8,24.5,7.7,NA,NA,0.13,26,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,35,36,NA,8.2,20.8,5.2,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,62,7,NA,0.23,20.2,8.1,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,9,18.8,0.6,0.32,19.2,6.5,NA,NA,NA,21.3,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,4,7,0.6,0.7,21,3.3,NA,NA,0.01,29,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,37,NA,NA,NA,NA,3.3,NA,NA,NA,NA,0.4,0.2
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,53,11,0.4,0.3,18,2,NA,NA,0.01,30,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,60,NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle + skin,raw,4,14,0.6,0.6,22,3.9,NA,NA,0.01,23,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,79,20,0.8,1,21.4,7.9,NA,0.9,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,not specified,raw,87,7,NA,0.2,20,8,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,2,7.2,0.6,0.7,20.2,7.2,NA,NA,NA,21,0.78,0.69
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,50,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,skin,raw,4,268,2.5,4.8,42,19,NA,NA,0.16,26,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,skin,raw,37,NA,NA,NA,NA,18.7,NA,NA,NA,NA,0.7,0.6
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,liver,raw,50,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,whole,raw,73,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA
Nass-Gitksan,6449,Fish,Searun Fish,Arctic Char,Salvelinus alpinus,whole,raw,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,muscle,raw,7,NA,NA,NA,NA,9.3,NA,0.56,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,muscle,raw,38,273,1.3,1.6,NA,16.7,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,muscle,raw,5,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,muscle,raw,21,50,NA,0.9,14,6,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,muscle,raw,62,50,NA,0.9,14.6,6.2,NA,0,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,muscle,raw,55,NA,NA,NA,NA,1.2,0.32,NA,NA,NA,0.12,0.18
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,oil,raw,7,NA,NA,NA,NA,100,NA,2.37,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,oil,raw,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,oil,raw,5,NA,NA,NA,NA,98,19,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,oil,raw,38,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,oil,raw,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,oil,raw,39,6.8,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,oil,raw,21,NA,NA,NA,0,98,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,whole,raw,7,NA,NA,NA,NA,6.9,NA,0.37,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,whole,raw,66,NA,NA,NA,12,18.8,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,whole,raw,11,476,NA,NA,15.3,2.4,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,whole,raw,33,476,NA,NA,15.3,2.4,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,muscle,raw,27,NA,NA,NA,14.5,6.5,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6448,Fish,Searun Fish,Eulachon,Thaleichthys pacificus,eggs,raw,11,32,NA,NA,21.4,5.6,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,55,NA,NA,NA,NA,2.04,0.45,NA,NA,NA,0.16,0.22
Nass-Gitksan,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,67,13,NA,0.66,23.5,4.5,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,27,19,NA,1,18.7,4.3,NA,NA,0.048,60,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,oil,raw,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,23,NA,NA,NA,NA,2.3,NA,0.7,NA,NA,0.1,0.3
Nass-Gitksan,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,"muscle, cheeks",raw,27,NA,NA,NA,19.2,0.7,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,"muscle, dark muscle",raw,27,NA,NA,NA,16.9,10.6,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,27,22,0.08,0.09,NA,NA,NA,NA,NA,25,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,79,34,0.3,0.1,20,2.2,0.5,0.8,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,72,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,62,3,0.4,0.66,14.4,13.8,NA,1.37,0.012,26,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,23,NA,NA,NA,NA,13.8,NA,1.4,NA,NA,0.5,0.4
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,47,10,NA,NA,13.1,11.3,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,63,3,0.4,0.66,14.4,13.8,NA,1367,0.012,26,0.526,0.393
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,82,25,NA,0.25,12.4,15.6,NA,2.55,NA,22,0.95,0.87
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,48,NA,NA,NA,NA,13.1,1.88,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,79,12,NA,1,13.2,10,0.6,1,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,72,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,"muscle, dark muscle",raw,27,NA,NA,NA,18.4,6.2,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,"muscle, dark muscle",raw,27,NA,NA,NA,19.6,0.8,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,55,NA,NA,NA,NA,NA,NA,0.33,NA,NA,0.16,0.22
Nass-Gitksan,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,82,15,0.5,0.5,20.6,3.9,NA,1.2,0.01,23,0.281,0.41
Nass-Gitksan,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,79,16,0.3,NA,19.3,3.6,1.3,1.4,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,72,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,23,NA,NA,NA,NA,1.1,NA,0.3,NA,NA,0.1,0.1
Nass-Gitksan,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,21,12,NA,0.8,17,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,82,35,0.78,0.3,18,1.6,NA,0.509,0.04,27,0.284,0.133
Nass-Gitksan,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,eggs,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,65,13.2,0.394,0.103,21.2,1.19,NA,NA,0.015,47,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,55,NA,NA,NA,NA,NA,NA,0.23,NA,NA,0.07,0.12
Nass-Gitksan,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,55,NA,NA,NA,NA,0.45,0.22,NA,NA,NA,0.07,0.12
Nass-Gitksan,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,27,NA,NA,NA,18,0.6,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,offal,raw,27,NA,NA,NA,17,3.5,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,79,13,0.4,0.1,19.6,0.9,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Starry Flounder,Platichthys stellatus,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Starry Flounder,Platichthys stellatus,muscle,raw,27,NA,NA,NA,17.1,1.8,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Starry Flounder,Platichthys stellatus,muscle,raw,79,4,0.5,0.5,17.1,1.5,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,25,NA,NA,NA,NA,1,0.2,0.23,NA,NA,0.08,0.09
Nass-Gitksan,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,27,50,NA,NA,15.1,0.9,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,whole,raw,27,NA,NA,NA,12.7,3.5,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,offal,raw,27,NA,NA,NA,11.7,4.4,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,79,29,0.2,0.2,15.1,0.9,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,muscle,raw,48,NA,NA,NA,NA,1.7,0.49,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,muscle,raw,27,NA,NA,NA,16.8,1.7,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,offal,raw,27,NA,NA,NA,13.9,7,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,muscle,raw,79,9,0.3,0.3,16.8,1.7,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Rock Sole,Lepidopsetta bilineata,muscle,raw,27,NA,NA,NA,18.6,1.2,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6152,Fish,Saltwater Fish,Rock Sole,Lepidopsetta bilineata,muscle,raw,79,NA,0.3,NA,18.6,1,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Rockfish,Sebastes spp.,muscle,raw,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373,0.649
Nass-Gitksan,6436,Fish,Saltwater Fish,Rockfish,Sebastes spp.,muscle,raw,55,NA,NA,NA,NA,1.15,0.21,NA,NA,NA,0.14,0.07
Nass-Gitksan,6436,Fish,Saltwater Fish,Rockfish,Sebastes spp.,muscle,raw,62,12,0.53,0.53,24,2,NA,0.59,0.02,34,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Rockfish,Sebastes spp.,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Rockfish,Sebastes spp.,muscle,raw,27,NA,0.147,NA,16.2,1,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Rockfish,Sebastes spp.,offal,raw,27,NA,NA,NA,16.5,6.4,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Yelloweye Rockfish,Sebastes ruberrimus,muscle,raw,23,NA,NA,NA,NA,1.2,NA,0.4,NA,NA,NA,0.2
Nass-Gitksan,6436,Fish,Saltwater Fish,Yelloweye Rockfish,Sebastes ruberrimus,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Yelloweye Rockfish,Sebastes ruberrimus,muscle,raw,21,15,NA,0.8,20,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,muscle,raw,27,141,0.683,0.633,18.4,3.1,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,muscle,raw,48,NA,NA,NA,NA,3.9,0.82,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,whole,raw,27,NA,NA,NA,17.3,2.2,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,offal,raw,27,NA,NA,NA,16.3,6.8,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,muscle,raw,55,NA,NA,NA,NA,NA,NA,0.23,NA,NA,0.14,0.07
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,muscle,raw,82,23,NA,0.77,19.4,0.9,NA,0.158,NA,NA,0.046,0.073
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,muscle,raw,79,141,0.7,0.8,18.7,2.8,0.4,0.8,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,muscle,raw,72,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Golden Redfish,Sebastes norvegicus,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Canary Rockfish,Sebastes pinniger,muscle,raw,23,NA,NA,NA,NA,1.8,NA,0.6,NA,NA,0.2,0.3
Nass-Gitksan,6436,Fish,Saltwater Fish,Canary Rockfish,Sebastes pinniger,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Canary Rockfish,Sebastes pinniger,muscle,raw,27,NA,NA,NA,18.4,2.3,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Canary Rockfish,Sebastes pinniger,muscle,raw,79,9,0.4,0.4,18.8,1.8,NA,0.7,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Canary Rockfish,Sebastes pinniger,muscle,raw,72,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA
Nass-Gitksan,6436,Fish,Saltwater Fish,Yellowtail Rockfish,Sebastes flavidus,muscle,raw,27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
