Length,AgeMatMin,DepthRangeDeep,part,bulk_trophic_level,EnvTemp,feeding_mode,nutrient,BodyShapeI,concentration,feeding_level,species1,DemersPelag,common_name
46.99999999999999,NA,NA,NA,3.42,NA,hunting macrofauna (predator),fapun_all_g,NA,0.589632,mainly animals (troph. 2.8 and up),Clarias batrachus,NA,NA
170.00000000000006,4,80,NA,3.5,subtropical,hunting macrofauna (predator),fapun_all_g,elongated,0.13536,mainly animals (troph. 2.8 and up),Clarias gariepinus,benthopelagic,NA
170.00000000000006,4,80,NA,3.5,subtropical,hunting macrofauna (predator),fapun_all_g,elongated,0.17760000000000004,mainly animals (troph. 2.8 and up),Clarias gariepinus,benthopelagic,NA
170.00000000000006,4,80,NA,3.5,subtropical,hunting macrofauna (predator),fapun_all_g,elongated,1.74505653,mainly animals (troph. 2.8 and up),Clarias gariepinus,benthopelagic,NA
170.00000000000006,4,80,NA,3.5,subtropical,hunting macrofauna (predator),fapun_all_g,elongated,0.66164776,mainly animals (troph. 2.8 and up),Clarias gariepinus,benthopelagic,NA
119.99999999999997,NA,NA,NA,3.7,NA,hunting macrofauna (predator),fapun_all_g,NA,0.350590514,mainly animals (troph. 2.8 and up),Clarias macrocephalus,NA,NA
119.99999999999997,NA,NA,NA,3.7,NA,hunting macrofauna (predator),fapun_all_g,NA,0.393698587,mainly animals (troph. 2.8 and up),Clarias macrocephalus,NA,NA
119.99999999999997,NA,NA,NA,3.7,NA,hunting macrofauna (predator),fapun_all_g,NA,0.324251236,mainly animals (troph. 2.8 and up),Clarias macrocephalus,NA,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
100.00000000000004,NA,128,NA,3.430000067,temperate,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.7,mainly animals (troph. 2.8 and up),Coregonus clupeaformis,demersal,NA
