run,fdis,sample,nt,s
1,0.47066323969263485,210_6,3,5
1,0.5737966015886334,211_5,4,5
1,0.5737966015886334,212_5,3,5
1,0.5415339366124405,213_5,4,5
1,0.5415339366124405,214_5,4,5
1,0.5415339366124405,215_5,4,5
1,0.5415339366124405,216_5,4,5
1,0.5712547703657965,217_5,4,5
1,0.5712547703657965,218_5,4,5
1,0.5712547703657965,219_5,4,5
1,0.5299472854662852,22_3,4,5
1,0.5351156695954989,22_4,4,5
1,0.5567491648096549,22_5,4,5
1,0.5167125730433453,22_6,3,5
1,0.5529781277727019,22_7,3,5
1,0.5415930677373682,22_8,3,5
1,0.5712547703657965,220_5,2,5
1,0.5712547703657965,221_5,2,5
1,0.5712547703657965,222_5,3,5
1,0.4893594872895003,223_5,2,5
1,0.4893594872895003,224_5,3,5
