Order,Family,Species,Occurrence,FishBase name,Name
Cypriniformes,Cyprinidae,Cyprinella caerulea,endemic ,Blue shiner ,
Cypriniformes,Cyprinidae,Cyprinella callisema,native ,Ocmulgee shiner ,
Cypriniformes,Cyprinidae,Cyprinella callistia,native ,Alabama shiner ,
Cypriniformes,Cyprinidae,Cyprinella callitaenia,endemic ,Bluestripe shiner ,
Cypriniformes,Cyprinidae,Cyprinella camura,native ,Bluntface shiner ,
Cypriniformes,Cyprinidae,Cyprinella chloristia,native ,Greenfin shiner ,
Cypriniformes,Cyprinidae,Cyprinella eurystoma,native ,,
Cypriniformes,Cyprinidae,Cyprinella formosa,native ,Beautiful shiner ,
Cypriniformes,Cyprinidae,Cyprinella galactura,native ,Whitetail shiner ,
Cypriniformes,Cyprinidae,Cyprinella gibbsi,endemic ,Tallapoosa shiner ,
Cypriniformes,Cyprinidae,Cyprinella labrosa,native ,Thicklip chub ,
Cypriniformes,Cyprinidae,Cyprinella leedsi,native ,Bannerfin shiner ,
Cypriniformes,Cyprinidae,Cyprinella lepida,endemic ,Plateau shiner ,Edwards Plateau shiner 
Cypriniformes,Cyprinidae,Cyprinella lutrensis,native ,Red shiner ,
Cypriniformes,Cyprinidae,Cyprinella monacha,native ,Spotfin chub ,Turquoise shiner 
Cypriniformes,Cyprinidae,Cyprinella nivea,native ,Whitefin shiner ,
Cypriniformes,Cyprinidae,Cyprinella proserpina,native ,Proserpine shiner ,Prosperine shiner 
Cypriniformes,Cyprinidae,Cyprinella pyrrhomelas,native ,Fieryblack shiner ,
Cypriniformes,Cyprinidae,Cyprinella spiloptera,native ,Spotfin shiner ,
Cypriniformes,Cyprinidae,Cyprinella stigmatura,native ,,
Cypriniformes,Cyprinidae,Cyprinella trichroistia,native ,Tricolor shiner ,
Cypriniformes,Cyprinidae,Cyprinella venusta,native ,Blacktail shiner ,
Cypriniformes,Cyprinidae,Cyprinella whipplei,native ,Steelcolor shiner ,
Cypriniformes,Cyprinidae,Cyprinella xaenura,endemic ,Altamaha shiner ,
Cypriniformes,Cyprinidae,Cyprinella zanema,native ,Santee chub ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon arcuatus,endemic ,Santa Cruz pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon bovinus,endemic ,Leon Springs pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon diabolis,endemic ,Devils Hole pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon elegans,endemic ,Comanche Springs pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon eremus,native ,Sonoyta pupfish ,Quitobaquito pupfish 
Cyprinodontiformes,Cyprinodontidae,Cyprinodon eximius,native ,Conchos pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon hubbsi,native ,Lake Eustis minnow ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon macularius,native ,Desert pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon nevadensis,endemic ,Amargosa pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon pecosensis,endemic ,Pecos pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon radiosus,endemic ,Owens pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon riverendi,native ,,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon rubrofluviatilis,endemic ,Red River pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon salinus,endemic ,Salt Creek pupfish ,Cottonball pupfish 
Cyprinodontiformes,Cyprinodontidae,Cyprinodon tularosa,endemic ,White Sands pupfish ,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon variegatus ovinus,native ,,
Cyprinodontiformes,Cyprinodontidae,Cyprinodon variegatus variegatus,native ,Sheepshead minnow ,Bahama sheepshead minnow 
Cypriniformes,Cyprinidae,Cyprinus carpio,introduced ,Common carp ,European carp 
Beloniformes,Exocoetidae,Cypselurus comatus,native ,Clearwing flyingfish ,Flyingfish 
Zeiformes,Parazenidae,Cyttopsis rosea,native ,Rosy dory ,
Rajiformes,Rajidae,Dactylobatus armatus,native ,Skilletskate ,
Scorpaeniformes,Dactylopteridae,Dactylopterus volitans,native ,Flying gurnard ,
Perciformes,Dactyloscopidae,Dactyloscopus crossotus,native ,Bigeye stargazer ,
Perciformes,Dactyloscopidae,Dactyloscopus foraminosus,native ,Reticulate stargazer ,
Perciformes,Dactyloscopidae,Dactyloscopus moorei,native ,Speckled stargazer ,
Perciformes,Dactyloscopidae,Dactyloscopus tridigitatus,native ,Sand stargazer ,
Batrachoidiformes,Batrachoididae,Daector reticulata,native ,Reticulated toadfish ,Toadfish 
Squaliformes,Dalatiidae,Dalatias licha,native ,Kitefin shark ,Seal shark 
Stomiiformes,Sternoptychidae,Danaphos oculatus,native ,Bottlelights ,Bigeye lightfish 
Cypriniformes,Cyprinidae,Danio rerio,introduced ,Zebra danio ,Rerio 
Myliobatiformes,Dasyatidae,Dasyatis americana,native ,Southern stingray ,
Myliobatiformes,Dasyatidae,Dasyatis brevis,native ,Whiptail stingray ,Hawaiian stingray 
Myliobatiformes,Dasyatidae,Dasyatis centroura,native ,Roughtail stingray ,
Myliobatiformes,Dasyatidae,Dasyatis dipterura,native ,Diamond stingray ,
Myliobatiformes,Dasyatidae,Dasyatis hastata,native ,,
Myliobatiformes,Dasyatidae,Dasyatis sabina,native ,Atlantic stingray ,
Myliobatiformes,Dasyatidae,Dasyatis say,native ,Bluntnose stingray ,
Scorpaeniformes,Psychrolutidae,Dasycottus setiger,native ,Spinyhead sculpin ,
Squaliformes,Centrophoridae,Deania profundorum,native ,Arrowhead dogfish ,
Perciformes,Carangidae,Decapterus macarellus,native ,Mackerel scad ,Cigarfish 
Perciformes,Carangidae,Decapterus muroadsi,native ,Amberstripe scad ,Scad 
Perciformes,Carangidae,Decapterus punctatus,native ,Round scad ,Cigar minnow 
Perciformes,Carangidae,Decapterus tabl,native ,Roughear scad ,Scad 
Perciformes,Labridae,Decodon puellaris,native ,Red hogfish ,
Cypriniformes,Catostomidae,Deltistes luxatus,endemic ,Lost River sucker ,
Perciformes,Zoarcidae,Derepodichthys alepidotus,native ,Cuskpout ,
Anguilliformes,Derichthyidae,Derichthys serpentinus,native ,Narrownecked oceanic eel ,
Perciformes,Serranidae,Dermatolepis dermatolepis,native ,Leather bass ,
Perciformes,Serranidae,Dermatolepis inermis,native ,Marbled grouper ,Mutton hamlet 
Lampriformes,Trachipteridae,Desmodema lorum,native ,Whiptail ribbonfish ,
Lampriformes,Trachipteridae,Desmodema polystictum,native ,Polka-dot ribbonfish ,Polkadot ribbonfish 
Myctophiformes,Myctophidae,Diaphus bertelseni,native ,Bertelsen's lanternfish ,
Myctophiformes,Myctophidae,Diaphus brachycephalus,native ,Short-headed lantern fish ,
Myctophiformes,Myctophidae,Diaphus dumerilii,native ,,
Myctophiformes,Myctophidae,Diaphus effulgens,native ,Headlight fish ,
Myctophiformes,Myctophidae,Diaphus mollis,native ,Soft lanternfish ,
Myctophiformes,Myctophidae,Diaphus perspicillatus,native ,Transparent lantern fish ,
Myctophiformes,Myctophidae,Diaphus rafinesquii,native ,White-spotted lantern fish ,
Myctophiformes,Myctophidae,Diaphus splendidus,native ,Horned lanternfish ,Lanternfish 
Myctophiformes,Myctophidae,Diaphus subtilis,native ,,
Myctophiformes,Myctophidae,Diaphus taaningi,native ,Slopewater lanternfish ,
Myctophiformes,Myctophidae,Diaphus termophilus,native ,Taaning's lantern fish ,
Myctophiformes,Myctophidae,Diaphus theta,native ,California headlightfish ,
Perciformes,Gerreidae,Diapterus auratus,native ,Irish mojarra ,Mojarra 
Perciformes,Gerreidae,Diapterus rhombeus,native ,Caitipa mojarra ,Caitipa mojarra 
Lophiiformes,Ogcocephalidae,Dibranchus tremendus,native ,,
Ophidiiformes,Ophidiidae,Dicrolene introniger,native ,Digitate cusk eel ,
Tetraodontiformes,Diodontidae,Diodon holocanthus,native ,Longspined porcupinefish ,
Tetraodontiformes,Diodontidae,Diodon hystrix,native ,Spot-fin porcupinefish ,Spotted porcupinefish 
Myctophiformes,Myctophidae,Diogenichthys atlanticus,native ,Longfin lanternfish ,Longfin lanternfish 
Myctophiformes,Myctophidae,Diogenichthys laternatus,native ,Diogenes lanternfish ,
Cypriniformes,Cyprinidae,Dionda argentosa,native ,Manantial roundnose minnow ,
Cypriniformes,Cyprinidae,Dionda diaboli,native ,Devils River minnow ,
Cypriniformes,Cyprinidae,Dionda episcopa,native ,Roundnose minnow ,
Cypriniformes,Cyprinidae,Dionda nigrotaeniata,native ,Guadalupe roundnose minnow ,
Cypriniformes,Cyprinidae,Dionda serena,native ,Nueces roundnose minnow ,
Perciformes,Serranidae,Diplectrum bivittatum,native ,Dwarf sand perch ,
Perciformes,Serranidae,Diplectrum formosum,native ,Sand perch ,Sandperch 
Perciformes,Sparidae,Diplodus argenteus argenteus,native ,South American silver porgy ,Porgy 
Perciformes,Sparidae,Diplodus argenteus caudimacula,native ,Silver porgy ,Sargo 
Perciformes,Sparidae,Diplodus holbrookii,native ,Spottail seabream ,Porgy 
Perciformes,Callionymidae,Diplogrammus pauciradiatus,native ,Spotted dragonet ,
Stomiiformes,Gonostomatidae,Diplophos taenia,native ,Pacific portholefish ,
Perciformes,Gempylidae,Diplospinus multistriatus,native ,Striped escolar ,Lined cutlassfish 
Rajiformes,Rajidae,Dipturus laevis,native ,Barndoor skate ,
Rajiformes,Rajidae,Dipturus olseni,native ,Spreadfin skate ,
Rajiformes,Rajidae,Dipturus teevani,native ,Prickly brown ray ,
Beryciformes,Diretmidae,Diretmoides pauciradiatus,native ,Longwing spinyfin ,Large spinyfin 
Osmeriformes,Bathylagidae,Dolicholagus longirostris,native ,Longsnout blacksmelt ,Longsnout blacksmelt 
Osmeriformes,Opisthoproctidae,Dolichopteryx longipes,native ,Brownsnout spookfish ,Brownsnout spookfish 
Osmeriformes,Opisthoproctidae,Dolichopteryx pseudolongipes,native ,,
Perciformes,Labridae,Doratonotus megalepis,native ,Dwarf wrasse ,
Perciformes,Eleotridae,Dormitator latifrons,native ,Pacific fat sleeper ,
Perciformes,Eleotridae,Dormitator maculatus,native ,Fat sleeper ,
Clupeiformes,Clupeidae,Dorosoma cepedianum,native ,American gizzard shad ,Eastern gizzard shad 
Clupeiformes,Clupeidae,Dorosoma petenense,native ,Threadfin shad ,
Anguilliformes,Synaphobranchidae,Dysomma anguillare,native ,Shortbelly eel ,
Anguilliformes,Synaphobranchidae,Dysomma brevirostre,native ,Pignosed arrowtooth eel ,
Anguilliformes,Synaphobranchidae,Dysommina rugosa,native ,,
Perciformes,Echeneidae,Echeneis naucrates,native ,Live sharksucker ,
Perciformes,Echeneidae,Echeneis neucratoides,native ,Whitefin sharksucker ,
Anguilliformes,Muraenidae,Echidna catenata,native ,Chain moray ,
Squaliformes,Echinorhinidae,Echinorhinus brucus,native ,Bramble shark ,Spiny shark 
Squaliformes,Echinorhinidae,Echinorhinus cookei,native ,Prickly shark ,
Anguilliformes,Ophichthidae,Echiophis intertinctus,native ,Spotted spoon-nose eel ,
Anguilliformes,Ophichthidae,Echiophis punctifer,native ,Stippled spoon-nose eel ,
Stomiiformes,Stomiidae,Echiostoma barbatum,native ,Threadfin dragonfish ,
Osmeriformes,Alepocephalidae,Einara edentula,native ,Toothless smooth-head ,
Perciformes,Gobiidae,Elacatinus horsti,native ,Yellowline goby ,
Perciformes,Gobiidae,Elacatinus oceanops,native ,Neon goby ,
Perciformes,Gobiidae,Elacatinus prochilos,native ,Broadstripe goby ,Broadstripe goby 
Perciformes,Gobiidae,Elacatinus xanthiprora,native ,Yellowprow goby ,
Perciformes,Carangidae,Elagatis bipinnulata,native ,Rainbow runner ,Spanish-jack 
Scorpaeniformes,Liparidae,Elassodiscus caudatus,native ,Blackbelly snailfish ,
Perciformes,Elassomatidae,Elassoma alabamae,endemic ,Spring pygmy sunfish ,
Perciformes,Elassomatidae,Elassoma boehlkei,endemic ,Carolina pygmy sunfish ,
Perciformes,Elassomatidae,Elassoma evergladei,endemic ,Everglades pygmy sunfish ,
Perciformes,Elassomatidae,Elassoma gilberti,native ,Pygmy sunfish ,
Perciformes,Elassomatidae,Elassoma okatie,endemic ,Bluebarred pygmy sunfish ,
Perciformes,Elassomatidae,Elassoma okefenokee,endemic ,Okefenokee pygmy sunfish ,
Perciformes,Elassomatidae,Elassoma zonatum,endemic ,Banded pygmy sunfish ,
Myctophiformes,Myctophidae,Electrona risso,native ,Electric lantern fish ,Chubby flashlightfish 
Perciformes,Eleotridae,Eleotris amblyopsis,native ,Large-scaled spinycheek sleeper ,
Perciformes,Eleotridae,Eleotris picta,native ,Spotted sleeper ,
Perciformes,Eleotridae,Eleotris pisonis,native ,Spinycheek sleeper ,
Perciformes,Eleotridae,Eleotris sandwicensis,native ,Sandwich Island sleeper ,
Elopiformes,Elopidae,Elops affinis,native ,Machete ,Ladyfish 
Elopiformes,Elopidae,Elops saurus,native ,Ladyfish ,John 
Elopiformes,Elopidae,Elops smithi,native ,Malacho ,Malacho 
Pleuronectiformes,Pleuronectidae,Embassichthys bathybius,native ,Deep-sea sole ,
Perciformes,Embiotocidae,Embiotoca jacksoni,native ,Black perch ,Black surfperch 
Perciformes,Embiotocidae,Embiotoca lateralis,native ,Striped seaperch ,Striped surfperch 
Perciformes,Chaenopsidae,Emblemaria atlantica,native ,Banner blenny ,
Perciformes,Chaenopsidae,Emblemaria pandionis,native ,Sailfin blenny ,
Perciformes,Chaenopsidae,Emblemaria piratula,native ,Pirate blenny ,
Perciformes,Chaenopsidae,Emblemariopsis bahamensis,native ,Blackhead blenny ,
Perciformes,Chaenopsidae,Emblemariopsis diaphana,native ,Glass blenny ,
Perciformes,Haemulidae,Emmelichthyops atlanticus,native ,Bonnetmouth ,
Cyprinodontiformes,Goodeidae,Empetrichthys latos latos,endemic ,Pahrump poolfish ,Pahrump poolfish 
Anguilliformes,Muraenidae,Enchelycore carychroa,native ,Chestnut moray ,
Anguilliformes,Muraenidae,Enchelycore nigricans,native ,Viper moray ,
Gadiformes,Lotidae,Enchelyopus cimbrius,native ,Fourbeard rockling ,Rockling 
Clupeiformes,Engraulidae,Engraulis eurystole,native ,Silver anchovy ,Anchovy 
Clupeiformes,Engraulidae,Engraulis mordax,native ,Californian anchovy ,Bay anchovy 
Pleuronectiformes,Bothidae,Engyophrys senta,native ,American spiny flounder ,
Perciformes,Centrarchidae,Enneacanthus chaetodon,endemic ,Blackbanded sunfish ,
Perciformes,Centrarchidae,Enneacanthus gloriosus,endemic ,Bluespotted sunfish ,
Perciformes,Centrarchidae,Enneacanthus obesus,endemic ,Banded sunfish ,
Perciformes,Tripterygiidae,Enneanectes altivelis,native ,Lofty triplefin ,
Perciformes,Tripterygiidae,Enneanectes boehlkei,native ,Roughhead triplefin ,
Perciformes,Tripterygiidae,Enneanectes pectoralis,native ,Redeye triplefin ,
Scorpaeniformes,Cottidae,Enophrys bison,native ,Buffalo sculpin ,
Scorpaeniformes,Cottidae,Enophrys taurina,endemic ,Bull sculpin ,
Perciformes,Blenniidae,Entomacrodus nigricans,native ,Pearl blenny ,
Petromyzontiformes,Petromyzontidae,Entosphenus folletti,native ,Northern California brook lamprey ,Modoc brook lamprey 
Petromyzontiformes,Petromyzontidae,Entosphenus lethophagus,native ,Pit-Klamath brook lamprey ,
Petromyzontiformes,Petromyzontidae,Entosphenus minimus,endemic ,Miller Lake lamprey ,
Petromyzontiformes,Petromyzontidae,Entosphenus similis,native ,Klamath river lamprey ,
Petromyzontiformes,Petromyzontidae,Entosphenus tridentatus,native ,Pacific lamprey ,Asum 
Pleuronectiformes,Pleuronectidae,Eopsetta jordani,native ,Petrale sole ,
Perciformes,Epigonidae,Epigonus macrops,native ,Luminous deepsea cardinalfish ,
Perciformes,Epigonidae,Epigonus pandionis,native ,Bigeye ,
Perciformes,Epigonidae,Epigonus telescopus,native ,Black cardinal fish ,Cardinalfish 
Perciformes,Serranidae,Epinephelus adscensionis,native ,Rock hind ,
Perciformes,Serranidae,Epinephelus analogus,native ,Spotted grouper ,Cabrilla 
Perciformes,Serranidae,Epinephelus drummondhayi,native ,Speckled hind ,Calico grouper 
Perciformes,Serranidae,Epinephelus guttatus,native ,Red hind ,Cabrilla 
Perciformes,Serranidae,Epinephelus itajara,native ,Atlantic goliath grouper ,Guasa 
Perciformes,Serranidae,Epinephelus labriformis,native ,Starry grouper ,Flag cabrilla 
Perciformes,Serranidae,Epinephelus morio,native ,Red grouper ,Cherna americana 
Perciformes,Serranidae,Epinephelus striatus,native ,Nassau grouper ,Cherna criolla 
Myxiniformes,Myxinidae,Eptatretus deani,native ,Black hagfish ,
Myxiniformes,Myxinidae,Eptatretus mcconnaugheyi,native ,Shorthead hagfish ,
Myxiniformes,Myxinidae,Eptatretus springeri,native ,Gulf hagfish ,
Myxiniformes,Myxinidae,Eptatretus stoutii,native ,Pacific hagfish ,
Perciformes,Sciaenidae,Equetus lanceolatus,native ,Jack-knifefish ,Guapena 
Perciformes,Sciaenidae,Equetus punctatus,native ,Spotted drum ,Drum 
Cypriniformes,Cyprinidae,Eremichthys acros,endemic ,Desert dace ,
Cypriniformes,Cyprinidae,Ericymba amplamala,native ,Longjaw minnow ,Longjaw minnow 
Cypriniformes,Cyprinidae,Ericymba buccata,native ,Silverjaw minnow ,
Carcharhiniformes,Proscylliidae,Eridacnis barbouri,native ,Cuban ribbontail catshark ,Pigmy dogfish 
Scorpaeniformes,Anoplopomatidae,Erilepis zonifer,native ,Skilfish ,
Cypriniformes,Cyprinidae,Erimystax cahni,native ,Slender chub ,
Cypriniformes,Cyprinidae,Erimystax dissimilis,native ,Streamline chub ,
Cypriniformes,Cyprinidae,Erimystax harryi,native ,Ozark chub ,
Cypriniformes,Cyprinidae,Erimystax insignis,native ,Blotched chub ,
Cypriniformes,Cyprinidae,Erimystax x-punctatus,native ,Gravel chub ,
Cypriniformes,Catostomidae,Erimyzon claviformis,native ,Western creek chubsucker ,Western creek chubsucker 
Cypriniformes,Catostomidae,Erimyzon oblongus,endemic ,Eastern creek chubsucker ,
Cypriniformes,Catostomidae,Erimyzon sucetta,native ,Lake chubsucker ,
Cypriniformes,Catostomidae,Erimyzon tenuis,endemic ,Sharpfin chubsucker ,
Perciformes,Stichaeidae,Ernogrammus walkeri,native ,Masked prickleback ,Masked prickleback 
Perciformes,Eleotridae,Erotelis smaragdus,native ,Emerald sleeper ,
Perciformes,Emmelichthyidae,Erythrocles monodi,native ,Atlantic rubyfish ,
Esociformes,Esocidae,Esox americanus americanus,native ,Redfin pickerel ,Grass 
Esociformes,Esocidae,Esox americanus vermiculatus,native ,Grass pickerel ,Pickerel 
Esociformes,Esocidae,Esox lucius,native ,Northern pike ,American pike 
Esociformes,Esocidae,Esox masquinongy,native ,Muskellunge ,Allegheny River pike 
Esociformes,Esocidae,Esox niger,native ,Chain pickerel ,Pickerel 
Perciformes,Stichaeidae,Esselenichthys carli,native ,Threeline prickleback ,Threeline prickleback 
Perciformes,Stichaeidae,Esselenichthys laurae,native ,Twoline prickleback ,Twoline prickleback 
Perciformes,Lutjanidae,Etelis oculatus,native ,Queen snapper ,
Anguilliformes,Ophichthidae,Ethadophis akkistikos,native ,Indifferent eel ,
Perciformes,Percidae,Etheostoma acuticeps,endemic ,Sharphead darter ,
Perciformes,Percidae,Etheostoma akatulo,native ,Bluemask darter ,Bluemask darter 
Perciformes,Percidae,Etheostoma artesiae,native ,Redspot darter ,Redspot darter 
Perciformes,Percidae,Etheostoma asprigene,endemic ,Mud darter ,
Perciformes,Percidae,Etheostoma atripinne,endemic ,Cumberland snubnose darter ,Cumberland snubnose darter 
Perciformes,Percidae,Etheostoma autumnale,native ,,
Perciformes,Percidae,Etheostoma baileyi,endemic ,Emerald darter ,
Perciformes,Percidae,Etheostoma barbouri,endemic ,Teardrop darter ,
Perciformes,Percidae,Etheostoma barrenense,endemic ,Splendid darter ,
Perciformes,Percidae,Etheostoma basilare,native ,Corrugated darter ,Corrugated darter 
Perciformes,Percidae,Etheostoma bellator,native ,Warrior darter ,
Perciformes,Percidae,Etheostoma bellum,endemic ,Orangefin darter ,
Perciformes,Percidae,Etheostoma bison,native ,Buffalo darter ,Buffalo darter 
Perciformes,Percidae,Etheostoma blennioides,native ,Greenside darter ,
Perciformes,Percidae,Etheostoma blennius,endemic ,Blenny darter ,
Perciformes,Percidae,Etheostoma boschungi,endemic ,Slackwater darter ,
Perciformes,Percidae,Etheostoma brevirostrum,native ,Holiday darter ,Holiday darter 
Perciformes,Percidae,Etheostoma brevispinum,native ,Carolina fantail darter ,Carolina fantail darter 
Perciformes,Percidae,Etheostoma burri,endemic ,Brook Darter ,Brook Darter 
Perciformes,Percidae,Etheostoma caeruleum,native ,Rainbow darter ,
Perciformes,Percidae,Etheostoma camurum,endemic ,Bluebreast darter ,
Perciformes,Percidae,Etheostoma cervus,native ,Chickasaw darter ,
Perciformes,Percidae,Etheostoma chermocki,native ,Vermilion darter ,
Perciformes,Percidae,Etheostoma chienense,native ,Relict darter ,Relict darter 
Perciformes,Percidae,Etheostoma chlorobranchium,endemic ,Greenfin darter ,
Perciformes,Percidae,Etheostoma chlorosomum,endemic ,Bluntnose darter ,
Perciformes,Percidae,Etheostoma chuckwachatte,native ,Lipstick darter ,
Perciformes,Percidae,Etheostoma cinereum,endemic ,Ashy darter ,
Perciformes,Percidae,Etheostoma clinton,native ,Beaded darter ,Beaded darter 
Perciformes,Percidae,Etheostoma collettei,endemic ,Creole darter ,
Perciformes,Percidae,Etheostoma collis,endemic ,Carolina darter ,
Perciformes,Percidae,Etheostoma colorosum,native ,Coastal darter ,
Perciformes,Percidae,Etheostoma coosae,endemic ,Coosa darter ,
Perciformes,Percidae,Etheostoma corona,native ,Crown darter ,Crown darter 
Perciformes,Percidae,Etheostoma cragini,endemic ,Arkansas darter ,
Perciformes,Percidae,Etheostoma crossopterum,endemic ,Fringed darter ,
Perciformes,Percidae,Etheostoma davisoni,endemic ,Choctawhatchee darter ,
Perciformes,Percidae,Etheostoma denoncourti,native ,Golden darter ,
Perciformes,Percidae,Etheostoma derivativum,native ,Stone darter ,
Perciformes,Percidae,Etheostoma ditrema,endemic ,Coldwater darter ,
Perciformes,Percidae,Etheostoma douglasi,native ,Tuskaloossa darter ,
Perciformes,Percidae,Etheostoma duryi,endemic ,Black darter ,
Perciformes,Percidae,Etheostoma edwini,endemic ,Brown darter ,
Perciformes,Percidae,Etheostoma erythrozonum,native ,Meramec Saddled Darter ,Meramec Saddled Darter 
Perciformes,Percidae,Etheostoma etnieri,endemic ,Cherry darter ,
Perciformes,Percidae,Etheostoma etowahae,native ,Etowah darter ,Etowah darter 
Perciformes,Percidae,Etheostoma euzonum,endemic ,Arkansas saddled darter ,
Perciformes,Percidae,Etheostoma exile,native ,Iowa darter ,
Perciformes,Percidae,Etheostoma flabellare,native ,Fantail darter ,
Perciformes,Percidae,Etheostoma flavum,endemic ,Saffron darter ,
Perciformes,Percidae,Etheostoma fonticola,endemic ,Fountain darter ,
Perciformes,Percidae,Etheostoma forbesi,endemic ,Barrens darter ,Barrens darter 
Perciformes,Percidae,Etheostoma fragi,native ,Strawberry darter ,
Perciformes,Percidae,Etheostoma fricksium,endemic ,Savannah darter ,
Perciformes,Percidae,Etheostoma fusiforme,endemic ,Swamp darter ,
Perciformes,Percidae,Etheostoma gore,native ,Cumberland darter ,Cumberland darter 
Perciformes,Percidae,Etheostoma gracile,endemic ,Slough darter ,
Perciformes,Percidae,Etheostoma grahami,native ,Rio Grande darter ,
Perciformes,Percidae,Etheostoma gutselli,native ,Tuckasegee darter ,
Perciformes,Percidae,Etheostoma histrio,endemic ,Harlequin darter ,
Perciformes,Percidae,Etheostoma hopkinsi,endemic ,Christmas darter ,
Perciformes,Percidae,Etheostoma inscriptum,endemic ,Turquoise darter ,
Perciformes,Percidae,Etheostoma jessiae,endemic ,Blueside darter ,
Perciformes,Percidae,Etheostoma jimmycarter,endemic ,Bluegrass darter ,Bluegrass darter 
Perciformes,Percidae,Etheostoma jordani,endemic ,Greenbreast darter ,
Perciformes,Percidae,Etheostoma juliae,endemic ,Yoke darter ,
Perciformes,Percidae,Etheostoma kanawhae,endemic ,Kanawha darter ,
Perciformes,Percidae,Etheostoma kantuckeense,endemic ,Highland Rim Darter ,Highland Rim Darter 
Perciformes,Percidae,Etheostoma kennicotti,endemic ,Stripetail darter ,
Perciformes,Percidae,Etheostoma lachneri,native ,Tombigbee darter ,
Perciformes,Percidae,Etheostoma lawrencei,native ,Headwater darter ,
Perciformes,Percidae,Etheostoma lemniscatum,native ,Tuxedo Darter ,
Perciformes,Percidae,Etheostoma lepidum,endemic ,Greenthroat darter ,
Perciformes,Percidae,Etheostoma longimanum,endemic ,Longfin darter ,
Perciformes,Percidae,Etheostoma luteovinctum,endemic ,Redband darter ,
Perciformes,Percidae,Etheostoma lynceum,endemic ,Brighteye darter ,
Perciformes,Percidae,Etheostoma maculatum,endemic ,Spotted darter ,
Perciformes,Percidae,Etheostoma mariae,endemic ,Pinewoods darter ,
Perciformes,Percidae,Etheostoma marmorpinnum,native ,Marbled Darter ,
Perciformes,Percidae,Etheostoma maydeni,native ,Redlips Darter ,Redlips Darter 
Perciformes,Percidae,Etheostoma microperca,native ,Least darter ,
Perciformes,Percidae,Etheostoma mihileze,native ,,
Perciformes,Percidae,Etheostoma moorei,endemic ,Yellowcheek darter ,
Perciformes,Percidae,Etheostoma neopterum,endemic ,Lollipop darter ,Lollypop darter 
Perciformes,Percidae,Etheostoma nianguae,endemic ,Niangua darter ,
Perciformes,Percidae,Etheostoma nigripinne,endemic ,Blackfin darter ,
Perciformes,Percidae,Etheostoma nigrum,native ,Johnny darter ,
Perciformes,Percidae,Etheostoma nuchale,endemic ,Watercress darter ,
Perciformes,Percidae,Etheostoma obama,endemic ,Spangled darter ,Spangled darter 
Perciformes,Percidae,Etheostoma obeyense,endemic ,Barcheek darter ,
Perciformes,Percidae,Etheostoma occidentale,native ,,
Perciformes,Percidae,Etheostoma okaloosae,endemic ,Okaloosa darter ,
Perciformes,Percidae,Etheostoma olivaceum,endemic ,Sooty darter ,Dirty darter 
Perciformes,Percidae,Etheostoma olmstedi,native ,Tessellated darter ,
Perciformes,Percidae,Etheostoma oophylax,native ,Guardian darter ,Guardian darter 
Perciformes,Percidae,Etheostoma orientale,native ,,
Perciformes,Percidae,Etheostoma osburni,endemic ,Candy darter ,
Perciformes,Percidae,Etheostoma pallididorsum,endemic ,Paleback darter ,
Perciformes,Percidae,Etheostoma parvipinne,endemic ,Goldstripe darter ,
Perciformes,Percidae,Etheostoma percnurum,native ,Duskytail darter ,
Perciformes,Percidae,Etheostoma perlongum,endemic ,Waccamaw darter ,
Perciformes,Percidae,Etheostoma phytophilum,native ,Rush darter ,
Perciformes,Percidae,Etheostoma planasaxatile,native ,,
Perciformes,Percidae,Etheostoma podostemone,endemic ,Riverweed darter ,
Perciformes,Percidae,Etheostoma proeliare,endemic ,Cypress darter ,
Perciformes,Percidae,Etheostoma pseudovulatum,native ,Egg-mimic darter ,Egg-mimic darter 
Perciformes,Percidae,Etheostoma punctulatum,endemic ,Stippled darter ,
Perciformes,Percidae,Etheostoma pyrrhogaster,endemic ,Firebelly darter ,
Perciformes,Percidae,Etheostoma radiosum,endemic ,Orangebelly darter ,
Perciformes,Percidae,Etheostoma rafinesquei,endemic ,Kentucky darter ,Kentucky snubnose darter 
Perciformes,Percidae,Etheostoma ramseyi,native ,Alabama darter ,
Perciformes,Percidae,Etheostoma raneyi,native ,Yazoo darter ,
Perciformes,Percidae,Etheostoma rubrum,endemic ,Bayou darter ,
Perciformes,Percidae,Etheostoma rufilineatum,endemic ,Redline darter ,
