species,Genus,Species,SpeciesRefNo,Author,AuthorRef,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,Source,Remark,TaxIssue,Fresh,Brack,Saltwater,Land,DemersPelag,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,Remarks7,PriceCateg,PriceReliability,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,ASFA,GoogleImage,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,Synopsis,DateSynopsis,Flag,Comments,VancouverAquarium,Profile,Sp2000_NameCode,Sp2000_HierarchyCode,Sp2000_AuthorRefNumber,E_Append,E_DateAppend,TS,SpecCode
Mytilus galloprovincialis,Mytilus,galloprovincialis,2754,"Lamarck, 1819",NA,Mediterranean mussel,Mygal_u0.jpg,NA,NA,NA,1813,NA,O,1822 in Ref. 2797.,0,0,0,1,0,sessile,NA,310,125,200,2754,NA,NA,NA,NA,NA,NA,NA,10,15,SHL,NA,NA,95344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,medium,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2005-12-11T00:00:00.000Z,286,2015-04-29T00:00:00.000Z,NA,NA,NA,NA,NA,Habitat:  Found in warmer waters (Ref. 95344).  Occurs in quiet waters and lives lower in the intertidal zone attached to rock substrates (Ref. 310).  Behavior:  smaller individuals moving to the outer edge of the colony (Ref. 310).,0,NA,ITS-79456,Animalia-Mollusca-Bivalvia-Mytiloida,NA,NA,NA,2015-05-11T10:20:34.000Z,47624
Nephrops norvegicus,Nephrops,norvegicus,4,"(Linnaeus, 1758)",NA,Norway lobster,Nenor_u0.jpg,NA,NA,NA,10,NA,O,NA,0,0,0,1,0,benthic,NA,4,20,800,441,200,600,88009,NA,NA,NA,NA,14,24,TL,NA,NA,441,19,BL,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,4,commercial,Fished throughout its range.,very high,Reliable: based on ex-vessel price for this species,"from 50,000 to 100,000",NA,trawls,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,4,2011-10-27T00:00:00.000Z,NA,NA,NA,NA,NA,"Total body length:  8 to 24 cm, usually between 10 to 20 cm (Ref. 4). Epibenthic (Ref. 87524).  Inhabits muddy bottoms in which it digs burrows.  Nocturnal and feeds on detritus, crustaceans and worms.  Ovigerous females are found practically throughout the year, the eggs laid around July are carried for about 9 months. Ovigerous females are found practically throughout the year, the eggs laid around July are carried for about 9 months (Ref. 4).  1 brood per year (Ref. 81133); 1.6 cm postlarval size (Ref. 81161); 1 month of pelagic period (Ref. 81160). Norway lobster females undergo ovary ripening mainly in spring, spawn in summer and autumn, and recovery in winter (Ref. 94749).",0,NA,ITS-97317,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:36.000Z,26023
Octopus vulgaris,Octopus,vulgaris,275,"Cuvier, 1797",NA,common octopus,Ocvul_u0.jpg,NA,NA,NA,1890,Octopodinae,O,NA,0,0,0,1,0,reef-associated,oceanodromous,75927,0,200,417,0,100,1977,NA,NA,NA,NA,78,130,TL,120,TL,275,NA,NA,NA,NA,NA,10000,NA,275,NA,NA,NA,NA,417,commercial,(Ref. 275).,very high,Reliable: based on ex-vessel price for this species,NA,NA,NA,unspecified bottom trawls (TB),0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,228,2011-08-18T00:00:00.000Z,173,2011-08-18T00:00:00.000Z,NA,NA,NA,"Mantle length at first sexual maturity:  9.5 cm (male); 13.5 cm (female; Ref. 275).  Maximum common depth is 150 m in Ref. 75927. Inhabits rocky, sandy and muddy bottoms of the coastline to the edge of the continental shelf (Ref. 2133).  Found in intertidal and subtidal areas (Ref. 83938).",0,NA,ITS-82603,Animalia-Mollusca-Cephalopoda-Octopoda,NA,NA,NA,2015-05-11T10:20:38.000Z,58190
Orconectes limosus,Orconectes,limosus,3700,"(Rafinesque, 1817)",NA,spinycheek crayfish,NA,NA,NA,NA,405,NA,O,NA,0,0,0,1,0,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,11,2005-12-11T00:00:00.000Z,11,2008-05-28T00:00:00.000Z,NA,NA,NA,NA,NA,NA,0,NA,ITS-97423,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:39.000Z,26320
Ostrea edulis,Ostrea,edulis,2754,"Linnaeus, 1758",NA,edible oyster,Osedu_u0.jpg,NA,NA,NA,1824,NA,O,Turgeon et al. (1998: 320) note that this species is introduced in the West Atlantic (Ref. 83435).,0,0,1,1,0,sessile,NA,NA,125,200,2754,NA,NA,NA,NA,NA,NA,NA,NA,12,SHH,NA,NA,88171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2005-12-11T00:00:00.000Z,286,2014-05-05T00:00:00.000Z,36,2011-08-12T00:00:00.000Z,NA,NA,NA,"Typically found in rich estuaries and shallow-waters along the tidal zone, attached to stones, compacted mud or silt, muddy sand or gravel substrate, or on bivalve shell fragments. May also be found on wave-exposed areas; and up to depths of 80 m.  Prefer salinities between18 to 40; and water temperature of 17°C.  Suspension feeders; filters phytoplankton from the ambient waters. Sexual maturity at 3 years. Alternating hermaphrodites; initially producing and releasing sperm as males and then becoming female and producing eggs kept in the mantle cavity where they are fertilized.  Highly fecund with 500,000 to more than a million eggs produced by a single individual per year. Incubation in the mantle cavity lasts from 7 to 10 days, followed by a 10 to 30-day  planktonic larval veliger stage, until it permanently cements itself with a byssal substance unto the substrate, often in aggregating colonies. Dispersal distances, as influenced by the currents, estimated to be more than 10 km.  Life span estimated at 20 to 30 years. A human food source since the Stone Age.  German North Sea populations decline began in the late 18th century and attributed to the use of steam ships in oyster fishery; and since the 1950s to 2012, is considered extinct in German waters.  Identified hindrance to recolonization include anthropogenic influences such as overfishing and unregulated fishing; presence of invasive species and eutrophication linked to aquaculture; habitat-altering and destructive marine construction activities; poisoning from oil spills and from the liquid biocide, tributyltin hydride, in anti-fouling marine paint used in commercial shipping; as well as temperature and osmotic stress due to climate change (Ref. 88171).",0,NA,ITS-79885,Animalia-Mollusca-Bivalvia-Ostreoida,NA,3,2011-08-12,2015-05-11T10:20:40.000Z,48103
Palaemon serratus,Palaemon,serratus,434,"(Pennant, 1777)",NA,NA,Paser_u0.jpg,NA,NA,NA,459,NA,O,NA,0,0,1,1,0,benthic,NA,NA,0,40,434,NA,NA,NA,NA,NA,NA,NA,10,11,TL,NA,NA,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,traps,unspecified bottom trawls (TB),0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,247,2014-06-24T00:00:00.000Z,NA,NA,NA,NA,NA,"Inhabits rocky and muddy bottoms in shallow waters to depths of about 40 m.  Omnivorous, feeding on seaweeds and small crustaceans (Ref. 434).",0,NA,ITS-96451,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:40.000Z,24520
Palinurus elephas,Palinurus,elephas,4,"(Fabricius, 1787)",NA,Common spiny lobster,Paele_u6.jpg,NA,NA,NA,13,NA,O,NA,0,0,0,1,0,benthic,NA,4,5,200,85369,10,70,4,15,85318,NA,NA,40,50,TL,NA,NA,441,40,BASL,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,4,commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,various gears,pots (FPO),0,0,0,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,4,2010-10-21T00:00:00.000Z,NA,NA,NA,NA,NA,"Traditionally caught by traps, pots and sometimes by hand (e.g., diving and spearing; Refs. 441, 85369), but these gears were eventually replaced with trammel nets (Ref. 85369).  Minimum depth from Ref. 4. Occurs at depths between shore to 200 m, on rocky bottoms and coralligenous substrates where there are lots of protective holes and micro-caves.  Adults may be solitary, in pairs or in small groups.  Highly omnivorous and preys on hard-shelled bottom dwelling organisms, i.e., mollusks, echinoderms and crustaceans.  They are generalists and opportunistic feeders depending on the abundance of benthic organisms (Ref. 85369).  Ovigerous females are observed from September to October and February to March (Ref. 4). Breeds once a year between June and October.  Larger females mate and lay eggs earlier during breeding season while smaller females spawn towards the end (Ref. 85364).",0,NA,ITS-97657,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:40.000Z,26132
Pandalus borealis,Pandalus,borealis,2952,"Krøyer, 1838",NA,northern shrimp,Pabor_u0.jpg,NA,NA,NA,461,NA,O,NA,0,0,0,1,0,demersal,NA,NA,9,1450,85480,50,500,85480,NA,NA,NA,NA,NA,12,TL,16.5,TL,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,5,2005-12-11T00:00:00.000Z,4,2015-04-30T00:00:00.000Z,NA,NA,NA,NA,NA,"Considered as a free-living (Ref. 3123) stenohaline species living on soft substrates with high organic content.  It is an opportunistic omnivore functioning as a predator and a scavenger (Ref. 85480). Post-larvae mature first as males for 2 years, sex transition begins afterwards.  Spawning begins on the third winter, hatching occurs during spring (Ref. 82652).",0,NA,ITS-96967,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:40.000Z,25892
Pandalus jordani,Pandalus,jordani,82649,"Rathbun, 1902",82650,ocean shrimp,NA,NA,NA,NA,461,NA,O,NA,0,0,0,1,0,benthic,NA,NA,36,457,82649,110,183,82651,4,NA,NA,NA,NA,3,CL,NA,NA,82649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82649,commercial,NA,very high,Questionable: based on ex-vessel price for species in this genus,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,12,2005-12-11T00:00:00.000Z,4,2013-04-10T00:00:00.000Z,NA,NA,NA,NA,NA,"The Oregon pink shrimp fishery of this species has been certified by the Marine Stewardship Council (<a>http://www.msc.org/</a>) as well-managed and sustainable (<a>http://www.msc.org/html/content_1433.htm</a>). Found on green mud or mixed mud and sand bottoms.  Can tolerate bottom water salinities ranging from 28.69-34.64 parts per thousand.  Males are found in shallower areas (commonly 75-128 m) than females during first 6 months of the year and there is mixing during the remaining half of the year (Ref. 82469). Species is protandric hermaphrodites.  Only one brood is produced every year (Ref. 82649).  It matures first as a male at approximately 18 months and sex change occurs the following year where they spend the rest of their lives as females.  Spawning began early in November.  Ovigerous females lasted from late November to early April, eggs hatched in late March and early April (Ref. 85262). Spawning is estimated to start by end of October and ends during first part of June (Ref. 82649).",0,NA,ITS-96970,Animalia-Arthropoda-Malacostraca-Decapoda,NA,45,2008-06-17,2015-05-11T10:20:41.000Z,25894
Panopea abrupta,Panopea,abrupta,19,"(Conrad, 1849)",NA,Pacific geoduck clam,NA,NA,NA,NA,1808,NA,O,NA,0,0,0,1,0,benthic,NA,NA,0,110,78828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,SHL,NA,NA,78831,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2005-12-11T00:00:00.000Z,3,2014-04-03T00:00:00.000Z,NA,NA,NA,NA,NA,"Buries in a variety of substrates, mud, sand and gravel, along the intertidal zone  (Ref. 95344). Simple annual reproductive cycle:  gametogenesis begins in September, spawning begins from March to July (Ref. 78828). Sexually mature at 3 years of age, males generally mature earlier and smaller compared to females (Ref. 78828).",0,NA,ITS-81779,Animalia-Mollusca-Bivalvia-Myoida,NA,NA,NA,2015-05-11T10:20:41.000Z,49109
Paralithodes camtschaticus,Paralithodes,camtschaticus,78813,"(Tilesius, 1815)",NA,red king crab,NA,NA,NA,NA,448,Lithodinae,O,NA,0,0,0,1,0,demersal,NA,NA,0,180,865,NA,NA,NA,NA,NA,NA,NA,12,22,CL,NA,NA,78813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,high,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2005-12-11T00:00:00.000Z,5,2014-03-25T00:00:00.000Z,NA,NA,NA,NA,NA,"Has two migrations, mating-molting and feeding migration (Ref. 78813).  This is the most valuable commercial crab on the Pacific coast of North America (Ref. 865).",0,NA,ITS-97935,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:41.000Z,26511
Paralithodes platypus,Paralithodes,platypus,19,"Brandt, 1850",NA,blue king crab,NA,NA,NA,NA,448,Lithodinae,O,NA,0,0,0,1,0,demersal,NA,NA,50,130,78827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,high,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2005-12-11T00:00:00.000Z,3,2011-07-26T00:00:00.000Z,NA,NA,NA,NA,NA,NA,0,NA,ITS-97936,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:41.000Z,26512
Parapenaeopsis atlantica,Parapenaeopsis,atlantica,8,"Balss, 1914",78895,Guinea shrimp,NA,NA,NA,NA,9,NA,O,NA,0,0,0,1,0,demersal,NA,NA,1,60,8,10,40,8,NA,NA,NA,NA,10,12,TL,17,TL,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,commercial,NA,very high,Questionable: based on ex-vessel price for species in this genus,NA,NA,trawls,unspecified bottom trawls (TB),0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,4,2008-10-02T00:00:00.000Z,NA,NA,NA,NA,NA,Common total length:  6.0 to 9.0 cm (male); 9.0 to 14.0 cm (female) (Ref. 8). Found on bottom mud or sandy mud marine and estuarine environment with temperature not less than 16°C (Ref. 8).,0,NA,ITS-95859,Animalia-Arthropoda-Malacostraca-Decapoda,NA,31,2008-10-02,2015-05-11T10:20:42.000Z,25248
Parapenaeopsis stylifera,Parapenaeopsis,stylifera,8,"(Milne-Edwards, 1837)",78841,kiddi shrimp,Pasty_u0.gif,NA,NA,NA,9,NA,O,Pérez Farfante recognizes 2 subspecies (Ref. 75620).,0,0,0,1,0,demersal,NA,NA,20,90,8,NA,NA,NA,NA,NA,NA,NA,10,14.5,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very high,Questionable: based on ex-vessel price for species in this genus,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,4,2008-09-30T00:00:00.000Z,NA,NA,NA,NA,NA,NA,0,NA,ITS-95875,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:42.000Z,25410
Parapenaeus longirostris,Parapenaeus,longirostris,8,"(Lucas, 1846)",78902,deep-water rose shrimp,Palon_u1.jpg,NA,NA,NA,9,NA,O,NA,0,0,0,1,0,demersal,NA,NA,20,700,8,150,400,8,NA,NA,NA,NA,10,16,TL,18.6,NA,8,14,TL,16,TL,8,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,NA,unspecified bottom trawls (TB),0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,4,2008-09-30T00:00:00.000Z,NA,NA,NA,NA,NA,"Prefers mud or muddy sand substrates (Ref. 8).  Feeds on benthic organisms (clams, mysids and small crangonids; Ref. 434). Also occurs in pelagic depths between 100 to 200 m (Ref. 92299).",0,NA,ITS-95733,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:42.000Z,25376
Penaeus monodon,Penaeus,monodon,8,"Fabricius, 1798",78893,giant tiger prawn,Pemon_u0.jpg,NA,NA,NA,9,NA,O,NA,0,0,0,1,0,benthic,NA,NA,0,150,10,NA,60,10,NA,NA,NA,NA,17.02,33.5999984741211,TL,NA,NA,8,NA,NA,NA,NA,NA,130,NA,8,NA,NA,NA,NA,10,commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,293,2014-12-02T00:00:00.000Z,NA,NA,NA,NA,NA,"Caught by pond fishing and inshore fishing.  Considered a delicacy in the Philippines that in 1980, retail price was Php60 to 80 (US$8.6 to 11.5)/kg in Manila and Php50 to 70 in local areas (Ref. 10). Juveniles are found in estuarine environments (Ref. 8).  Enters shallow brackish water or kept in ponds (Ref. 374). Members of the order Decapoda are mostly gonochoric, sperm transfer is indirect usually through copulation.  Precopulatory courtship ritual is common.  Fertilization is usually external but may be internal (Ref. 833).",0,NA,ITS-95638,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:43.000Z,25353
Penaeus semisulcatus,Penaeus,semisulcatus,8,"de Haan, 1844",78867,green tiger prawn,Pesem_u0.jpg,NA,NA,NA,9,NA,O,NA,0,0,0,1,0,benthic,NA,NA,2,130,8,NA,60,10,NA,NA,NA,NA,15.2,18,TL,22.7999992370605,TL,8,25,TL,NA,NA,374,130,NA,374,NA,NA,NA,NA,8,commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,293,2014-12-03T00:00:00.000Z,NA,NA,NA,NA,NA,"Occurs on mud, sandy-mud or sandy-grit substrates (Ref. 10).  Prefers marine (adults) and estuarine (juveniles) environments in subtropical and tropical climates (Ref. 8).  Forms small shoals.  Predominantly nocturnal and buries in substrate during day time (Ref. 10).  Postlarvae settle exclusively in seagrass beds (Ref. 084594). Members of the order Decapoda are mostly gonochoric, sperm transfer is indirect usually through copulation.  Precopulatory courtship ritual is common.  Fertilization is usually external but may be internal (Ref. 833).",0,NA,ITS-95644,Animalia-Arthropoda-Malacostraca-Decapoda,NA,31,2008-10-02,2015-05-11T10:20:43.000Z,25354
Perna viridis,Perna,viridis,348,"(Linnaeus, 1758)",NA,Asian brown mussel,Pevir_u0.jpg,NA,NA,NA,1813,NA,NA,NA,0,0,1,1,0,benthic,NA,356,0,100,356,0,20,NA,NA,NA,NA,NA,10.53,16.5,SL,NA,NA,348,8,SL,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,348,highly commercial,Intense exploitation from natural beds.,medium,Reliable: based on ex-vessel price for this species,"from 50,000 to 100,000",1990 to 1995 in Western Central Pacific.,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,2006-02-15T00:00:00.000Z,8,2012-01-30T00:00:00.000Z,NA,NA,NA,NA,NA,"The figures from FAO comprise the production of <i>Mytilus viridis</i> from Malaysia and Singapore and also production reported under the name <i>Mytilus smaragdinus</i> from the Philippines and Thailand; they all refer to the same species (Ref. 348). Commonly found bysally attached to various hard objects or substrates in protected bays and estuaries (Ref. 80041).  Littoral and sublittoral to a depth of 20 m (Ref. 348). External sexual fertilization.  Spawning peaks coincide with monsoon seasons except in the Philippines and Thailand where spawning is year-round (Ref. 80527).  Both sexes release gametes in the water column, where developed larvae remain for two weeks before settling in benthic habitat as juveniles.  Sexual maturity occurs at 15-30 mm shell length, roughly 2-3 months age.",0,NA,NA,NA,NA,6,2006-02-15,2015-05-11T10:20:44.000Z,83835
Pinctada radiata,Pinctada,radiata,348,"(Leach, 1814)",NA,rayed pearl oyster,Pirad_u2.jpg,NA,NA,NA,1841,NA,NA,"There has been much confusion about the taxonomy of this important economic species, and there is still no general agreement among authors about the correct scientific name.  In areas where it is intensively fished or cultivated, it has been generally known as Pinctada fucata (India), P. vulgaris (Sri Lanka) and P. fucata martensii (Japan).  It appears, however, that P. radiata must be used as the oldest available name.",0,0,0,1,0,benthic,NA,NA,0,150,348,5,25,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,348,NA,NA,NA,NA,NA,NA,NA,348,commercial,NA,unknown,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,5,2006-03-01T00:00:00.000Z,8,2015-04-07T00:00:00.000Z,NA,NA,NA,NA,NA,"Collected in many areas of the Indo-West Pacific for its edible muscle, nacreous shell and ability to develop pearls (348). Bysally attached to rocks, dead corals and various submerged objects, often forming large natural banks.  On soft bottoms, they aggregate to one another.  Littoral, sublittoral and shelf zone, from low tide levels to a depth of about 150 m.  Most common on sublittoral bottoms, from depths of 5 to 25 m (Ref. 348). Most members of the class Bivalvia are gonochoric; paired gonads.  Copulation is not part of their reproductive activity (Ref. 833).",0,NA,NA,NA,NA,NA,NA,2015-05-11T10:20:46.000Z,84430
Portunus pelagicus,Portunus,pelagicus,343,"(Linnaeus, 1758)",NA,flower crab,Popel_u6.jpg,NA,NA,NA,473,NA,O,NA,0,0,0,1,0,reef-associated,NA,NA,0,37,96667,NA,NA,NA,NA,NA,NA,NA,10,20,CW,NA,NA,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,highly commercial,NA,very high,Reliable: based on ex-vessel price for this species,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,5,2014-11-28T00:00:00.000Z,NA,NA,NA,NA,NA,"Matures at about 1 year.  Collected mainly by artisanal traps, trawls, beach seines, cylindrical wire traps, folding traps, pots, hop nets, drop nets, and sunken crab gill nets.  In shallow waters, it is caught using beach seines, rakes, and dab nets.  Sold in local markets (fresh or frozen) and for the crab-flesh canning industry.  Most widely sold in markets of Southeast Asia, including the Philippines (Ref. 343). Inhabits sandy to sandy-muddy substrates in areas near reefs, mangroves, and sea grass and algal beds.  Juveniles tend to occur in shallow intertidal areas (Ref. 343). Sexually dimorphic (Ref. 99882).  Members of the order Decapoda are mostly gonochoric, sperm transfer is indirect usually through copulation.  Precopulatory courtship ritual is common.  Fertilization is usually external but may be internal. Berried females found throughout the year; abundant from September to March with peaks in September to December and January (Ref. 99882).",0,NA,ITS-199965,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:49.000Z,9329
Procambarus acutus,Procambarus,acutus,19,"(Girard, 1852)",NA,white river crawfish,NA,NA,NA,NA,405,NA,O,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,unknown,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,NA,NA,NA,NA,0,NA,ITS-97492,Animalia-Arthropoda-Malacostraca-Decapoda,NA,NA,NA,2015-05-11T10:20:49.000Z,26386
Todarodes sagittatus,Todarodes,sagittatus,417,"(Lamarck, 1798)",NA,European flying squid,Tosag_u0.jpg,NA,NA,NA,1920,Todarodinae,O,NA,0,0,0,1,0,pelagic,NA,NA,20,1947,81305,NA,NA,NA,NA,NA,NA,NA,50,75,ML,NA,NA,3722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,commercial,NA,high,Reliable: based on ex-vessel price for this species,NA,NA,NA,unspecified bottom trawls (TB),0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,4,2005-12-11T00:00:00.000Z,11,2009-07-03T00:00:00.000Z,NA,NA,NA,NA,NA,"Common mantle length ranges between 25 and 35 cm (Ref. 3722).  In the Mediterranean Sea no individual was caught in the hauls taken above a depth of 100 m (Ref. 81305).  However, studies carried out in Norwegian waters indicated that it occurs in coastal and bank areas 80-200 m and even more superficially at 20-100 m (Ref.81307).  It was also observed from the North Atlantic Ridge at a depth of 1947 m (Ref. 81308) Occurs from the surface to a depth of 1000 m (Ref. 417).",0,NA,ITS-205726,Animalia-Mollusca-Cephalopoda-Teuthida,NA,NA,NA,2015-05-11T10:21:03.000Z,57559
