EEZ_Name,Taxonkey,Taxon_name,Common_name
Dominican Republic,690009,Crassostrea virginica,American cupped oyster
Denmark (North Sea),690053,Mytilus edulis,Blue mussel
Denmark (Baltic Sea),690053,Mytilus edulis,Blue mussel
Cuba,690232,Crassostrea rhizophorae,Mangrove cupped oyster
Croatia,690123,Ostrea edulis,European flat oyster
Croatia,690241,Mytilus galloprovincialis,Mediterranean mussel
Costa Rica (Pacific),690283,Crassostrea gigas,Pacific cupped oyster
Cook Islands,690048,Pinctada margaritifera,Black-lip pearl oyster
Colombia (Caribbean),690232,Crassostrea rhizophorae,Mangrove cupped oyster
Colombia (Caribbean),690374,Perna perna,South American rock mussel
China,83777,Meretrix meretri,
China,83805,Patinopecten yessoensis,
China,84403,Crassostrea plicatula,
China,690030,Argopecten irradians,Atlantic bay scallop
China,690050,Anadara granosa,Blood cockle
China,690053,Mytilus edulis,Blue mussel
China,690060,Perna viridis,Brown mussel
China,690129,Chlamys farreri,Farrers scallop
China,690143,Portunus trituberculatus,Gazami crab
China,690169,Scapharca subcrenata,Half-crenated ark
China,690177,Saccostrea cuccullata,Hooded oyster
China,690195,Haliotis discus,Japanese abalone
China,690196,Ruditapes philippinarum,Japanese carpet shell
China,690199,Meretrix lusoria,Japanese hard clam
China,690218,Mytilus coruscus,Korean mussel
China,690241,Mytilus galloprovincialis,Mediterranean mussel
China,690262,Chlamys nobilis,Noble scallop
China,690283,Crassostrea gigas,Pacific cupped oyster
China,690363,Pinctada maxima,Silver-lip pearl oyster
China,690366,Haliotis diversicolor,Small abalone
China,690407,Crassostrea rivularis,Suminoe oyster
China,690445,Pecten yessoensis,Yesso scallop
China,690649,Anadara ovalis,Blood arc clam
China,690698,Sinonovacula constricta,Constricted tagelus
Chile,690075,Ostrea chilensis,Chilean flat oyster
Chile,690076,Mytilus chilensis,Chilean mussel
Chile,690081,Aulacomya ater,Cholga mussel
Chile,690082,Choromytilus chorus,Choro mussel
Chile,690195,Haliotis discus,Japanese abalone
Chile,690283,Crassostrea gigas,Pacific cupped oyster
Chile,690303,Argopecten purpuratus,Peruvian calico scallop
Chile,690317,Haliotis rufescens,Red abalone
Channel Isl. (UK),690053,Mytilus edulis,Blue mussel
Channel Isl. (UK),690156,Pecten maximus,Great Atlantic scallop
Channel Isl. (UK),690283,Crassostrea gigas,Pacific cupped oyster
Canada (Pacific),83805,Patinopecten yessoensis,
Canada (Pacific),690053,Mytilus edulis,Blue mussel
Canada (Pacific),690196,Ruditapes philippinarum,Japanese carpet shell
Canada (Pacific),690283,Crassostrea gigas,Pacific cupped oyster
Canada (Pacific),690337,Mya arenaria,Sand gaper
Canada (Pacific),690429,Patinopecten caurinus,Weathervane scallop
Canada (East Coast),83805,Patinopecten yessoensis,
Canada (East Coast),690009,Crassostrea virginica,American cupped oyster
Canada (East Coast),690011,Placopecten magellanicus,American sea scallop
Canada (East Coast),690030,Argopecten irradians,Atlantic bay scallop
Canada (East Coast),690053,Mytilus edulis,Blue mussel
Canada (East Coast),690123,Ostrea edulis,European flat oyster
Canada (East Coast),690196,Ruditapes philippinarum,Japanese carpet shell
Canada (East Coast),690270,Mercenaria mercenaria,Northern quahog
Canada (East Coast),690317,Haliotis rufescens,Red abalone
Canada (East Coast),690337,Mya arenaria,Sand gaper
Canada (East Coast),690429,Patinopecten caurinus,Weathervane scallop
Bulgaria,690241,Mytilus galloprovincialis,Mediterranean mussel
Brazil,690134,Tridacna squamosa,Fluted giant clam
Brazil,690232,Crassostrea rhizophorae,Mangrove cupped oyster
Brazil,690283,Crassostrea gigas,Pacific cupped oyster
Brazil,690374,Perna perna,South American rock mussel
Bosnia & Herzegovina,690123,Ostrea edulis,European flat oyster
Bosnia & Herzegovina,690241,Mytilus galloprovincialis,Mediterranean mussel
Bonaire (Netherlands),690304,Strombus gigas,Pink conch
Balearic Island (Spain),690166,Ruditapes decussatus,Grooved carpet shell
Balearic Island (Spain),690241,Mytilus galloprovincialis,Mediterranean mussel
Balearic Island (Spain),690693,Venus verrucosa,Warty venus
Australia,101619,Saccostrea glomerata,
Australia,690036,Mytilus planulatus,Australian mussel
Australia,690134,Tridacna squamosa,Fluted giant clam
Argentina,690053,Mytilus edulis,Blue mussel
Argentina,690283,Crassostrea gigas,Pacific cupped oyster
Algeria,690166,Ruditapes decussatus,Grooved carpet shell
Algeria,690241,Mytilus galloprovincialis,Mediterranean mussel
Algeria,690283,Crassostrea gigas,Pacific cupped oyster
Albania,690241,Mytilus galloprovincialis,Mediterranean mussel
