PageID,Level 1,Level 2,Common Name,Latin Name,Part,Preparation,Reference,Sample Size kCal,kCal (unit/100g),Sample Size H2O,H2O (g/100g),Sample Size Ash,Ash (g/100g),Sample Size CHO-T,CHO-T (g/100g),Sample Size Protein,Protein (g/100g),Sample Size Fat,Fat (g/100g),Sample Size PUFA,Total PUFA (g/100g),Sample Size Omega-3,Total Omega-3 (g/100g),Sample Size 18:3n3,Omega-3 18:3n3 (g/100g),Sample Size 20:3n3,Omega-3 20:3n3 (g/100g),Sample Size 20:5n3,Omega-3 20:5n3 (g/100g),Sample Size 22:3n3,Omega-3 22:3n3 (g/100g),Sample Size 22:6n3,Omega-3 22:6n3 (g/100g),Sample Size Omega-6,Total Omega-6 (g/100g),Sample Size 18:2n6,Omega-6 18:2n6 (g/100g),Sample Size 18:3n6,Omega-6 18:3n6 (g/100g),Sample Size 20:2n6,Omega-6 20:2n6 (g/100g),Sample Size 20:3n6,Omega-6 20:3n6 (g/100g),Sample Size 20:4n6,Omega-6 20:4n6 (g/100g),Sample Size 22:2n6,Omega-6 22:2n6 (g/100g),Sample Size 22:4n6,Omega-6 22:4n6 (g/100g),Sample Size MUFA,Total MUFA (g/100g),Sample Size 12:1,MUFA 12:1 (g/100g),Sample Size 14:1,MUFA 14:1 (g/100g),Sample Size 16:1,MUFA 16:1 (g/100g),Sample Size 18:1,MUFA 18:1 (g/100g),Sample Size 20:1,MUFA 20:1 (g/100g),Sample Size 22:1,MUFA 22:1 (g/100g),Sample Size 24:1,MUFA 24:1 (g/100g),Sample Size SFA,Total SFA (g/100g),Sample Size 8:0,SFA 8:0 (g/100g),Sample Size 10:0,SFA 10:0 (g/100g),Sample Size 12:0,SFA 12:0 (g/100g),Sample Size 14:0,SFA 14:0 (g/100g),Sample Size 16:0,SFA 16:0 (g/100g),Sample Size 18:0,SFA 18:0 (g/100g),Sample Size 20:0,SFA 20:0 (g/100g),Sample Size 22:0,SFA 22:0 (g/100g),Sample Size 24:0,SFA 24:0 (g/100g),Sample Size CHOL,CHOL (mg/100g),Sample Size A,A (units/100g),Sample Size D,D (units/100g),Sample Size E,Vitamin E (units/100g),Sample Size C,C (mg/100g),Sample Size THIA,THIA (mg/100g),Sample Size RIBO,RIBO (mg/100g),Sample Size NIAC,NIAC (mg/100g),Sample Size BIOT,BIOT (ug/100g),Sample Size B5/PA,B5/PA (mg/100g),Sample Size B6,B6 (mg/100g),Sample Size FOLA,FOLA (ug/100g),Sample Size B12,B12 (ug/100g),Sample Size Ca,Ca (mg/100g),Sample Size Fe,Fe (mg/100g),Sample Size Cu,Cu (mg/100g),Sample Size Zn,Zn (mg/100g),Sample Size P,P (mg/100g),Sample Size Mg,Mg (mg/100g),Sample Size Na,Na (mg/100g),Sample Size Mn,Mn (mg/100g),Sample Size K,K (mg/100g),Sample Size Se,Se (mg/100g)
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,not specified,raw,87,,93,,,,,,0,,19,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 RE,,,,,,0,,0.27,,0.16,,5.6 NE,,,,,,,,,,,,110,,1.3,,,,,,,,,,,,,,,,
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,not specified,raw,88,,93,28,79.3 (SE 0.210),29,1.20 (SE 0.018),,0,29,19.1 (SE 0.106),14,1.22 (SE 0.162),,0.447,,,,,,,7,0.086 (SE 0.003),,,7,,,,,,,,,,,,,,,,,,,0.294,,,,,7,,7,,,0,,0,,,,"0,249",,0,,0,,0,7,,7,,7,,,,,,,,1,86,,70 IU,,,,,,0,,0.27,,0.16,,2.3,,,,"0,75",,"0,12",,15,,2,1,110,1,1.3,3,0.178 (SE 0.111),28,0.62 (SE 0.070),1,210,1,30,3,51 (SE 0.667),1,0.8,3,389 (SE 70.392),,0.013
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,muscle,raw,2,,,,,,,,,3,20.1 (SD 0.2),3,0.7 (SD 0.05),,,,,,,,,3,0.052 (SD 0.0050),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7.7 IU,3,521 IU,,,,,,,,,,,,,,,,,,,,,3,31.0 (SD 32.0),3,0.2 (SD 0.0),,,3,0.3 (SD 0.1),3,217.0 (SD 16.1),3,21.2 (SD 0.8),,,,,,,3,0.04 (SD 0.02)
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,muscle,raw,27,,90,5,78.8,5,1.3,,0,5,19.7,5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,meat,raw,44,10,87,10,78.5 (SD 0.53),10,1.24 (SD 0.08),,,10,19.4 (SD 0.52),10,1.07 (SD 0.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13.7 (SD 3.8),10,0.153 (SD 0.137),10,0.022 (SD 0.004),10,0.503 (SD 0.053),,,,,,,10,0.015 (SD 0.010),,,10,0.031 (SD 0.005)
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,meat,raw,13,,93,28,79.3 (SE 0.210),29,1.20 (SE 0.018),,0,29,19.1 (SE 0.106),14,1.22 (SE 0.162),,0.447,,,,,,,7,0.086,,,7,"0,225",,,7,"0,026",,,,,,,7,"0,058",,,,,,0.294,,,,,7,"0,098",7,"0,196",,,,,,,,"0,249",,,,,,,7,"0,018",7,"0,197",7,"0,034",,,,,,,1,86,,,,,,,,,,,,,,,,,,,,,,,,,1,110,1,1.3,3,0.178 (SE 0.111),28,0.62 (SE 0.070),1,210,1,30,3,51 (SE 0.667),1,0.8,3,389 (SE 70.392),,
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,meat,raw,63,,93,28,79.3 (SE 0.210),29,1.20 (SE 0.018),,0,29,19.1 (SE 0.106),14,1.22 (SE 0.162),,0.447,,,,,,,7,0.086 (SE 0.003),,,7,,,,,,,,,,,,,,,,,,,0.294,,,,,7,,7,,,0,,0,,,,"0,249",,0,,0,,0,7,"0,018",7,,7,,,,,,,,1,86,,70 IU,,,,0.200 mg ATE,,0,,0.27,,0.16,,2.3,,,,"0,75",,"0,12",,15,,2,1,110,1,1.3,3,0.178 (SE 0.111),28,0.62 (SE 0.070),1,210,1,30,3,51 (SE 0.667),1,0.8,3,389 (SE 70.392),,0.0126
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,meat,raw,69,,,,,6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,52,,,6,324,,
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,meat,raw,21,,92,,,,,,0,,19,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131 RE,,,,,,0,,0.25,,0.15,,5.5 NE,,,,,,,,,,,,13,,0.3,,,,,,,,,,,,,,,,
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,meat,raw,62,,93,,79.3,,,,0,,19.1,,1.2,,0.45,,,,,,,,,,,,,,,,"0,03",,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,"0,25",,,,,,,,,,,,,,,,,,,,86,,21 RE,,,,,,,,0.27,,0.16,,5.9 NE,,,,"0,36",,"0,12",,"6,3",,2,,30,,1.3,,0.178,,0.62,,210,,30,,51,,0.8,,389,,
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,fillet,raw,56,,,7,78.6 (SD 0.7),7,1.2 (SD 0.1),,,7,19.5 (SD 0.4),7,1.1 (SD 0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6407,Fish,Freshwater Fish,Walleye,Sander vitreus,fillet,raw,79,,,,,,,,,,19.2,,1.4,,0.3,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,"0,2",,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,0.02,,0.52,,1.8,,,,,,,,,,,,60,,0.8,,,,0.7,,193,,,,65,,,,430,,
6407,Fish,Freshwater Fish,Sauger,Sander canadensis,meat,raw,62,,83,,81.1,,,,0,,17.1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,0.03,,0.39,,,,,,,,,,,,,,8,,0.44,,,,,,186,,,,88,,,,318,,
6407,Fish,Freshwater Fish,Sauger,Sander canadensis,fillet,raw,79,,83,,,,,,,,17.1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,0.03,,0.39,,,,,,,,,,,,,,8,,0.4,,,,,,186,,,,79,,,,318,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,meat,raw,23,,,,,,,,,,,,5.6,,1.4,,,,0.3,,,,0.2,,,,"0,1",,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,"1,1",,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,meat,raw,46,,89,1,78.2,1,2.2,,0,1,18.4,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,1,1.7,,,,,,,,,,,,,,,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,meat,raw,69,,,,,6,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,51,,,6,285,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,meat,raw,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,15",,,,,,"0,2",,,,,,,,,,,,,,,,,,,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,muscle,raw,27,,102,19,76.4,15,1.2,,2.1,22,17.8,30,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75,3,63.3 IU,,,,,,0,7,0.25,4,0.05,3,1.8,,,,,,,,,2,"4,5",8,37,6,1.25,,,2,4.7,7,202,3,36,,44,,,,300,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,whole,raw,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,whole,raw,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,15",,,,,,"0,2",,,,,,,,,,,,,,,,,,,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,fillet,raw,79,,147,,,,,,,,16.4,,8.5,,1.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,"1,5",,,,,,,,,,,,,,,,,,,,64,,29 IU,,,,,,,,0.06,,0.2,,2.7,,,,"0,15",,"0,19",,,,"0,9",,24,,1,,,,1.4,,188,,,,57,,,,307,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,fillet,raw,56,,,2,78.4,2,1.1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,fillet,raw,72,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,36",,"1,7",,,,,,,,,,,,,,,,"0,03",,"0,55",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6408,Fish,Freshwater Fish,Common Carp,Cyprinus carpio,not specified,raw,88,,127,65,76.3 (SE 0.362),64,1.46 (SE 0.128),,0,63,17.8 (SE 0.113),163,5.60 (SE 0.207),,1.43,,,,,,,12,0.238 (SE 0.040),,,13,,,,,,,,,,,,,,,,,,,2.33,,,,,13,,13,,11,0.071 (SE 0.017),1,0.402,,,,"1,03",,0,,0,,0,13,,13,,13,,,,,,,,2,66,,30 IU,,988 IU,,0.63 mg AT,1,1.6,,0.11,,0.05,,1.6,,,,"0,75",1,"0,19",,15,1,"1,5",11,41 (SE 6.828),7,1.24 (SE 0.200),32,0.057 (SE 0.009),44,1.48 (SE 0.245),7,415 (SE 125.413),7,29 (SE 2.434),5,49 (SE 1.308),,0.042,14,333 (SE 35.915),,0.013
6408,Fish,Freshwater Fish,Lake Chub,Couesius plumbeus,muscle,raw,27,,86,,79.1,,1.1,,0,,18.7,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,
6408,Fish,Freshwater Fish,Goldfish,Carassius auratus,muscle,raw,27,,99,2,78.1,2,1,,1.6,2,16.3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,82.2 IU,,,,,2,2.05,,0.05,,0.07,,2.4,,,,,,,,,,0,2,76,,,,,,,,203,,69,,63,,,3,374,,
6408,Fish,Freshwater Fish,Goldfish,Carassius auratus,whole,raw,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,0.22,,6,,,,,,,,0.23,,,,
6408,Fish,Freshwater Fish,Spottail Shiner,Notropis hudsonius,whole,raw,27,,171,,69.9,,2.2,,3,,13,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,
6408,Fish,Freshwater Fish,Pikeminnows,Ptychocheilus spp.,muscle,raw,27,2,94,2,79,2,1.1,2,0,2,17.2,2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,Fish,Freshwater Fish,Bass,Micropterus spp.,meat,raw,44,10,94,10,77.8 (SD 1.43),10,1.15 (SD 0.08),,,10,19.0 (SD 0.89),,1.98 (SD 0.86),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14.8 (SD 11.291),10,0.283 (SD 0.181),10,0.037 (SD 0.006),10,0.419 (SD 0.048),,,,,,,10,0.016 (SD 0.011),,,10,0.051 (SD 0.018)
6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,,114,16,75.7 (SE 0.694),16,1.52 (SE 0.292),,0,16,18.89 (SE 0.506),17,3.69,,1.06,,,,,,,9,0.238,,,9,"0,357",,,,,,,,,,,,,,,,,,1.43,,,,,9,"0,382",9,"0,991",2,0.057,,,,,,"0,78",,,,,,,9,"0,087",9,"0,593",9,"0,1",,,,,,,2,68,,100 IU,,,,,,2,,0.08,,0.07,,1.2,,,,"0,75",,"0,12",,15,,2,2,80,2,1.49,53,0.093,62,0.65 (SE 0.129),2,200,2,30,2,70,21,0.889,11,356,,0.013
6409,Fish,Freshwater Fish,Largemouth Bass,Micropterus salmoides,meat,raw,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,51",,,,,,,,,,,,,,,,,,,,,,,,,,
6410,Fish,Freshwater Fish,Catfish,Ictaluridae,meat,raw,46,,158,1,68.2,1,1,,0,1,22.7,1,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,1,0.9,,,,,,,,,,,,,,,,
6410,Fish,Freshwater Fish,Catfish,Ictaluridae,meat,raw,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-29 RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6410,Fish,Freshwater Fish,Catfish,Ictaluridae,meat,raw,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,47",,,,,,"2,2",,,,,,,,,,,,,,,,,,,,
6410,Fish,Freshwater Fish,Catfish,Ictaluridae,meat,raw,82,,"89,9",,80.1,,1.1,,0,,16.1,,2.7,,0.81,,,,0.012,,,,0.364,,,,"0,21",,,,"0,029",,,,,,,,"0,086",,,,,,0.644,,,,,,,,,,,,,,,,"0,425",,,,,,,,"0,029",,"0,268",,"0,1",,0.026,,,,,,58,,18 RE,,1.3 ug,,2.4 mg AT,,0,,0.18,,0.04,,2.5,,,,"0,57",,"0,35",,1,,"2,2",,35,,1,,,,,,180,,25,,105,,,,282,,0.058
6410,Fish,Freshwater Fish,Catfish,Ictaluridae,muscle,raw,27,,157,5,72.3,3,1.5,,0,7,18.2,5,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,60.0 IU,,,,,,,,0.04,,0.03,2,1.8,,,,,,,,,,"2,2",,225,2,1.58,2,0.115,,,,,,113,,60,,0.06,2,416,11,0.019
6410,Fish,Freshwater Fish,Catfish,Ictaluridae,muscle,raw,48,,,,,,,,,,,,3.3,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6410,Fish,Freshwater Fish,Channel Catfish,Ictalurus punctatus,meat,raw,23,,,,,,,,,,,,4.3,,1,,,,trace,,,,0.1,,,,"0,2",,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6410,Fish,Freshwater Fish,Channel Catfish,Ictalurus punctatus,meat,raw,63,,95,5,80.4 (SE 0.301),5,0.96 (SE 0.025),,0,5,16.4 (SE 0.235),5,2.82 (SE 0.595),,0.865,,,,,,,10,0.13,,,10,"0,234",,,,,,,,,,,,,,,,,,0.844,,,,,10,"0,176",10,"0,594",10,0.021,10,0.008,,,,"0,722",,0,,0,,0,10,"0,064",10,"0,442",10,"0,15",,,,,,,4,,4,50 IU,,500.000 IU,,0.600 mg ATE,4,0.7 (SE 0.225),4,0.21 (SE 0.03),5,0.07 (SE 0.01),4,1.9 (SE 0.17),,,4,,4,,2,10,4,,5,14 (SE 7.64),4,0.30 (SE 0.024),4,0.034 (SE 0.002),4,0.51 (SE 0.032),4,209 (SE 18.6),4,23 (SE 0.520),4,43 (SE 3.87),4,0.025 (SE 0.005),4,358 (SE 18.886),5,0.013 (SE 0.001)
6410,Fish,Freshwater Fish,Channel Catfish,Ictalurus punctatus,fillet,raw,72,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,13",,1,,0.03,,,,,,,,,,,,,,"0,05",,"0,61",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6410,Fish,Freshwater Fish,Channel Catfish,Ictalurus punctatus,fillet,raw,79,,115,,,,,,,,17.6,,4.4,,1.1,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,"1,1",,,,,,,,,,,,,,,,,,,,52,,0 IU,,,,,,,,0.04,,0.11,,2.1,,,,"0,47",,,,,,"0,2",,46,,1,,,,0.8,,221,,,,63,,,,348,,
6410,Fish,Freshwater Fish,Channel Catfish,Ictalurus punctatus,muscle,raw,27,,119,5,75.7,5,1.1,,0.4,5,17.6,5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,0.83,,221,,,,,,,,,,
6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,meat,raw,44,10,77,10,80.7 (SD 0.59),10,1.06 (SD 0.04),,,10,15.8 (SD 0.40),10,1.49 (SD 0.34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.0 (SD 4.76),10,0.653 (SD 0.179),10,0.026 (SD 0.005),10,0.403 (SD 0.042),,,,,,,10,0.041 (SD 0.018),,,10,0.026 (SD 0.005)
6410,Fish,Freshwater Fish,Brown Bullhead,Ameiurus nebulosus,fillet,raw,56,,,7,78.5 (SD 2.1),7,1.1,,,7,18.6 (SD 0.3),7,2.7 (SD 0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6411,Fish,Freshwater Fish,Perch and Darters,Percidae,meat,raw,59,,,,,,,,,,,,,,,,,4,0.004,,,4,0.054,,,4,"0,245",,,4,"0,01",,,4,0.002,,,4,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"0,007",4,"0,116",4,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6411,Fish,Freshwater Fish,Perch and Darters,Percidae,meat,raw,82,,85,,79.3,,1.3,,0,,18.1,,1.3,,0.053,,,,0.02,,,,,,,,,,,,"0,033",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,"0,328",,,,,,0,,"0,02",,"0,249",,"0,059",,,,,,,,60,,0.0 RE,,0.80 ug,,1.2 mg AT,,0,,0.07,,0.07,,4,,,,,,,,,,,,110,,0.6,,0.023,,0.52,,240,,26,,54,,0.062,,330,,0.024
6411,Fish,Freshwater Fish,Perch and Darters,Percidae,muscle,raw,27,,69,,82.6,,1,,0.8,,14.9,3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.285,,,,,,,,,,,,
6411,Fish,Freshwater Fish,Perch and Darters,Percidae,not specified,raw,88,,91,38,79.1 (SE 0.128),39,1.24 (SE 0.068),,0,39,19.4 (SE 0.172),24,0.92 (SE 0.049),,0.368,,,,,,,16,0.174,,,16,"0,174",,,,,,,,,,,,,,,,,,0.152,,,,,16,"0,057",16,"0,07",6,0.024,,0,,,,"0,185",,0,,0,,0,16,"0,013",16,"0,031",16,"0,031",,,,,,,2,90,,30 IU,,118 IU,,0.20 mg AT,,1.7,,0.07,,0.1,,1.5,,,,"0,75",,"0,12",,5,,"1,9",2,80,2,0.9,80,0.150 (SE 0.006),53,1.11 (SE 0.153),2,200,2,30,4,62,2,0.7,4,269,,0.013
6411,Fish,Freshwater Fish,Yellow Perch,Perca flavescens,meat,raw,23,,,,,,,,,,,,0.9,,0.4,,,,trace,,,,0.1,,,,"0,2",,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,"0,2",,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6411,Fish,Freshwater Fish,Yellow Perch,Perca flavescens,meat,raw,44,8,80,8,79.1 (SD 0.78),8,1.38 (SD 0.07),,,8,17.8 (SD 0.59),8,1.01 (SD 0.15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,59.77 (SD 27.8),8,0.209 (SD 0.042),8,0.031 (SD 0.011),8,0.546 (SD 0.092),,,,,,,8,0.090 (SD 0.055),,,8,0.045 (SD 0.009)
6411,Fish,Freshwater Fish,Yellow Perch,Perca flavescens,meat,raw,69,,,,,6,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,67,,,6,238,,
6411,Fish,Freshwater Fish,Yellow Perch,Perca flavescens,muscle,raw,27,,85,14,78.9,11,1.2,,0,15,18.8,16,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00 IU,,,,,,1.18,,0.06,2,0.12,,1.8,,,,,,,,,,,,,,0.56,3,0.253,,1.2,,,,,,67,,0.021,3,242,,0.032
6411,Fish,Freshwater Fish,Yellow Perch,Perca flavescens,whole,raw,27,,107,5,74.5,5,4.3,,0.2,5,16.6,5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6411,Fish,Freshwater Fish,Yellow Perch,Perca flavescens,offal,raw,27,,136,3,70.5,3,6.4,,0,3,17,3,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
